r (A),g(r)_weighted_F-F,g(r)_weighted_Na-F,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-F,g(r)_weighted_U-U,S_i_Na-F,S_i_U-F,Average_SCL,SCL_BC
0.2035917958979489,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2075837918959479,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2115757878939469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2155677838919459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2195597798899449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2235517758879439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2275437718859429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2315357678839419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2355277638819409,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2395197598799399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2435117558779389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2475037518759379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2514957478739369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2554877438719359,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2594797398699349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2634717358679339,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.267463731865933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2714557278639319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2754477238619309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2794397198599299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.283431715857929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2874237118559279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2914157078539269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2954077038519259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
0.2993996998499249,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.7547507861149114,0
