r (A),g(r)_weighted_U-U,g(r)_weighted_Na-U,g(r)_weighted_U-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,S_i_U-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.20758379189594797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.21157578789394696,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.21556778389194597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.21955977988994496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.22355177588794395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.22754377188594296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.23153576788394195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.23552776388194097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.23951975987993995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.24351175587793897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.24750375187593796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.25149574787393697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.25548774387193596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.25947973986993494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.26347173586793393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.267463731865933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.27145572786393196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.27544772386193095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.27943971985992994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.283431715857929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.28742371185592797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.29141570785392695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.29540770385192594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.2993996998499249,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.30339169584792397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.30738369184592296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.31137568784392194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.31536768384192093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.31935967983992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.32335167583791896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.32734367183591795,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
0.33133566783391694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.057260245033009,0
