r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Mg-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
8.943817533766884,0.44748160613564436,0.16433151233526483,0.03976823527709162,0.055198780818205215,0.20128883003274878,0.07703152629469837,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.949057028514257,0.44764133004116846,0.164242271295226,0.03973418326700554,0.055147317933153604,0.20141269614174026,0.07692846471859693,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.95429652326163,0.4478341882217985,0.16415485776825445,0.03971302113782279,0.0550978161276062,0.2015525063116351,0.07682110466711838,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.959536018009006,0.448050897367699,0.16406875973560275,0.03970113750049717,0.05504972596118462,0.20170379345640438,0.07671065045448469,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.964775512756379,0.4482676065135992,0.16398266170295112,0.03968925386317155,0.05500163579476306,0.2018550806011736,0.076600196241851,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.970015007503752,0.4484843156594995,0.16389656367029948,0.039677370225845936,0.0549535456283415,0.2020063677459428,0.07648974202921736,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.975254502251126,0.4487010248053997,0.1638104656376479,0.039665486588520316,0.05490545546191995,0.2021576548907121,0.0763792878165837,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.980493996998499,0.44891773395129997,0.1637243676049962,0.039653602951194696,0.05485736529549839,0.20230894203548128,0.07626883360395005,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.985733491745874,0.44913444309720046,0.1636382695723445,0.03964171931386907,0.05480927512907681,0.20246022918025058,0.07615837939131637,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.990972986493247,0.4493511522431006,0.1635521715396929,0.039629835676543455,0.05476118496265525,0.20261151632501978,0.07604792517868268,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
8.99621248124062,0.4495678613890009,0.16346607350704126,0.039617952039217835,0.0547130947962337,0.20276280346978903,0.07593747096604904,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.001451975987994,0.4497845705349012,0.1633799754743896,0.03960606840189222,0.05466500462981214,0.20291409061455826,0.07582701675341537,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.006691470735369,0.44997803383071466,0.16334213525131586,0.03959271337870814,0.054623154463091655,0.20304952185858974,0.07571271087114223,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.011930965482742,0.4501533363061474,0.16334199644197486,0.03957820883532216,0.05458617929613763,0.2031725656801698,0.07559539587196329,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.017170460230115,0.4503286387815803,0.16334185763263384,0.03956370429193617,0.05454920412918362,0.20329560950174988,0.07547808087278435,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.022409954977489,0.45050394125701315,0.16334171882329285,0.03954919974855018,0.05451222896222959,0.20341865332332995,0.07536076587360542,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.027649449724864,0.4506792437324461,0.16334158001395185,0.03953469520516419,0.05447525379527558,0.20354169714491008,0.07524345087442644,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.032888944472235,0.45085454620787896,0.16334144120461086,0.039520190661778205,0.05443827862832155,0.20366474096649015,0.07512613587524751,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.03812843921961,0.45102984868331186,0.1633413023952699,0.039505686118392225,0.05440130346136754,0.20378778478807022,0.07500882087606858,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.043367933966984,0.45120515115874466,0.16334116358592884,0.03949118157500624,0.054364328294413525,0.2039108286096503,0.07489150587688963,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.048607428714355,0.4513804536341775,0.16334102477658785,0.03947667703162025,0.05432735312745952,0.20403387243123028,0.0747741908777107,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.053846923461732,0.4515557561096104,0.16334088596724683,0.03946217248823426,0.054290377960505475,0.20415691625281046,0.07465687587853172,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.059086418209104,0.45176916275807444,0.16330522114916046,0.039455453032597405,0.05425228118042516,0.20423277479149035,0.07454775050202991,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.06432591295648,0.45201485210868986,0.16323945790699806,0.039455329276303575,0.05421323414477951,0.20426865690993543,0.07444556355585182,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.069565407703852,0.4522605414593054,0.16317369466483572,0.03945520552000974,0.05417418710913385,0.2043045390283805,0.07434337660967372,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.074804902451229,0.4525062308099209,0.16310793142267335,0.039455081763715906,0.05413514007348817,0.20434042114682552,0.07424118966349555,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.0800443971986,0.45275192016053645,0.163042168180511,0.03945495800742207,0.05409609303784253,0.20437630326527054,0.07413900271731744,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.085283891945974,0.452997609511152,0.16297640493834864,0.03945483425112823,0.05405704600219688,0.2044121853837156,0.07403681577113932,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.090523386693349,0.45324329886176745,0.16291064169618627,0.0394547104948344,0.05401799896655121,0.20444806750216066,0.07393462882496123,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.09576288144072,0.4534889882123829,0.1628448784540239,0.03945458673854056,0.05397895193090556,0.20448394962060568,0.0738324418787831,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
9.101002376188095,0.45373467756299846,0.16277911521186153,0.03945446298224673,0.05393990489525989,0.20451983173905075,0.07373025493260496,6.5026879310458575e-12,1.4495177104760818e-09,2.736026688277983,0
