r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.0039825943871935965,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.007965188774387193,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.01194778316158079,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.015930377548774386,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.019912971935967982,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.02389556632316158,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.027878160710355177,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.03186075509754877,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.03584334948474237,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.039825943871935963,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.04380853825912956,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.04779113264632316,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.05177372703351676,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.05575632142071035,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.05973891580790395,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.06372151019509754,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.06770410458229115,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.07168669896948474,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.07566929335667834,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.07965188774387193,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.08363448213106553,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.08761707651825912,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.09159967090545272,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.09558226529264632,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.09956485967983991,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.10354745406703351,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.1075300484542271,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.1115126428414207,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.1154952372286143,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.1194778316158079,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.12346042600300149,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.1274430203901951,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.13142561477738868,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.1354082091645823,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.13939080355177588,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.14337339793896947,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.14735599232616306,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.15133858671335668,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.15532118110055027,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.15930377548774385,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.16328636987493747,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.16726896426213106,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.17125155864932465,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.17523415303651824,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.17921674742371185,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.18319934181090544,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.18718193619809903,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.19116453058529265,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.19514712497248624,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.19912971935967982,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.2031123137468734,0.0,0.0,1.0,1.0,2.8791899179460123,0
