r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0073886109954977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0147772219909954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0221658329864932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0295544439819909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0369430549774887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0443316659729864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0517202769684842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0591088879639819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0664974989594797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0738861099549774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0812747209504752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0886633319459729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.0960519429414707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1034405539369684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1108291649324662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1182177759279639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1256063869234617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1329949979189594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1403836089144572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1477722199099549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1551608309054527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1625494419009504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1699380528964482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1773266638919459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1847152748874437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1921038858829414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.1994924968784392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2068811078739369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2142697188694347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2216583298649324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2290469408604302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2364355518559279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2438241628514257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2512127738469235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2586013848424212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2659899958379189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2733786068334167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2807672178289144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2881558288244122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.2955444398199099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3029330508154077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3103216618109054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3177102728064032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3250988838019009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3324874947973987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3398761057928964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3472647167883942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3546533277838919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3620419387793896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
0.3694305497748874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7789116055986596,0
