r (A),g(r)_weighted_Na-F,g(r)_weighted_Na-Na,g(r)_weighted_F-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.006369737804686832,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.012739475609373664,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.019109213414060498,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.02547895121874733,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.031848689023434164,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.038218426828120995,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.04458816463280783,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.05095790243749466,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.05732764024218149,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.06369737804686833,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.07006711585155516,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.07643685365624199,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.08280659146092882,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.08917632926561565,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.09554606707030248,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.10191580487498932,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.10828554267967615,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.11465528048436298,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.12102501828904981,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.12739475609373666,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.1337644938984235,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.14013423170311032,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.14650396950779715,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.15287370731248398,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.1592434451171708,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.16561318292185764,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.17198292072654447,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.1783526585312313,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.18472239633591814,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.19109213414060497,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.1974618719452918,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.20383160974997863,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.21020134755466546,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.2165710853593523,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.22294082316403913,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.22931056096872596,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.2356802987734128,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.24205003657809962,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.24841977438278645,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.2547895121874733,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.2611592499921601,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.267528987796847,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.2738987256015338,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.28026846340622064,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.28663820121090744,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.2930079390155943,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.2993776768202811,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.30574741462496796,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.31211715242965477,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.3184868902343416,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.32485662803902843,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.3312263658437153,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.3375961036484021,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.34396584145308895,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.35033557925777575,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.3567053170624626,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
