r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Li,g(r)_weighted_K-Na,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,g(r)_weighted_Li-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Li-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
3.992494997498749,0.8360090530852654,0.11098097524693562,0.053492588707133415,0.14698590498151343,0.019136976438298644,0.08871361652925108,0.14421265652032667,0.03004842424612466,0.014456917678580984,0.0039823819399381725,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
3.9977344922461215,0.8329561724057557,0.11010053351957401,0.05405594631410896,0.14703109465077266,0.01925647331529022,0.08928108008558143,0.14384175633926446,0.029944941727089888,0.014421707912909693,0.0039714016622894475,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.002973986993497,0.8299032917262454,0.10922009179221225,0.054619303921084605,0.14707628432003195,0.019375970192281818,0.0898485436419119,0.1434708561582022,0.029841459208055095,0.014386498147238394,0.003960421384640721,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.00821348174087,0.8268504110467357,0.10833965006485063,0.05518266152806016,0.1471214739892912,0.019495467069273395,0.09041600719824226,0.14309995597714004,0.029737976689020316,0.014351288381567103,0.003949441106991996,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.013452976488244,0.8237975303672255,0.10745920833748887,0.0557460191350358,0.14716666365855047,0.019614963946264993,0.09098347075457272,0.14272905579607778,0.029634494169985526,0.014316078615895804,0.003938460829343269,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.018692471235617,0.8203558863507163,0.10664041896193255,0.05632905717265903,0.1471552755740301,0.019724493001006354,0.09153027816109513,0.14237558712473683,0.029525606119181952,0.014292371594927689,0.003913452855427803,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.023931965982991,0.8164690456095791,0.10589223147312096,0.056934632477636846,0.14707909683598794,0.019822607291557957,0.09205343094445036,0.14204208034356045,0.029410527862643147,0.014281837071926113,0.0038723809067552637,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.029171460730365,0.8125822048684408,0.10514404398430924,0.057540207782614775,0.14700291809794577,0.01992072158210958,0.0925765837278057,0.14170857356238403,0.02929544960610432,0.014271302548924532,0.003831308958082719,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.034410955477738,0.8086953641273034,0.10439585649549767,0.058145783087592606,0.1469267393599036,0.020018835872661185,0.09309973651116094,0.14137506678120765,0.029180371349565512,0.014260768025922957,0.0037902370094101807,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.039650450225112,0.8048085233861653,0.10364766900668594,0.058751358392570514,0.14685056062186144,0.02011695016321281,0.09362288929451625,0.14104156000003124,0.029065293093026683,0.014250233502921377,0.003749165060737636,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
