r (A),g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.2580617366003001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.263024462304152,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.267987188008004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.2729499137118559,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.2779126394157079,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.2828753651195598,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.2878380908234117,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.2928008165272636,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.2977635422311155,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3027262679349675,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3076889936388194,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3126517193426713,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3176144450465232,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3225771707503752,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3275398964542271,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.332502622158079,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3374653478619309,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3424280735657828,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3473907992696348,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3523535249734867,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3573162506773386,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3622789763811906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3672417020850425,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3722044277888944,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3771671534927464,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3821298791965983,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3870926049004502,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.3920553306043021,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.397018056308154,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.401980782012006,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4069435077158579,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4119062334197098,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4168689591235617,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4218316848274137,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4267944105312656,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4317571362351175,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4367198619389695,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4416825876428214,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4466453133466733,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4516080390505252,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4565707647543772,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4615334904582291,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.466496216162081,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4714589418659329,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.4764216675697849,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
