r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,S_i_Ca-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.3848408164882441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.3922416014207103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.3996423863531766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4070431712856428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.414443956218109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4218447411505753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4292455260830415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4366463110155077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.444047095947974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4514478808804402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4588486658129064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4662494507453727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4736502356778389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4810510206103051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4884518055427714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.4958525904752376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5032533754077039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5106541603401701,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5180549452726363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5254557302051026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5328565151375688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.540257300070035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5476580850025012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5550588699349674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5624596548674338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5698604397999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5772612247323662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5846620096648324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5920627945972987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.5994635795297649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6068643644622311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6142651493946973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6216659343271635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6290667192596299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6364675041920961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6438682891245623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6512690740570285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6586698589894947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.666070643921961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
0.6734714288544272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.123942324814675,0
