r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_Be-Li,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.2523118501335668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2572591413126563,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2622064324917458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2671537236708354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2721010148499249,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2770483060290145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2819955972081041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2869428883871936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2918901795662831,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.2968374707453727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3017847619244622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3067320531035518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3116793442826413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3166266354617308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3215739266408204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3265212178199099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3314685089989995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.336415800178089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3413630913571785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3463103825362681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3512576737153576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3562049648944472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3611522560735368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3660995472526263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3710468384317159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3759941296108054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3809414207898949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3858887119689845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.390836003148074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.3957832943271636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4007305855062531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4056778766853426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.4106251678644322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
