r (A),g(r)_weighted_F-F,g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_K-Li,g(r)_weighted_K-Na,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,g(r)_weighted_Li-Na,g(r)_weighted_Na-F,g(r)_weighted_Na-Na,S_i_K-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
0.0868340863756878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.089315060272136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.0917960341685843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.0942770080650325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.0967579819614807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.0992389558579289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1017199297543772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1042009036508254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1066818775472736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1091628514437218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.11164382534017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1141247992366183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1166057731330665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1190867470295147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1215677209259629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1240486948224112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1265296687188594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1290106426153076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1314916165117559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1339725904082041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1364535643046523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1389345382011005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1414155120975488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.143896485993997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1463774598904452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1488584337868934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1513394076833416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1538203815797899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1563013554762381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1587823293726863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
0.1612633032691345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.322082199189921,2.26059
