r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
0.3258414955077539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3332469840420209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3406524725762881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3480579611105552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3554634496448224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3628689381790895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3702744267133566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3776799152476238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3850854037818909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3924908923161581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.3998963808504251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4073018693846923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4147073579189594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4221128464532266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4295183349874937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4369238235217608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.444329312056028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4517348005902951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4591402891245622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4665457776588294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4739512661930965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4813567547273636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4887622432616308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.4961677317958979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.503573220330165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5109787088644322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5183841973986993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5257896859329665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5331951744672336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5406006630015007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5480061515357678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.555411640070035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5628171286043021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5702226171385693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5776281056728364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5850335942071035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5924390827413707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.5998445712756378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6072500598099049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.614655548344172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6220610368784392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6294665254127063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6368720139469735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6442775024812406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6516829910155078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6590884795497749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6664939680840419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6738994566183091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6813049451525762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6887104336868434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.6961159222211105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7035214107553777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7109268992896448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.718332387823912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7257378763581791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7331433648924461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7405488534267133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7479543419609804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.7553598304952476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
