r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0028162733811905,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0056325467623811,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0084488201435717,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0112650935247623,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0140813669059529,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0168976402871435,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0197139136683341,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0225301870495247,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0253464604307153,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0281627338119059,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0309790071930965,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0337952805742871,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0366115539554777,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0394278273366683,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0422441007178589,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0450603740990495,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0478766474802401,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0506929208614307,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0535091942426213,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0563254676238119,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0591417410050025,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0619580143861931,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0647742877673837,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0675905611485742,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0704068345297648,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0732231079109554,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.076039381292146,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0788556546733366,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0816719280545272,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0844882014357178,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0873044748169084,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.090120748198099,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0929370215792896,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0957532949604802,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.0985695683416708,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1013858417228614,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.104202115104052,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1070183884852426,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1098346618664332,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1126509352476238,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1154672086288144,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.118283482010005,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1210997553911956,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1239160287723862,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1267323021535767,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1295485755347674,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1323648489159579,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1351811222971485,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1379973956783391,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1408136690595297,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1436299424407203,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1464462158219109,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1492624892031015,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1520787625842921,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1548950359654827,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1577113093466733,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1605275827278639,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1633438561090545,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1661601294902451,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1689764028714357,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1717926762526263,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1746089496338169,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1774252230150075,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1802414963961981,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1830577697773887,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1858740431585793,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1886903165397699,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1915065899209604,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.194322863302151,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1971391366833416,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.1999554100645322,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2027716834457228,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
