r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_U-F,S_i_Li-F,S_i_Na-F,S_i_U-F,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0028333890335167,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0056667780670335,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0085001671005502,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.011333556134067,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0141669451675837,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0170003342011005,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0198337232346173,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.022667112268134,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0255005013016508,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0283338903351675,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0311672793686843,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0340006684022011,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0368340574357178,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0396674464692346,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0425008355027513,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0453342245362681,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0481676135697848,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0510010026033016,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0538343916368184,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0566677806703351,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0595011697038519,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0623345587373686,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0651679477708854,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0680013368044022,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0708347258379189,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0736681148714357,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0765015039049524,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0793348929384692,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0821682819719859,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0850016710055027,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0878350600390195,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0906684490725362,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.093501838106053,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0963352271395697,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.0991686161730865,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1020020052066033,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.10483539424012,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1076687832736368,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1105021723071535,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1133355613406703,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.116168950374187,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1190023394077038,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1218357284412206,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1246691174747373,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1275025065082541,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1303358955417708,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1331692845752876,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1360026736088044,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1388360626423211,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1416694516758379,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1445028407093546,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1473362297428714,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1501696187763881,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1530030078099049,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1558363968434217,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1586697858769384,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1615031749104552,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1643365639439719,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1671699529774887,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1700033420110055,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1728367310445222,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.175670120078039,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1785035091115557,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1813368981450725,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1841702871785893,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.187003676212106,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1898370652456228,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1926704542791395,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1955038433126563,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.1983372323461731,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2011706213796898,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2040040104132066,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2068373994467233,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2096707884802401,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2125041775137569,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2153375665472736,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2181709555807904,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2210043446143071,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2238377336478239,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2266711226813406,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2295045117148574,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2323379007483741,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2351712897818909,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2380046788154077,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2408380678489244,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2436714568824412,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2465048459159579,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2493382349494747,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2521716239829915,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2550050130165082,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.257838402050025,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2606717910835417,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2635051801170585,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2663385691505753,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.269171958184092,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2720053472176088,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2748387362511255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.2776721252846423,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.280505514318159,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
