r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_K-Cl,S_i_U-Cl,Average_SCL,SCL_BC
0.2034044633476738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2073160876428214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.211227711937969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2151393362331165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2190509605282641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2229625848234117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2268742091185592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2307858334137068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2346974577088544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.238609082004002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2425207062991495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2464323305942971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2503439548894447,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2542555791845923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2581672034797398,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2620788277748874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.265990452070035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2699020763651826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2738137006603302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2777253249554777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2816369492506253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2855485735457729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2894601978409205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.293371822136068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.2972834464312156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3011950707263632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3051066950215108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3090183193166583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3129299436118059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3168415679069534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.320753192202101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3246648164972486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3285764407923962,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3324880650875437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3363996893826913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3403113136778389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3442229379729865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.348134562268134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3520461865632816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3559578108584292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3598694351535768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3637810594487243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3676926837438719,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3716043080390195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3755159323341671,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3794275566293146,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3833391809244622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3872508052196098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3911624295147574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3950740538099049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.3989856781050525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4028973024002001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4068089266953477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4107205509904952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4146321752856428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4185437995807904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.422455423875938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4263670481710855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4302786724662331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4341902967613807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4381019210565282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4420135453516758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4459251696468234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4498367939419709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4537484182371185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4576600425322661,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4615716668274137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4654832911225612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4693949154177088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4733065397128564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.477218164008004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4811297883031515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4850414125982991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4889530368934467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4928646611885943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.4967762854837418,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5006879097788894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.504599534074037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5085111583691846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5124227826643322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5163344069594797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5202460312546273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5241576555497749,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5280692798449225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.53198090414007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5358925284352176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5398041527303652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5437157770255128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5476274013206603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5515390256158079,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5554506499109555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5593622742061031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5632738985012506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5671855227963982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5710971470915458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5750087713866934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.578920395681841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5828320199769885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5867436442721361,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5906552685672837,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5945668928624313,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.5984785171575788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6023901414527264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.606301765747874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6102133900430216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6141250143381691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6180366386333167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6219482629284643,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6258598872236119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6297715115187593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6336831358139069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6375947601090545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.641506384404202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6454180086993496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6493296329944972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6532412572896448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6571528815847923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6610645058799399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6649761301750875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6688877544702351,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6727993787653826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6767110030605302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6806226273556778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6845342516508254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.688445875945973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6923575002411205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
0.6962691245362681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.022032433263878,0
