Li-F,,Na-F,,K-F,,Li-Li,,F-F,,Li-Na,,Li-K,,Na-Na,,Na-K,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
3.85,0.82549171,3.85,0.593719598,3.85,0.592172707,3.85,0.887809058,3.85,1.000771011,3.85,1.371285095,3.85,1.449045462,3.85,1.557697835,3.85,1.669705753,3.85,1.819512123
3.95,0.923192708,3.95,0.654060334,3.95,0.596246125,3.95,0.733439615,3.95,0.927832993,3.95,1.254076673,3.95,1.320875791,3.95,1.336711229,3.95,1.556682067,3.95,1.757618645
4.05,1.028917247,4.05,0.734585142,4.05,0.617655151,4.05,0.628399414,4.05,0.871979451,4.05,1.141679438,4.05,1.231812478,4.05,1.01647173,4.05,1.373189959,4.05,1.689674298
4.15,1.12380341,4.15,0.815370555,4.15,0.64823751,4.15,0.545154138,4.15,0.834311907,4.15,1.036820434,4.15,1.165188576,4.15,0.951454646,4.15,1.233112776,4.15,1.574754637
4.25,1.198906814,4.25,0.923373376,4.25,0.69014462,4.25,0.486400055,4.25,0.81677521,4.25,0.90942845,4.25,1.091423452,4.25,0.941882353,4.25,1.120319709,4.25,1.471860849
4.35,1.264604254,4.35,1.015593723,4.35,0.753116436,4.35,0.476222405,4.35,0.796985495,4.35,0.779113507,4.35,1.022845229,4.35,0.934802651,4.35,1.030788438,4.35,1.329472704
4.45,1.31364961,4.45,1.106525882,4.45,0.810113698,4.45,0.484864033,4.45,0.792295367,4.45,0.690515415,4.45,0.958774268,4.45,0.863989471,4.45,0.979782981,4.45,1.218779679
4.55,1.337152133,4.55,1.205744664,4.55,0.884800885,4.55,0.51388461,4.55,0.792917872,4.55,0.641113077,4.55,0.890943848,4.55,0.796653325,4.55,0.956043672,4.55,1.117166895
4.65,1.341810996,4.65,1.265759039,4.65,0.953162418,4.65,0.538636898,4.65,0.80950067,4.65,0.617910883,4.65,0.821041105,4.65,0.754174036,4.65,0.947332588,4.65,1.061067406
4.75,1.322826991,4.75,1.269967536,4.75,1.030594912,4.75,0.590907232,4.75,0.830918261,4.75,0.587777896,4.75,0.757719793,4.75,0.833343521,4.75,0.929446869,4.75,0.996903333
