Mg-Cl,,K-Cl,,Mg-Mg,,K-K,,Na-Cl,,Cl-Cl,,Na-Na,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.996800027,0.027711233,2.57242756,0.011754852,2.888554217,0.006865067,3.107847865,0.002037636,2.203943567,0.025218506,2.825051948,-0.012646408,2.787188005,0.005216802
2.062177084,0.398259056,2.655804246,0.193092265,3.057228916,0.058215769,3.389162166,0.044176256,2.31111092,0.127877712,3.000705468,0.086456482,3.034152911,0.085200241
2.106919508,0.836314527,2.71806159,0.419744376,3.141566265,0.138022174,3.54740146,0.114407288,2.366827704,0.351457917,3.107260622,0.242367611,3.140740467,0.160478771
2.11141418,1.577935523,2.738286627,0.669039095,3.204819277,0.229216009,3.68805861,0.194002457,2.405223651,0.586770217,3.161906483,0.433793053,3.21268279,0.259281843
2.158199637,2.353091448,2.758614854,0.88434042,3.268072289,0.348899873,3.758387185,0.273597627,2.408636624,0.822021571,3.181233501,0.589795809,3.302589308,0.381609455
2.161264187,2.858742127,2.799959234,1.088320441,3.310240964,0.514159201,3.881462191,0.390649347,2.430735624,1.139641371,3.236135916,0.802496853,3.356995155,0.480412526
2.164124433,3.330682761,2.799202515,1.337605332,3.331325301,0.639523908,3.986955054,0.53579348,2.489353435,1.563185227,3.290781778,0.993922295,3.428595303,0.560395965
2.188232223,3.836245881,2.840546895,1.541585353,3.415662651,0.799102392,4.022119342,0.629434856,2.494131598,1.892537123,3.363215337,1.213696881,3.465635761,0.668608853
2.192113986,4.476736742,2.839996554,1.722883456,3.478915663,0.907390245,4.11003006,0.741804507,2.533722085,2.210187397,3.4000735,1.376773179,3.519956065,0.762707016
2.195995749,5.117227602,2.902081916,2.006191224,3.478915663,1.004256342,4.180358636,0.854174158,2.537476355,2.468963886,3.402296963,1.56116173,3.556483261,0.842690455
2.222146572,5.959891175,2.901393989,2.232813853,3.542168675,1.106846188,4.250687211,0.96186174,2.578773328,2.904239837,3.456686271,1.73131157,3.593267088,0.936788618
2.227662761,6.870062398,2.921584631,2.493439703,3.563253012,1.175230838,4.321015786,1.064867254,2.618363815,3.221890111,3.475756736,1.866038724,3.665466043,1.049706414
2.275061128,7.746348458,2.962894614,2.708750856,3.689759036,1.232262383,4.373762217,1.163190699,2.640292167,3.527747344,3.547762706,2.050353973,3.702335414,1.148509485
2.305093713,9.229502892,2.983360426,2.878727655,3.837349398,1.16964439,4.461672936,1.266196212,2.661367275,3.774791738,3.584535352,2.206338404,3.757340067,1.280246914
2.37476114,10.30796166,3.045824148,3.037392977,3.921686747,1.095604641,4.514419367,1.364519657,2.699592573,3.998341471,3.707680955,2.291312535,3.847845392,1.435508883
2.386815035,8.824632114,3.12961359,3.082756813,4.069277108,0.993100608,4.637494374,1.439432758,2.734916844,4.021927552,3.811414022,2.213192043,3.937153103,1.524902138
2.404180816,8.21776374,3.171955463,2.958134022,4.174698795,0.890579412,4.778151524,1.490935515,2.819985196,3.857403969,3.89701732,2.078354938,4.026289727,1.604885577
2.422159507,7.712025503,3.235451075,2.776865402,4.259036145,0.799445646,4.918808674,1.523709996,2.886196872,3.598749372,3.947387292,1.915187014,4.132791739,1.675459199
2.439116681,7.037737039,3.299015479,2.572934519,4.322289157,0.71969931,5.059465824,1.495617584,2.917254927,3.328271261,4.03222093,1.716523102,4.308156497,1.675459199
2.452192093,5.722957714,3.341460541,2.414318334,4.427710843,0.62287612,5.182540831,1.458161033,2.931504089,3.104812947,4.100293083,1.574612455,4.482751362,1.633115026
2.488558081,4.778901329,3.384008792,2.221708754,4.554216867,0.531759517,5.323197981,1.369201726,2.963074089,2.869622539,4.185041203,1.368856676,4.673941721,1.539016862
2.527171406,4.205655442,3.426557044,2.029099175,4.722891566,0.457754093,5.481437275,1.298970694,3.01162363,2.599174901,4.252856802,1.205670427,4.777535244,1.449623607
2.54106403,3.025716299,3.469139691,1.825158465,5.018072289,0.423686198,5.622094425,1.242785868,3.060173172,2.328727263,4.390369392,1.035319009,4.881556486,1.383754893
2.557816901,2.31771779,3.553789041,1.587244015,5.228915663,0.469356057,5.780333719,1.167872768,3.074081037,2.081743814,4.545840716,0.90750047,5.020479593,1.308476363
2.617882073,1.811804435,3.617353445,1.383313131,5.439759036,0.520723921,5.903408726,1.097641736,3.105992334,1.870078542,4.84113361,0.800810931,5.141780679,1.228492924
2.656291094,1.204848503,3.722881363,1.179401903,5.65060241,0.611977826,6.026483732,1.036774841,3.172886605,1.658474215,5.136939611,0.736672596,5.280447154,1.139099669
2.821368164,0.66478731,3.828409281,0.975490675,5.819277108,0.686120551,6.184723026,0.96186174,3.221094849,1.364501441,5.398624018,0.736397718,5.436735649,1.054411322
2.94599318,0.394581596,3.996744884,0.816933455,6.009036145,0.794459891,6.378126608,0.891630708,3.356589878,1.058918465,5.783026439,0.785637634,5.55812228,0.979132791
3.176651611,0.258778271,4.164977298,0.69236963,6.177710843,0.914186661,6.606694477,0.812035539,3.475958609,0.847405557,6.045480506,0.849189561,5.696788755,0.889739536
3.513343457,0.257377334,4.542889695,0.613228605,6.325301205,1.005414822,6.835262346,0.779261057,3.596009934,0.68294292,6.360442489,0.926870247,5.923308697,0.809756098
3.892734694,0.356931416,4.83663429,0.61336619,6.472891566,1.119435005,7.204487365,0.765214851,3.786709801,0.565652446,6.553370601,1.011771078,6.080110454,0.7532972
4.209200513,0.490458218,5.130069319,0.715483958,6.620481928,1.210663165,7.468219522,0.816717608,4.100873967,0.519150689,6.815910185,1.082414872,6.342815417,0.734477567
4.525870636,0.657695066,5.423401158,0.851595121,6.810240964,1.319002506,7.626458816,0.863538296,4.416403322,0.566749473,7.165335834,1.124599572,6.623912294,0.762707016
4.77961534,0.858904635,5.632840367,0.976335842,6.936746988,1.387430062,7.78469811,0.933769328,4.697802946,0.67310015,7.444294832,1.110122633,6.835633161,0.833280638
5.117737309,1.093474015,5.884277485,1.089765086,7.105421687,1.438780764,7.92535526,0.999318291,4.926386814,0.755834273,7.774992087,1.045947648,7.01236662,0.908559169
5.35023447,1.261061098,6.051649991,1.248479547,7.253012048,1.461632856,8.048430266,1.046138979,5.138503086,0.909113328,8.01871776,1.00313989,7.189014536,0.979132791
5.603161961,1.327430486,6.282346127,1.282581044,7.506024096,1.461735832,8.20666956,1.102323804,5.367769548,1.038897722,8.401922932,0.953093664,7.365833539,1.05911623
5.876519783,1.292582179,6.597210065,1.237403931,7.653614458,1.399117839,8.435237429,1.15850863,5.597206659,1.180444683,8.785384658,0.924323039,7.542481454,1.129689852
6.191146872,1.122718574,6.870351263,1.112889243,7.885542169,1.325138159,8.734133873,1.181918974,5.895927122,1.275063265,9.186719599,0.930993426,7.806212942,1.167329118
6.422009607,1.020625294,7.143354876,1.033699081,8.075301205,1.222651289,8.945119599,1.177236905,6.157958125,1.251995224,9.640647975,0.958884439,8.03444376,1.181443842
6.800175024,0.917919104,7.395445524,0.931836828,8.265060241,1.13156043,9.279180331,1.12105208,6.401473749,1.158321304,9.954840299,0.97273832,8.27944116,1.153214393
7.15791011,0.916430609,7.773289128,0.875358066,8.454819277,1.040469571,9.472583912,1.074231392,6.609835751,1.05282387,10.39115201,0.986463923,8.489280064,1.120280036
7.557935981,0.948477041,8.151029544,0.852872699,8.644578313,0.97786874,9.683569637,1.022728635,6.870672214,0.947417856,10.74023559,1.000281153,8.7337642,1.063821138
7.852541346,0.947251222,8.549579734,0.887052816,8.918674699,0.915302235,9.912137506,0.980590016,7.14934146,0.865567449,11.01919459,0.985804215,8.977991706,0.993247516
8.189437496,0.97956033,8.969008492,0.955236155,9.319277108,0.881277246,10.14070538,0.938451396,7.446355436,0.842560355,11.40291287,0.978309192,9.310500397,0.955608251
8.547581189,1.045491925,9.199635836,1.011999915,9.78313253,0.881466035,10.43960182,0.910358984,7.761031548,0.8313463,11.73412323,0.956685411,9.537961321,0.927378802
8.863229795,1.044178547,9.59815163,1.057511163,10.18373494,0.910119109,10.7912447,0.910358984,8.111543876,0.879006031,12.10056692,0.963392448,9.888348663,0.908559169
9.262847059,1.008804889,9.975823252,1.057688059,10.5,0.944435863,11.072559,0.910358984,8.497209826,0.938489275,12.43211935,0.970136136,10.20426186,0.922673893
9.641421082,0.973518789,10.37454542,1.035212519,10.8373494,0.961667182,11.24838043,0.938451396,8.76043537,0.997759208,12.81592314,0.96973298,10.55550464,0.950903342
10.01999511,0.93823269,10.8152999,0.990094371,11.06927711,0.978855593,11.45936616,0.96186174,9.09362686,1.057151033,13.14739006,0.969384801,10.81923613,0.988542608
10.39897774,0.970366681,11.21398768,0.978949962,11.51204819,1.00752583,11.72309832,0.994636222,9.40847362,1.057699546,13.37418321,0.969146573,11.25833238,1.026181873
10.86172472,0.934730348,11.5916593,0.979126858,11.93373494,1.007697456,12.02199476,1.013364497,9.827757355,1.023143194,13.70565013,0.968798393,11.48673428,1.049706414
11.34571925,0.932716501,11.99031268,0.979313581,12.33433735,1.013558508,12.26814477,1.04145691,10.17707514,0.988464951,13.96733453,0.968523515,11.80239085,1.049706414
11.91409104,0.964062465,12.38893166,0.990831435,12.73493976,1.025117564,12.49671264,1.04145691,10.45693893,0.988952518,14.36866948,0.975193902,12.10033985,1.040296597
12.31391261,0.962398852,12.76656889,1.002339462,13.19879518,1.025306354,12.72528051,1.04145691,10.85890183,0.966128261,14.76983338,0.967680554,12.48562905,1.012067148
12.7770682,0.994182609,13.16518787,1.013857316,13.64156627,1.031184567,12.98901267,1.04145691,11.20856091,0.954975153,,,12.7836636,1.00736224
13.28190167,0.958371159,13.66875004,1.014093177,13.97891566,1.025623863,13.27032697,1.013364497,11.50591618,0.955493194,,,13.06390504,0.988542608
13.70276648,0.956619987,14.0675066,0.980286505,14.40060241,1.037191501,13.56922341,0.999318291,11.8735787,0.979658262,,,13.44970751,0.988542608
14.18676101,0.954606141,14.46612559,0.99180436,14.84337349,1.020277692,13.885702,0.989954153,12.20591695,0.980237248,,,13.80043703,0.988542608
14.52345285,0.953205204,14.88576072,0.99200091,,,14.20218059,0.989954153,12.60839179,0.992700694,,,14.16878856,0.993247516
14.8601447,0.951804267,,,,,14.53624132,0.989954153,12.92323855,0.993249208,,,14.51977471,1.00736224
,,,,,,14.90546634,0.994636222,13.29073042,1.005651708,,,14.81806589,1.016772057
,,,,,,,,13.60523588,0.982675086,,,,
,,,,,,,,13.86760818,0.983132181,,,,
,,,,,,,,14.16496346,0.983650221,,,,
,,,,,,,,14.42733576,0.984107316,,,,
,,,,,,,,14.68970806,0.98456441,,,,
,,,,,,,,14.91709738,0.984960559,,,,
