Cl-Cl,,Mg-Cl,,Mg-Mg,
R (A),RDF,R (A),RDF,R (A),RDF
3.38625,1.804001294,3.38625,0.276775017,3.38625,0.782474512
3.43875,2.000720542,3.43875,0.289587643,3.43875,0.895799488
3.49125,2.084689213,3.49125,0.293416731,3.49125,0.973357519
3.54375,2.195543851,3.54375,0.317500622,3.54375,1.078110414
3.59625,2.278088796,3.59625,0.328151499,3.59625,1.164985828
3.64875,2.277505552,3.64875,0.347248536,3.64875,1.256901153
3.70125,2.258794272,3.70125,0.36528568,3.70125,1.385386473
3.75375,2.225104197,3.75375,0.386356885,3.75375,1.437706502
3.80625,2.139499954,3.80625,0.412850639,3.80625,1.514312911
3.85875,2.073153893,3.85875,0.431007912,3.85875,1.582948625
3.91125,1.996395988,3.91125,0.456926013,3.91125,1.643098491
3.96375,1.898970727,3.96375,0.48184494,3.96375,1.675045009
4.01625,1.785555144,4.01625,0.51134539,4.01625,1.714917987
4.06875,1.68048051,4.06875,0.544519464,4.06875,1.68742695
4.12125,1.585022324,4.12125,0.579627284,4.12125,1.673941734
4.17375,1.475373092,4.17375,0.615871729,4.17375,1.677353081
4.22625,1.360425559,4.22625,0.648218196,4.22625,1.607072268
4.27875,1.269736441,4.27875,0.685740024,4.27875,1.575625841
4.33125,1.181208632,4.33125,0.709233127,4.33125,1.572125123
4.38375,1.093282189,4.38375,0.750432747,4.38375,1.458180627
4.43625,1.007886171,4.43625,0.770645997,4.43625,1.409733179
4.48875,0.952172147,4.48875,0.820934842,4.48875,1.299234409
4.54125,0.890883142,4.54125,0.851570076,4.54125,1.236165756
4.59375,0.846510409,4.59375,0.879093502,4.59375,1.164248171
4.64625,0.789533786,4.64625,0.926164772,4.64625,1.049374806
4.69875,0.759506142,4.69875,0.952898591,4.69875,0.993683172
4.75125,0.729342561,4.75125,0.99011411,4.75125,0.900062247
4.80375,0.7015739,4.80375,1.024195627,4.80375,0.864418647
4.85625,0.683550835,4.85625,1.051823753,4.85625,0.797129735
4.90875,0.665908801,4.90875,1.075994895,4.90875,0.750281199
4.96125,0.652469356,4.96125,1.095426434,4.96125,0.71309574
5.01375,0.638687708,5.01375,1.127305989,5.01375,0.704208913
5.06625,0.63940451,5.06625,1.151475549,5.06625,0.679911352
5.11875,0.631589346,5.11875,1.174627767,5.11875,0.672595464
5.17125,0.626928152,5.17125,1.196632481,5.17125,0.670841727
5.22375,0.625360817,5.22375,1.236388343,5.22375,0.667722608
5.27625,0.625267637,5.27625,1.259332957,5.27625,0.692620416
5.32875,0.632898008,5.32875,1.279091359,5.32875,0.677791121
5.38125,0.643183966,5.38125,1.302999484,5.38125,0.698827696
5.43375,0.647829075,5.43375,1.333987876,5.43375,0.71976021
5.48625,0.658697397,5.48625,1.338638678,5.48625,0.714117474
5.53875,0.675589078,5.53875,1.352477409,5.53875,0.736214161
5.59125,0.695316036,5.59125,1.348660749,5.59125,0.759976808
5.64375,0.699106379,5.64375,1.350903321,5.64375,0.782646321
5.69625,0.730381055,5.69625,1.342151572,5.69625,0.807633801
5.74875,0.750357412,5.74875,1.329710262,5.74875,0.812348588
5.80125,0.77649354,5.80125,1.314505908,5.80125,0.837431507
5.85375,0.80022843,5.85375,1.287621855,5.85375,0.852412111
5.90625,0.832166104,5.90625,1.254954058,5.90625,0.876974776
5.95875,0.858385207,5.95875,1.217085858,5.95875,0.886022103
6.01125,0.892432443,6.01125,1.193675794,6.01125,0.919005992
6.06375,0.912862699,6.06375,1.150014542,6.06375,0.936622873
6.11625,0.954874043,6.11625,1.109783371,6.11625,0.951533068
6.16875,0.98774748,6.16875,1.07181473,6.16875,0.961715858
6.22125,1.014416353,6.22125,1.041912548,6.22125,0.98678653
6.27375,1.039713008,6.27375,1.008960047,6.27375,1.012134422
6.32625,1.068342016,6.32625,0.965928541,6.32625,1.031259807
6.37875,1.093505747,6.37875,0.943783515,6.37875,1.060817871
6.43125,1.130215115,6.43125,0.900959735,6.43125,1.06599451
6.48375,1.150434159,6.48375,0.880610002,6.48375,1.08572557
