Cl-Cl,,K-Cl,,K-K,,K-Li,,Li-Cl,,Li-Li,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
3.07125,0.07638597884771493,3.07125,3.0943826020720118,3.07125,0.007523685246658376,3.07125,0.17955074936469745,3.07125,0.5147121481787994,3.07125,1.4527767985361255
3.12375,0.1395964996173176,3.12375,3.214731365930325,3.12375,0.006060766125870213,3.12375,0.2516711174470048,3.12375,0.47043695948068,3.12375,1.4973920999014747
3.1762499999999996,0.24072048017331635,3.1762499999999996,3.145228834794202,3.1762499999999996,0.017586211735598222,3.1762499999999996,0.34479169907126483,3.1762499999999996,0.43764368752798233,3.1762499999999996,1.5808744979641425
3.22875,0.3861743856576883,3.22875,3.058150351693498,3.22875,0.04311471026472133,3.22875,0.4458310981721546,3.22875,0.40660434889748864,3.22875,1.619475629105872
3.28125,0.5563654851512653,3.28125,2.8692717182651175,3.28125,0.059323413930111125,3.28125,0.5578247800470675,3.28125,0.39205879071246125,3.28125,1.6447538732853912
3.3337499999999998,0.7978931397298449,3.3337499999999998,2.6678381673138984,3.3337499999999998,0.06704799557643477,3.3337499999999998,0.6886802398177624,3.3337499999999998,0.38012544300863155,3.3337499999999998,1.6757167562474375
3.38625,1.048235067269208,3.38625,2.4454815733727195,3.38625,0.09283592231484758,3.38625,0.7984337801793389,3.38625,0.37714863360560275,3.38625,1.7144096040852486
3.4387499999999998,1.3126661449672925,3.4387499999999998,2.2364122633581864,3.4387499999999998,0.11602955566238331,3.4387499999999998,0.9480385908556401,3.4387499999999998,0.36631754544819867,3.4387499999999998,1.6956352459904176
3.49125,1.5944386065870348,3.49125,2.041449286085711,3.49125,0.15429339152236266,3.49125,1.088351352633404,3.49125,0.3699539523007484,3.49125,1.6683176158848165
3.54375,1.8443249959688233,3.54375,1.8536582577231606,3.54375,0.24676722540041565,3.54375,1.1935409146233844,3.54375,0.3821129105197276,3.54375,1.6481098372416627
3.59625,2.049841947945682,3.59625,1.6559317858955251,3.59625,0.291745054348153,3.59625,1.381570759843959,3.59625,0.3779494522058645,3.59625,1.6436724888860037
3.6487499999999997,2.2101522876271513,3.6487499999999997,1.5167192788229058,3.6487499999999997,0.3989063178975591,3.6487499999999997,1.4707811523450625,3.6487499999999997,0.38499683690469605,3.6487499999999997,1.662378156985998
3.70125,2.332371234445531,3.70125,1.3732906863676508,3.70125,0.4489722547366516,3.70125,1.5629690203493922,3.70125,0.3892629212615095,3.70125,1.598100090868887
3.75375,2.4113031464104036,3.75375,1.2192198994196048,3.75375,0.5817223464412543,3.75375,1.6815896299818553,3.75375,0.41208898068677147,3.75375,1.5651122694381756
3.80625,2.4478532520192524,3.80625,1.1049543981794419,3.80625,0.6588587405346449,3.80625,1.7281449568325429,3.80625,0.426696907515047,3.80625,1.505473335660462
3.8587499999999997,2.4098162073492047,3.8587499999999997,1.0224070613939946,3.8587499999999997,0.7109569980313051,3.8587499999999997,1.8161840035369539,3.8587499999999997,0.44557596829584833,3.8587499999999997,1.4923870028142707
3.91125,2.3529950744609773,3.91125,0.9199237731520286,3.91125,0.8551410138405062,3.91125,1.841207776635496,3.91125,0.4625256250485304,3.91125,1.4691990442718024
3.96375,2.2526517734649754,3.96375,0.83280591617082,3.96375,0.9493284795723822,3.96375,1.9053233925139412,3.96375,0.4871854722018203,3.96375,1.4188865150757992
4.016249999999999,2.204301006082834,4.016249999999999,0.7731197079568255,4.016249999999999,1.0845280651229912,4.016249999999999,1.8925865452916497,4.016249999999999,0.5031147774122509,4.016249999999999,1.3889828072261594
4.06875,2.056246239825033,4.06875,0.7221245724195555,4.06875,1.2253393184329628,4.06875,1.9030839338897108,4.06875,0.5254537661406548,4.06875,1.3560779336995874
4.12125,1.932833980270587,4.12125,0.6831390312502523,4.12125,1.3537945130356883,4.12125,1.8976699731542783,4.12125,0.5553620750276909,4.12125,1.3131702049833283
4.17375,1.806407807270621,4.17375,0.6175641550352168,4.17375,1.4129727040196978,4.17375,1.836021193239003,4.17375,0.5845539980307274,4.17375,1.2578240913966794
4.22625,1.6941207426149087,4.22625,0.593928282384222,4.22625,1.5608598609423514,4.22625,1.7695369188363184,4.22625,0.6112769815089083,4.22625,1.2418283751943338
4.27875,1.5659701666109942,4.27875,0.5871718906771308,4.27875,1.5660788516428004,4.27875,1.7233552810148058,4.27875,0.6421738528649851,4.27875,1.210521066900495
4.33125,1.4430122575028874,4.33125,0.5489537552585593,4.33125,1.6342686819459546,4.33125,1.665857890846737,4.33125,0.6776089893333622,4.33125,1.1913107752774488
4.38375,1.339036662466676,4.38375,0.5470370244149271,4.38375,1.7203045817174014,4.38375,1.6190781867920476,4.38375,0.7127026742835704,4.38375,1.1575041700550925
4.436249999999999,1.2295296337062398,4.436249999999999,0.524755875167968,4.436249999999999,1.6948540180616174,4.436249999999999,1.5146200816769375,4.436249999999999,0.7303571661211276,4.436249999999999,1.1091985048343516
4.48875,1.144097480554914,4.48875,0.5260818047390429,4.48875,1.7804792045082949,4.48875,1.4608085018979045,4.48875,0.7762402990086998,4.48875,1.0880398468919905
4.54125,1.0515991133760352,4.54125,0.5101542797606169,4.54125,1.819846240063783,4.54125,1.4300709627508073,4.54125,0.8198757656499566,4.54125,1.05034756955578
4.59375,0.9666721648415701,4.59375,0.5119710119365241,4.59375,1.8311755328809036,4.59375,1.335988132709284,4.59375,0.846945547213409,4.59375,1.002930772602906
4.64625,0.9051790182481162,4.64625,0.5150217058103995,4.64625,1.833312290407444,4.64625,1.3193950103201262,4.64625,0.8833224284675774,4.64625,0.9625686168520536
