Mg-Cl,,K-Cl,,Mg-Mg,,K-K,,Na-Cl,,Cl-Cl,,Na-Na,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6.941442527,0.713489985,9.187719041,1.005081817,7.653228261,1.26230166,12.90478127,1.047716738,8.931352451,1.057058992,10.51765269,1.027636934,12.51745783,1.013098941
7.062239853,0.713489985,9.35757467,1.025921247,7.742738984,1.228640497,13.05222723,1.036910031,9.145773591,1.074957045,10.66278368,1.018710857,12.80574686,0.998204245
7.257253319,0.743693627,9.527130553,1.059264336,7.843438548,1.194979333,13.26674974,1.018869701,9.346853893,1.083906071,10.87489974,1.005318553,13.07543661,0.993368845
7.433742919,0.758795447,9.790306862,1.063432222,7.955326952,1.155197958,13.48118479,1.004477416,9.588302326,1.074957045,11.07581476,1.000928857,13.41022387,0.993618593
7.582356214,0.773897268,10.01486599,1.063432222,8.044837675,1.121536795,13.68197715,1.001016771,9.789589999,1.057058992,11.26562927,0.983019304,13.68921326,0.996345009
7.749433035,0.81920273,10.18552094,1.050928563,8.134348398,1.078695314,13.89614984,0.99756862,10.00435676,1.030211913,11.45538346,0.978623231,14.08909805,1.001679905
8.000078437,0.879610013,10.35637572,1.030089133,8.223859121,1.038913938,14.11023508,0.997768513,10.21905439,1.01231386,11.6674392,0.978744405,14.44248461,1.0120167
8.204444343,0.894711834,10.58143443,1.009249703,8.335747524,1.008312881,14.35108098,0.997993392,10.48746099,0.985466781,11.93529907,0.978897468,14.73077365,1.012231761
8.353057637,0.909813655,10.82188006,0.992578159,8.436447088,0.974651717,14.4847968,1.001766369,10.75579848,0.967568729,12.19199812,0.979044153,14.89816728,1.01739322
8.557363205,0.940017296,11.04673894,0.980074501,8.581902013,0.937930448,14.6319804,1.001903796,10.99717779,0.967568729,12.37057137,0.979146195,,
8.743205246,0.940017296,11.34853242,0.988410273,8.716168097,0.913449601,14.779164,1.002041222,11.21166805,0.976517755,12.58258689,0.988276356,,
8.910463082,0.940017296,11.51888763,0.988410273,8.906378384,0.888968755,14.89958695,1.002153662,11.45297824,0.985466781,12.79462251,0.992902024,,
9.124302106,0.909813655,11.78990727,0.988410273,9.130155192,0.885908649,,,11.68094758,0.985466781,13.05132156,0.993048709,,
9.319556925,0.879610013,12.0144664,0.988410273,9.320365478,0.898149073,,,11.90884781,0.994415808,13.34150309,0.993214527,,
9.459059132,0.849406372,12.2235387,0.988410273,9.521764605,0.913449601,,,12.150158,1.003364834,13.55353872,0.997840194,,
9.579856458,0.849406372,12.38585074,1.000913931,9.723163732,0.931810236,,,12.45844887,1.021262887,13.76555424,1.006970355,,
9.774990601,0.849406372,12.54846252,1.000913931,9.857429816,0.950170871,,,12.71323814,1.021262887,13.93296666,1.007066019,,
9.951661216,0.81920273,12.71107431,1.000913931,10.01407358,0.9654714,,,12.96802741,1.021262887,14.15620333,1.002689079,,
10.15608746,0.81920273,12.93573336,0.996746045,10.21547271,0.983832034,,,13.16154829,0.996155896,14.33477658,1.002791121,,
10.37909791,0.81920273,13.28438701,0.988410273,10.38330531,0.98689214,,,13.45018696,1.002370498,14.47990757,0.993865044,,
10.59275592,0.834304551,13.4311123,1.005081817,10.58470444,0.989952246,,,13.77617153,0.996155896,14.64731999,0.993960708,,
10.76924552,0.849406372,13.64792802,1.005081817,10.84204777,0.98689214,,,14.08348316,0.996155896,14.80357158,0.994049994,,
10.93662403,0.81920273,13.83396989,0.996746045,11.02106922,0.977711823,,,14.40941972,0.996155896,,,,
11.08529766,0.81920273,14.03559851,0.984242387,11.2672237,0.968531506,,,14.5958132,0.977512091,,,,
11.29901601,0.81920273,14.2370273,0.980074501,11.51337819,0.9654714,,,14.79123113,0.996155896,,,,
11.53119788,0.849406372,14.38445199,0.967570843,11.737155,0.959351188,,,14.94959118,0.989941294,,,,
11.67987152,0.849406372,14.51609011,0.967570843,11.91617645,0.950170871,,,,,,,,
11.82848481,0.864508192,14.73290582,0.967570843,12.17351978,0.950170871,,,,,,,,
11.95857424,0.864508192,14.87218744,0.971738729,12.34135238,0.959351188,,,,,,,,
12.15370838,0.864508192,,,12.54275151,0.968531506,,,,,,,,
12.30250269,0.834304551,,,12.72177295,0.977711823,,,,,,,,
12.48834473,0.834304551,,,12.86722788,0.989952246,,,,,,,,
12.62766592,0.849406372,,,13.10219353,0.996072458,,,,,,,,
12.78563166,0.849406372,,,13.23645961,1.002192669,,,,,,,,
12.9900579,0.849406372,,,13.4266699,1.008312881,,,,,,,,
13.16648716,0.879610013,,,13.5385583,1.008312881,,,,,,,,
13.3151608,0.879610013,,,13.68401323,1.008312881,,,,,,,,
13.45460267,0.864508192,,,13.84065699,1.011372986,,,,,,,,
13.5939842,0.864508192,,,14.0644338,1.008312881,,,,,,,,
13.77053414,0.864508192,,,14.22107757,1.005252775,,,,,,,,
13.909976,0.849406372,,,14.33296597,0.999132563,,,,,,,,
14.15163099,0.834304551,,,14.41128785,0.999132563,,,,,,,,
14.30959673,0.834304551,,,14.5343651,0.999132563,,,,,,,,
14.47685457,0.834304551,,,14.67982002,0.999132563,,,,,,,,
14.68128081,0.834304551,,,14.84765263,0.996072458,,,,,,,,
14.82983377,0.864508192,,,,,,,,,,,,
