K-K,,K-Cl,,K-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6.166603113,0.842164517,7.182514051,0.77162396,6.06623426,0.725771066,6.640701542,0.809445067,3.017427736,2.220264116,5.801237938,0.512068195
6.323222519,0.796871571,7.339067395,0.806526896,6.222794587,0.642370968,6.797485493,0.844118532,3.044505591,1.832349159,5.967228413,0.399359066
6.479841925,0.748577273,7.495606443,0.848982552,6.379449859,0.609102077,6.954274213,0.881309543,3.100465721,1.411881667,6.124013097,0.356027206
6.63646133,0.721292435,7.652135961,0.896473353,6.53609089,0.568313504,7.111053396,0.913465463,3.189356084,0.984678267,6.280855304,0.343038913
6.793080736,0.725521783,7.808651183,0.951516875,6.692798383,0.562616776,7.267846883,0.953174019,3.282174312,0.697540469,6.437726274,0.345222403
6.949700142,0.722247754,7.965166406,1.006560396,6.849553348,0.581985651,7.42461653,0.980294849,3.42538653,0.447060421,6.594649972,0.37522083
7.106319548,0.735481157,8.121705454,1.049016052,7.006327302,0.611380768,7.581376641,1.002380588,3.563575844,0.284597748,6.751564084,0.400161996
7.262938954,0.757718613,8.278234972,1.096506854,7.163120245,0.650802125,7.738155824,1.034536508,3.714932375,0.240198168,6.908574068,0.475675774
7.41955836,0.797964176,8.43477402,1.138962509,7.31994642,0.707769405,7.894906398,1.051587156,3.866288905,0.195798589,7.065617607,0.568889966
7.576177765,0.842711766,8.591355954,1.158760006,7.476805825,0.782282607,8.051647437,1.063602713,4.017707834,0.19535487,7.222646766,0.654518266
7.732797171,0.894962734,8.747942653,1.17603993,7.633669977,0.85930237,8.208364635,1.063030544,4.188054128,0.194855687,7.379733447,0.770490133
7.889416577,0.944212351,8.904562709,1.175696841,7.790538877,0.938828693,8.365081833,1.062458374,4.358462821,0.238312365,7.536796161,0.873818847
8.046035983,0.993461968,9.06121612,1.15773074,7.947393535,1.010835334,8.521784727,1.054333569,4.55254632,0.292688677,7.693911604,1.004962498
