Mg-Cl,,Mg-Mg,
X,Y,X,Y
2.382002335,3.689077146,4.90548978,0.964569016
2.382089711,3.603143161,5.008553509,0.879157861
2.382177087,3.517209177,5.175494096,0.815365364
2.382264462,3.431275193,5.337539998,0.768575906
2.396149841,3.775005181,5.499609595,0.745164214
2.399878753,3.876851264,5.661700733,0.743005035
2.417874907,3.946863997,5.823791871,0.740845857
2.422339305,4.133052351,5.985903473,0.758876567
2.444583955,4.332362072,6.148031231,0.792846663
2.450472509,4.464045429,6.31016545,0.833192512
2.462914829,4.611639742,6.472304517,0.878320178
2.478575118,4.825129869,6.634450046,0.929823597
2.521446982,4.714497311,6.796610115,0.995672464
2.543734725,4.54834903,6.958763183,1.054614263
2.564428052,4.388769432,7.1225539,1.113893828
2.571146418,4.242794648,7.283051548,1.154964538
2.586025144,4.148029615,7.445164227,1.174057874
2.593234373,4.057752556,7.60726452,1.180931014
2.612169301,3.877558225,7.769339502,1.16283245
2.634867562,3.765357196,7.931403175,1.133576317
2.641024312,3.633270962,8.093464156,1.101663619
2.650770525,3.470947209,8.255515982,1.060718602
2.677532785,3.265649371,8.417571039,1.022961463
2.708077205,3.109827074,8.57962825,0.987329575
2.731236799,2.947750888,8.741687076,0.953291625
2.743951248,2.827705687,8.903756673,0.929879933
2.746270381,2.700684505,9.065841349,0.921345
2.75349546,2.594819252,9.22793141,0.918123196
2.782613811,2.495382663,9.390024164,0.917557956
2.793942642,2.391938917,9.552128765,0.928681599
2.812536305,2.278148233,9.714237135,0.943524432
2.826196037,2.17072509,9.876344429,0.957304639
2.838940266,2.075237599,10.03846195,0.981179791
2.853471813,1.998845794,10.20056656,0.992303434
2.878122389,1.908850786,10.36267977,1.011928082
2.889787736,1.820597243,10.52478868,1.027302228
2.914443292,1.725704122,10.68689598,1.041082435
2.926095568,1.650305543,10.84898927,1.041048508
2.947886093,1.54240159,11.01109064,1.048984274
2.957911239,1.455747336,11.17317478,1.039918029
2.984098665,1.358105879,11.33526268,1.034570973
3.019439459,1.250434968,11.49734897,1.027629979
3.044055168,1.13703961,11.65943365,1.019095046
3.072606238,1.057061365,11.8215124,1.004715673
3.107453507,0.977080489,11.98359115,0.990336299
3.13335693,0.885679591,12.14567744,0.983395305
3.179911248,0.791814807,12.30776427,0.976985623
3.243251701,0.688786951,12.46984949,0.968982004
3.351759153,0.587092881,12.6319444,0.970542015
3.487358123,0.494736784,12.79403392,0.966788898
3.650010115,0.449580006,12.95613206,0.971536787
3.81263352,0.432537433,13.11824043,0.98637962
3.975223486,0.448383175,13.28033372,0.986345693
4.137791877,0.485447184,13.44242809,0.987374392
4.300350021,0.532589871,13.60452946,0.995310158
4.462884972,0.602542196,13.76663352,1.005902488
4.607358353,0.666818607,13.92872735,1.006399874
4.751805074,0.757314735,14.09082818,1.013804326
4.896263275,0.836519713,14.25292794,1.020146154
5.031665679,0.937486663,14.41501369,1.012673847
5.167083511,1.023278763,14.57711021,1.015827797
5.30249389,1.116402532,14.73920297,1.015262557
5.455968401,1.212682546,14.9012871,1.006196312
5.618506049,1.279982587,15.0633777,1.003505821
5.781087385,1.304315636,15.22547261,1.005065832
5.943705936,1.292047174,15.38755136,0.990686458
6.106362243,1.242646742,15.54964142,0.987464654
6.269047674,1.164601649,15.71173849,0.991149917
6.431734185,1.085495643,15.87382801,0.9873968
6.594423392,1.003737353,16.03592076,0.98683156
6.757095879,0.938423221,16.19801405,0.986797634
6.919751646,0.889553247,16.36010735,0.986763707
7.082385839,0.86190154,16.52220064,0.98672978
7.245010323,0.843798053,16.68429393,0.986695853
7.407613773,0.846382378,16.84639638,0.995694244
7.570211829,0.854271269,17.00849398,0.99991082
7.732799637,0.872238838,17.17058727,0.999876893
7.895381512,0.89604143,17.33267895,0.998249028
8.057956376,0.92673996,17.49477708,1.002996916
8.2205307,0.957968946,17.65687361,1.006150866
8.383101249,0.992911129,17.81896582,1.005054314
8.545676112,1.023609658,17.93603374,1.005561124
8.708251515,1.053777731,,
8.870838245,1.072806213,,
9.033437919,1.079103734,,
9.196043526,1.079566232,,
9.358656684,1.072602336,,
9.521275235,1.060333874,,
9.683900259,1.04169993,,
9.846533373,1.015109137,,
10.00915624,0.99859702,,
10.17178612,0.975188967,,
10.3344079,0.959737764,,
10.49702376,0.950121585,,
10.65963098,0.948992712,,
10.82224414,0.942028817,,
10.98484651,0.945674055,,
11.14744834,0.949849749,,
11.31004155,0.962512751,,
11.4726396,0.970401643,,
11.63523226,0.983595101,,
11.79783032,0.991483993,,
11.9604219,1.005738364,,
12.12302643,1.007261776,,
12.28562233,1.017272494,,
12.44823171,1.014021795,,
12.61083516,1.01660612,,
12.7734494,1.00858131,,
12.9360577,1.006391525,,
13.09866385,1.006323566,,
13.26127431,1.002011953,,
13.42389556,0.987091207,,
13.58650171,0.987023248,,
13.74911486,0.980059352,,
13.9117291,0.972034543,,
14.07433956,0.967722931,,
14.23694571,0.967654972,,
14.39955078,0.968647926,,
14.56215315,0.972293164,,
14.72474527,0.98601708,,
14.88735088,0.986479577,,
15.04995702,0.986411618,,
15.21256209,0.987404573,,
15.37516446,0.991049811,,
15.53775874,1.002651899,,
15.70036219,1.005236224,,
15.86296834,1.005168265,,
16.02557718,1.002448023,,
16.18818333,1.002380064,,
16.3508008,0.991172514,,
16.51340964,0.988452272,,
16.67601849,0.98573203,,
16.83862463,0.985664071,,
17.00123078,0.985596112,,
17.16383692,0.985528153,,
17.32644307,0.985460194,,
17.48904922,0.985392236,,
17.65165536,0.985324277,,
17.81426151,0.985256318,,
17.94976663,0.985199685,,
