Cl-Cl,,K-Cl,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF
5.95875,1.01064758,5.95875,0.923614547,5.95875,1.006818386
6.01125,1.003338984,6.01125,0.968144022,6.01125,1.004614442
6.06375,0.996882965,6.06375,1.00109572,6.06375,0.984787
6.11625,0.962902078,6.11625,1.055970269,6.11625,0.979719445
6.16875,0.957482537,6.16875,1.084870777,6.16875,0.964931171
6.22125,0.955323193,6.22125,1.111941597,6.22125,0.953417905
6.27375,0.918148613,6.27375,1.155098857,6.27375,0.929799651
6.32625,0.927386963,6.32625,1.189317235,6.32625,0.907233887
6.37875,0.884885545,6.37875,1.219591918,6.37875,0.89445708
6.43125,0.871556074,6.43125,1.249993159,6.43125,0.8777962
6.48375,0.860130231,6.48375,1.259485257,6.48375,0.869777986
6.53625,0.850521804,6.53625,1.292961265,6.53625,0.847824817
6.58875,0.835853905,6.58875,1.311829954,6.58875,0.8310233
6.64125,0.819138287,6.64125,1.330848638,6.64125,0.819033791
6.69375,0.794150301,6.69375,1.335302786,6.69375,0.797030453
6.74625,0.799357474,6.74625,1.345527603,6.74625,0.790192737
6.79875,0.772552124,6.79875,1.353327534,6.79875,0.77938225
6.85125,0.773914807,6.85125,1.352243743,6.85125,0.773080212
6.90375,0.761125351,6.90375,1.355586987,6.90375,0.759674852
6.95625,0.756061546,6.95625,1.344992866,6.95625,0.767205311
7.00875,0.747169776,7.00875,1.330960832,7.00875,0.747826546
7.06125,0.752831412,7.06125,1.328895005,7.06125,0.753986841
7.11375,0.748272428,7.11375,1.317992475,7.11375,0.756605793
7.16625,0.747804287,7.16625,1.310199797,7.16625,0.760862256
7.21875,0.758105055,7.21875,1.295527305,7.21875,0.760139287
7.27125,0.756916968,7.27125,1.267624288,7.27125,0.759967998
7.32375,0.768488035,7.32375,1.250026468,7.32375,0.785845287
7.37625,0.782364824,7.37625,1.22673594,7.37625,0.791555663
7.42875,0.789092751,7.42875,1.198557018,7.42875,0.808092444
7.48125,0.802184373,7.48125,1.178204534,7.48125,0.80041391
7.53375,0.814145476,7.53375,1.145851105,7.53375,0.818124444
7.58625,0.840995715,7.58625,1.133339202,7.58625,0.837552129
7.63875,0.861030463,7.63875,1.117422977,7.63875,0.849577439
7.69125,0.877442085,7.69125,1.097395783,7.69125,0.878221203
7.74375,0.869965899,7.74375,1.064424256,7.74375,0.88595255
7.79625,0.908296754,7.79625,1.050005429,7.79625,0.906249419
7.84875,0.930302516,7.84875,1.029482698,7.84875,0.931013271
7.90125,0.93717539,7.90125,1.00381555,7.90125,0.960430363
7.95375,0.964841126,7.95375,0.994018117,7.95375,0.973729307
8.00625,0.989581892,8.00625,0.969804955,8.00625,0.990229007
8.05875,1.009907826,8.05875,0.949440928,8.05875,1.00270459
8.11125,1.021500265,8.11125,0.928410705,8.11125,1.020904822
8.16375,1.049066867,8.16375,0.929388749,8.16375,1.039869379
8.21625,1.070932067,8.21625,0.90880697,8.21625,1.068371825
8.26875,1.076082119,8.26875,0.895533443,8.26875,1.084407119
8.32125,1.106743185,8.32125,0.883444712,8.32125,1.098023693
8.37375,1.124491865,8.37375,0.880590689,8.37375,1.120613853
8.42625,1.132236437,8.42625,0.866211152,8.42625,1.11756621
8.47875,1.137716116,8.47875,0.859090184,8.47875,1.13710706
8.53125,1.148294829,8.53125,0.851074544,8.53125,1.155007226
8.58375,1.159062103,8.58375,0.847481767,8.58375,1.14429977
8.63625,1.160616039,8.63625,0.842780579,8.63625,1.167660561
8.68875,1.170869559,8.68875,0.840731615,8.68875,1.167481309
8.74125,1.189479613,8.74125,0.83369591,8.74125,1.189962161
8.79375,1.18661358,8.79375,0.827181129,8.79375,1.181398548
8.84625,1.181110763,8.84625,0.837799934,8.84625,1.184556123
8.89875,1.183075596,8.89875,0.837948155,8.89875,1.179321556
8.95125,1.195410875,8.95125,0.835955177,8.95125,1.174588108
9.00375,1.189896666,9.00375,0.839330718,9.00375,1.192511886
9.05625,1.183923847,9.05625,0.844492815,9.05625,1.183699065
9.10875,1.195785097,9.10875,0.845132707,9.10875,1.184425236
9.16125,1.170202663,9.16125,0.84662741,9.16125,1.160125834
9.21375,1.161329731,9.21375,0.850305803,9.21375,1.170803437
9.26625,1.159023444,9.26625,0.859257793,9.26625,1.159050282
9.31875,1.164789051,9.31875,0.862564923,9.31875,1.15653604
9.37125,1.148415998,9.37125,0.882694615,9.37125,1.147051492
9.42375,1.137550226,9.42375,0.87774594,9.42375,1.124731443
9.47625,1.134501426,9.47625,0.884878284,9.47625,1.125750606
9.52875,1.119623381,9.52875,0.891159382,9.52875,1.114217393
9.58125,1.110851376,9.58125,0.898182694,9.58125,1.095438226
9.63375,1.092420545,9.63375,0.917829342,9.63375,1.096418175
9.68625,1.092793246,9.68625,0.927495947,9.68625,1.082059841
9.73875,1.074531174,9.73875,0.931809992,9.73875,1.079026205
9.79125,1.069865651,9.79125,0.944504209,9.79125,1.063447611
9.84375,1.044976098,9.84375,0.951868471,9.84375,1.049756257
9.89625,1.046648108,9.89625,0.952437974,9.89625,1.042083243
9.94875,1.029251444,9.94875,0.969654491,9.94875,1.022918592
10.00125,1.008843843,10.00125,0.983639025,10.00125,1.011355067
10.05375,1.008799782,10.05375,0.999244462,10.05375,1.010714879
10.10625,0.996089742,10.10625,1.012517444,10.10625,1.003242058
10.15875,0.979367523,10.15875,1.020275505,10.15875,0.988924724
10.21125,0.985920582,10.21125,1.032353422,10.21125,0.977345438
10.26375,0.967350737,10.26375,1.043286224,10.26375,0.974678986
10.31625,0.946032107,10.31625,1.055284368,10.31625,0.952073374
10.36875,0.940548877,10.36875,1.045909806,10.36875,0.947279331
10.42125,0.918470811,10.42125,1.031866429,10.42125,0.928974289
10.47375,0.900631313,10.47375,1.032297481,10.47375,0.899391903
