Cs-F,,Cs-Cs,,F-F,,Cs-F,eV,,,,,m,m,Coulomb,F/m,J/K,K,mol^-1,mol/m^3,,
X,Y,X,Y,X,Y,U(r ),U(r_0),sigma,epsilon,Z_c,Z_a,lambda_D,r_ideal,e,epsilon_0,k_B,T,N_A,I (Ionic strength),c_c,c_a
5.568006248,0.921428078,10.38665512,0.875825263,11.07663628,0.956090825,,,,,,,,,,,,,,,,
5.694783273,1.007313381,10.57177202,0.886535015,11.26175317,0.978431598,,,,,,,,,,,,,,,,
5.809219172,1.090809965,10.75688891,0.902081429,11.44687007,1.004918082,,,,,,,,,,,,,,,,
5.943849641,1.176888296,10.94200581,0.925573789,11.63198696,1.024034414,,,,,,,,,,,,,,,,
6.103723323,1.268389501,11.10788978,0.949115502,11.81710386,1.041999159,,,,,,,,,,,,,,,,
6.280425814,1.334271751,11.38917129,1.005576131,12.00222075,1.055818194,,,,,,,,,,,,,,,,
6.470591351,1.36263532,11.56467173,1.03025298,12.18733765,1.061000333,,,,,,,,,,,,,,,,
6.654399339,1.337342647,11.74978862,1.053745339,12.37245454,1.061000333,,,,,,,,,,,,,,,,
6.835776499,1.277613707,11.93490552,1.071710085,12.55757144,1.055818194,,,,,,,,,,,,,,,,
7.020893394,1.199536159,12.12002241,1.080692457,12.74268833,1.042229477,,,,,,,,,,,,,,,,
7.18918148,1.119462528,12.30513931,1.081037933,12.92780523,1.031634883,,,,,,,,,,,,,,,,
7.374298375,1.034744166,12.4902562,1.073091988,13.11292212,1.016433944,,,,,,,,,,,,,,,,
7.568764608,0.962808411,12.6753731,1.061691284,13.29803902,1.002845227,,,,,,,,,,,,,,,,
7.744532165,0.907609043,12.82683237,1.048735939,13.48315591,0.987413971,,,,,,,,,,,,,,,,
7.933014822,0.865944653,13.22591555,0.997975662,13.66827281,0.975898108,,,,,,,,,,,,,,,,
8.133277645,0.837062869,13.41584068,0.982774723,13.8533897,0.967030894,,,,,,,,,,,,,,,,
8.232567616,0.834022682,13.59590893,0.969691058,14.0385066,0.960812328,,,,,,,,,,,,,,,,
8.617947334,0.837062869,13.78607447,0.957012094,14.22362349,0.960466853,,,,,,,,,,,,,,,,
8.817836183,0.858935331,13.97119136,0.948720673,14.40874039,0.961848756,,,,,,,,,,,,,,,,
8.989864004,0.887916918,14.15630826,0.94561139,14.59385728,0.966339942,,,,,,,,,,,,,,,,
9.169932257,0.927508454,14.34142515,0.948029721,14.77897418,0.973594936,,,,,,,,,,,,,,,,
9.339061784,0.965130777,14.53159069,0.953350049,14.93043345,0.98006027,,,,,,,,,,,,,,,,
9.610847043,1.028594695,14.66117252,0.95563019,,,,,,,,,,,,,,,,,,
9.804378343,1.067737112,14.9411427,0.98499564,,,,,,,,,,,,,,,,,,
9.976452911,1.094338755,,,,,,,,,,,,,,,,,,,,
10.16956349,1.112199857,,,,,,,,,,,,,,,,,,,,
10.3529975,1.115240045,,,,,,,,,,,,,,,,,,,,
10.53330617,1.108725357,,,,,,,,,,,,,,,,,,,,
10.71601895,1.090267075,,,,,,,,,,,,,,,,,,,,
10.9195674,1.063725753,,,,,,,,,,,,,,,,,,,,
11.10524525,1.037715258,,,,,,,,,,,,,,,,,,,,
11.27577718,1.011366965,,,,,,,,,,,,,,,,,,,,
11.55719226,0.974209115,,,,,,,,,,,,,,,,,,,,
11.78905584,0.950563211,,,,,,,,,,,,,,,,,,,,
12.05270718,0.932828782,,,,,,,,,,,,,,,,,,,,
12.19575205,0.932828782,,,,,,,,,,,,,,,,,,,,
12.46333011,0.932828782,,,,,,,,,,,,,,,,,,,,
12.64892783,0.943686596,,,,,,,,,,,,,,,,,,,,
12.82870224,0.952252204,,,,,,,,,,,,,,,,,,,,
13.0708501,0.973871317,,,,,,,,,,,,,,,,,,,,
13.22230938,0.993632537,,,,,,,,,,,,,,,,,,,,
13.54878826,1.019474132,,,,,,,,,,,,,,,,,,,,
13.74039627,1.032720664,,,,,,,,,,,,,,,,,,,,
13.90387613,1.039235352,,,,,,,,,,,,,,,,,,,,
14.13947945,1.046835822,,,,,,,,,,,,,,,,,,,,
14.29093873,1.046835822,,,,,,,,,,,,,,,,,,,,
14.52654205,1.038889876,,,,,,,,,,,,,,,,,,,,
14.72568295,1.029101393,,,,,,,,,,,,,,,,,,,,
14.8986457,1.018122938,,,,,,,,,,,,,,,,,,,,
