Cl-Cl,,K-Cl,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF
0.026250000,0.000000000,0.026250000,0.000000000,0.026250000,0.000000000
0.078750000,0.000000000,0.078750000,0.000000000,0.078750000,0.000000000
0.131250000,0.000000000,0.131250000,0.000000000,0.131250000,0.000000000
0.183750000,0.000000000,0.183750000,0.000000000,0.183750000,0.000000000
0.236250000,0.000000000,0.236250000,0.000000000,0.236250000,0.000000000
0.288750000,0.000000000,0.288750000,0.000000000,0.288750000,0.000000000
0.341250000,0.000000000,0.341250000,0.000000000,0.341250000,0.000000000
0.393750000,0.000000000,0.393750000,0.000000000,0.393750000,0.000000000
0.446250000,0.000000000,0.446250000,0.000000000,0.446250000,0.000000000
0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000
0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000
0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000
0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000
0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000
0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000
0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000
0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000
0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000
0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000
1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000
1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000
1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000
1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000
1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000
1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000
1.338750000,0.000000000,1.338750000,0.000000000,1.338750000,0.000000000
1.391250000,0.000000000,1.391250000,0.000000000,1.391250000,0.000000000
1.443750000,0.000000000,1.443750000,0.000000000,1.443750000,0.000000000
1.496250000,0.000000000,1.496250000,0.000000000,1.496250000,0.000000000
1.548750000,0.000000000,1.548750000,0.000000000,1.548750000,0.000000000
1.601250000,0.000000000,1.601250000,0.000000000,1.601250000,0.000000000
1.653750000,0.000000000,1.653750000,0.000000000,1.653750000,0.000000000
1.706250000,0.000000000,1.706250000,0.000000000,1.706250000,0.000000000
1.758750000,0.000000000,1.758750000,0.000000000,1.758750000,0.000000000
1.811250000,0.000000000,1.811250000,0.000000000,1.811250000,0.000000000
1.863750000,0.000000000,1.863750000,0.000000000,1.863750000,0.000000000
1.916250000,0.000000000,1.916250000,0.000000000,1.916250000,0.000000000
1.968750000,0.000000000,1.968750000,0.000000000,1.968750000,0.000000000
2.021250000,0.000000000,2.021250000,0.000000000,2.021250000,0.000000000
2.073750000,0.000000000,2.073750000,0.000000000,2.073750000,0.000000000
2.126250000,0.000000000,2.126250000,0.000000000,2.126250000,0.000000000
2.178750000,0.000000000,2.178750000,0.000000000,2.178750000,0.000000000
2.231250000,0.000000000,2.231250000,0.000000000,2.231250000,0.000000000
2.283750000,0.000000000,2.283750000,0.000000000,2.283750000,0.000000000
2.336250000,0.000000000,2.336250000,0.000807300,2.336250000,0.000000000
2.388750000,0.000000000,2.388750000,0.002895770,2.388750000,0.000000000
2.441250000,0.000000000,2.441250000,0.009426720,2.441250000,0.000000000
2.493750000,0.000000000,2.493750000,0.049244144,2.493750000,0.000357585
2.546250000,0.000000000,2.546250000,0.138645045,2.546250000,0.000000000
2.598750000,0.000000000,2.598750000,0.324268131,2.598750000,0.000000000
2.651250000,0.000000000,2.651250000,0.656174078,2.651250000,0.000632727
2.703750000,0.000000000,2.703750000,1.142231568,2.703750000,0.001520985
2.756250000,0.000000000,2.756250000,1.692636901,2.756250000,0.003219912
2.808750000,0.000563758,2.808750000,2.242251389,2.808750000,0.007328855
2.861250000,0.000543260,2.861250000,2.793144313,2.861250000,0.013581503
2.913750000,0.005238601,2.913750000,3.199563998,2.913750000,0.017811242
2.966250000,0.006823993,2.966250000,3.480438764,2.966250000,0.032856260
3.018750000,0.016593778,3.018750000,3.554332598,3.018750000,0.050513414
3.071250000,0.025697283,3.071250000,3.544805174,3.071250000,0.066718633
3.123750000,0.045807323,3.123750000,3.527582907,3.123750000,0.101870017
3.176250000,0.071197525,3.176250000,3.281450063,3.176250000,0.132696315
3.228750000,0.106231314,3.228750000,3.037389311,3.228750000,0.170439397
3.281250000,0.149951333,3.281250000,2.854310789,3.281250000,0.220383020
3.333750000,0.213896801,3.333750000,2.593546073,3.333750000,0.271322789
3.386250000,0.262393261,3.386250000,2.389341219,3.386250000,0.336476207
3.438750000,0.353549171,3.438750000,2.138916863,3.438750000,0.401315921
3.491250000,0.446989807,3.491250000,1.942941123,3.491250000,0.484938329
3.543750000,0.541331076,3.543750000,1.744395680,3.543750000,0.562403500
3.596250000,0.631560678,3.596250000,1.598353252,3.596250000,0.656664914
3.648750000,0.740964575,3.648750000,1.404412110,3.648750000,0.766019734
3.701250000,0.850768994,3.701250000,1.280500374,3.701250000,0.849308028
3.753750000,0.950711637,3.753750000,1.168238972,3.753750000,0.947239583
3.806250000,1.063120759,3.806250000,1.047726330,3.806250000,1.043626630
3.858750000,1.151329620,3.858750000,0.939213625,3.858750000,1.084869420
3.911250000,1.254366400,3.911250000,0.886733548,3.911250000,1.171798303
3.963750000,1.330911548,3.963750000,0.796860398,3.963750000,1.291421564
