Cl-Cl,,K-Cl,,K-K,
4.593750000,1.639938597,4.593750000,0.473373274,4.593750000,1.628346691
4.646250000,1.611946727,4.646250000,0.465950988,4.646250000,1.608753326
4.698750000,1.589322007,4.698750000,0.458989855,4.698750000,1.605236379
4.751250000,1.565918974,4.751250000,0.459784767,4.751250000,1.594683968
4.803750000,1.527349279,4.803750000,0.463633938,4.803750000,1.523301789
4.856250000,1.483848839,4.856250000,0.472815488,4.856250000,1.495164412
4.908750000,1.456062690,4.908750000,0.474002556,4.908750000,1.461046361
4.961250000,1.399118808,4.961250000,0.480449157,4.961250000,1.420892516
5.013750000,1.367140680,5.013750000,0.491913447,5.013750000,1.347236017
5.066250000,1.320152079,5.066250000,0.499153658,5.066250000,1.295979182
5.118750000,1.259686277,5.118750000,0.509652663,5.118750000,1.286421298
5.171250000,1.240226358,5.171250000,0.525185813,5.171250000,1.252284346
5.223750000,1.214363226,5.223750000,0.539671739,5.223750000,1.201160968
5.276250000,1.165633778,5.276250000,0.562897895,5.276250000,1.178814258
5.328750000,1.130561744,5.328750000,0.582664389,5.328750000,1.148417665
5.381250000,1.125043873,5.381250000,0.601632207,5.381250000,1.117057213
5.433750000,1.093994334,5.433750000,0.635096273,5.433750000,1.099643186
5.486250000,1.077072805,5.486250000,0.664466996,5.486250000,1.074708535
5.538750000,1.042833309,5.538750000,0.686905751,5.538750000,1.061825547
5.591250000,1.069365726,5.591250000,0.715753265,5.591250000,1.058055333
5.643750000,1.043908029,5.643750000,0.739297839,5.643750000,1.046770537
5.696250000,1.047028583,5.696250000,0.773807513,5.696250000,1.037227896
5.748750000,1.024425848,5.748750000,0.806772340,5.748750000,1.048717607
5.801250000,1.020439264,5.801250000,0.848275159,5.801250000,1.025461176
5.853750000,1.012536383,5.853750000,0.884276022,5.853750000,1.019675147
5.906250000,0.995508346,5.906250000,0.923731747,5.906250000,1.013485636
5.958750000,1.012490721,5.958750000,0.972866009,5.958750000,1.015183848
6.011250000,0.984605175,6.011250000,1.001797856,6.011250000,0.996236551
6.063750000,0.983173171,6.063750000,1.042529080,6.063750000,0.975189727
6.116250000,0.967496694,6.116250000,1.083251501,6.116250000,0.976057033
6.168750000,0.950865084,6.168750000,1.123774169,6.168750000,0.969331887
6.221250000,0.932873538,6.221250000,1.159478824,6.221250000,0.925461572
6.273750000,0.919585989,6.273750000,1.188406256,6.273750000,0.919924986
6.326250000,0.903497519,6.326250000,1.229485057,6.326250000,0.923667852
6.378750000,0.903115276,6.378750000,1.248966868,6.378750000,0.897048598
6.431250000,0.877785116,6.431250000,1.274176638,6.431250000,0.867139431
6.483750000,0.859236992,6.483750000,1.302523549,6.483750000,0.874366080
6.536250000,0.834870776,6.536250000,1.308448751,6.536250000,0.851579643
6.588750000,0.826229509,6.588750000,1.342111700,6.588750000,0.824385361
6.641250000,0.809033462,6.641250000,1.341656978,6.641250000,0.810243534
6.693750000,0.792819081,6.693750000,1.361826640,6.693750000,0.798576375
6.746250000,0.789762549,6.746250000,1.361239292,6.746250000,0.788003504
6.798750000,0.766980142,6.798750000,1.343514966,6.798750000,0.783385877
6.851250000,0.756881540,6.851250000,1.361210809,6.851250000,0.767683304
6.903750000,0.759318048,6.903750000,1.363931099,6.903750000,0.765290317
6.956250000,0.745556155,6.956250000,1.347450759,6.956250000,0.749692261
7.008750000,0.754619449,7.008750000,1.339651710,7.008750000,0.746787595
7.061250000,0.755705152,7.061250000,1.316999496,7.061250000,0.755348351
7.113750000,0.744504154,7.113750000,1.308146490,7.113750000,0.757687441
7.166250000,0.752558989,7.166250000,1.287119221,7.166250000,0.754637522
7.218750000,0.764313068,7.218750000,1.263180638,7.218750000,0.766148102
7.271250000,0.768331794,7.271250000,1.243401331,7.271250000,0.770182486
7.323750000,0.774478929,7.323750000,1.228452495,7.323750000,0.786626805
7.376250000,0.792472022,7.376250000,1.198191396,7.376250000,0.790305793
7.428750000,0.803473756,7.428750000,1.180577157,7.428750000,0.800773884
7.481250000,0.815520090,7.481250000,1.149028385,7.481250000,0.812818246
7.533750000,0.830366630,7.533750000,1.128217618,7.533750000,0.832991769
7.586250000,0.847855404,7.586250000,1.111546038,7.586250000,0.856704137
7.638750000,0.871760988,7.638750000,1.081329473,7.638750000,0.868064179
7.691250000,0.888959807,7.691250000,1.052017759,7.691250000,0.885012550
7.743750000,0.906244104,7.743750000,1.045388648,7.743750000,0.900903876
7.796250000,0.934508727,7.796250000,1.022185960,7.796250000,0.938277203
7.848750000,0.948437399,7.848750000,1.001600711,7.848750000,0.944141580
7.901250000,0.978193472,7.901250000,0.985458426,7.901250000,0.971389824
7.953750000,0.994639873,7.953750000,0.964168400,7.953750000,0.988417882
8.006250000,1.020320918,8.006250000,0.945017251,8.006250000,1.005125387
8.058750000,1.034738077,8.058750000,0.933914899,8.058750000,1.024225648
8.111250000,1.049035703,8.111250000,0.912621964,8.111250000,1.042951593
8.163750000,1.066051033,8.163750000,0.903368159,8.163750000,1.070422146
8.216250000,1.082843676,8.216250000,0.885267727,8.216250000,1.080405952
8.268750000,1.106215745,8.268750000,0.877703277,8.268750000,1.093498379
8.321250000,1.117737231,8.321250000,0.864228997,8.321250000,1.116966445
8.373750000,1.132879767,8.373750000,0.856018510,8.373750000,1.118481307
8.426250000,1.147747240,8.426250000,0.856866236,8.426250000,1.145648753
8.478750000,1.155633669,8.478750000,0.849061385,8.478750000,1.149106588
8.531250000,1.172680973,8.531250000,0.844818985,8.531250000,1.163850728
8.583750000,1.169306001,8.583750000,0.840317511,8.583750000,1.169970002
8.636250000,1.179313573,8.636250000,0.837014780,8.636250000,1.167685320
8.688750000,1.188169829,8.688750000,0.842456308,8.688750000,1.182337381
8.741250000,1.189947642,8.741250000,0.836764402,8.741250000,1.188696168
8.793750000,1.194330396,8.793750000,0.835592603,8.793750000,1.192892517
8.846250000,1.191591788,8.846250000,0.839077257,8.846250000,1.196479554
8.898750000,1.184256960,8.898750000,0.839138649,8.898750000,1.182656233
8.951250000,1.185088277,8.951250000,0.837752255,8.951250000,1.190444890
9.003750000,1.188809794,9.003750000,0.838909340,9.003750000,1.182418196
9.056250000,1.182739921,9.056250000,0.846833573,9.056250000,1.175825692
9.108750000,1.179223275,9.108750000,0.846938511,9.108750000,1.176060525
9.161250000,1.178809433,9.161250000,0.855018332,9.161250000,1.160023309
9.213750000,1.163004025,9.213750000,0.860964958,9.213750000,1.162768265
9.266250000,1.143336188,9.266250000,0.872495750,9.266250000,1.152478733
9.318750000,1.142602698,9.318750000,0.877217682,9.318750000,1.141783224
9.371250000,1.137787565,9.371250000,0.889606777,9.371250000,1.132647111
9.423750000,1.130028622,9.423750000,0.896282510,9.423750000,1.131455963
9.476250000,1.105234348,9.476250000,0.903099597,9.476250000,1.111128270
9.528750000,1.091692980,9.528750000,0.912175388,9.528750000,1.110160135
9.581250000,1.087392770,9.581250000,0.918370543,9.581250000,1.089839452
9.633750000,1.077322573,9.633750000,0.925041547,9.633750000,1.082809703
9.686250000,1.077361156,9.686250000,0.939298893,9.686250000,1.076484173
9.738750000,1.049996660,9.738750000,0.949537100,9.738750000,1.067933897
9.791250000,1.042362329,9.791250000,0.962432481,9.791250000,1.035519333
9.843750000,1.039076415,9.843750000,0.964437988,9.843750000,1.030217781
9.896250000,1.015024490,9.896250000,0.979293743,9.896250000,1.031123735
9.948750000,1.006789128,9.948750000,0.992525350,9.948750000,1.013259899
10.001250000,1.012343399,10.001250000,1.003531580,10.001250000,1.006785226
10.053750000,0.987167517,10.053750000,1.014036412,10.053750000,0.993019811
10.106250000,0.972409086,10.106250000,1.027429594,10.106250000,0.982250534
10.158750000,0.970012562,10.158750000,1.037354143,10.158750000,0.964517656
10.211250000,0.960405046,10.211250000,1.044432350,10.211250000,0.956608725
10.263750000,0.933801508,10.263750000,1.036368375,10.263750000,0.943406564
10.316250000,0.908419742,10.316250000,1.024325346,10.316250000,0.914709348
10.368750000,0.896410068,10.368750000,1.020608235,10.368750000,0.893452165
10.421250000,0.872309632,10.421250000,1.012714406,10.421250000,0.872923935
10.473750000,0.853835783,10.473750000,0.996531935,10.473750000,0.852822184
