Cl-Cl,,Na-Cl,,Na-Na,
R (A),RDF,R (A),RDF,R (A),RDF
4.016250000,1.907142096,4.016250000,0.507378294,4.016250000,1.635297488
4.068750000,1.903478485,4.068750000,0.507067158,4.068750000,1.635085606
4.121250000,1.851960546,4.121250000,0.501025593,4.121250000,1.613288665
4.173750000,1.828781670,4.173750000,0.501939941,4.173750000,1.594547829
4.226250000,1.816797082,4.226250000,0.502700662,4.226250000,1.558439220
4.278750000,1.743672903,4.278750000,0.506605183,4.278750000,1.539155152
4.331250000,1.698820135,4.331250000,0.509690459,4.331250000,1.500915706
4.383750000,1.630836875,4.383750000,0.513899087,4.383750000,1.439722502
4.436250000,1.572003188,4.436250000,0.515253680,4.436250000,1.441193176
4.488750000,1.507696113,4.488750000,0.539806947,4.488750000,1.370925652
4.541250000,1.459158900,4.541250000,0.548543637,4.541250000,1.339088754
4.593750000,1.403365262,4.593750000,0.558812612,4.593750000,1.297537200
4.646250000,1.352789955,4.646250000,0.580203214,4.646250000,1.251960890
4.698750000,1.319940388,4.698750000,0.598562074,4.698750000,1.222482478
4.751250000,1.262108548,4.751250000,0.616154890,4.751250000,1.202987524
4.803750000,1.204889206,4.803750000,0.640770438,4.803750000,1.190898991
4.856250000,1.158091759,4.856250000,0.664288136,4.856250000,1.174533105
4.908750000,1.127236830,4.908750000,0.683579497,4.908750000,1.127651205
4.961250000,1.111078569,4.961250000,0.716679495,4.961250000,1.101207724
5.013750000,1.061518117,5.013750000,0.746053307,5.013750000,1.089388347
5.066250000,1.044624237,5.066250000,0.768216579,5.066250000,1.079894569
5.118750000,1.008380792,5.118750000,0.812788943,5.118750000,1.063763298
5.171250000,0.980853825,5.171250000,0.841468569,5.171250000,1.048372312
5.223750000,0.952211705,5.223750000,0.879198852,5.223750000,1.029540029
5.276250000,0.935628173,5.276250000,0.910619255,5.276250000,1.024337105
5.328750000,0.914997527,5.328750000,0.954223403,5.328750000,1.004721553
