Rb-F,,Rb-Rb,,F-F,
X,Y,X,Y,X,Y
2.1278786291964855,0.03826394364716368,2.598862512363996,0.004685834850635118,2.5820416593937274,0.016227724333701232
2.186751614592424,0.14540556168848173,2.7838918950369465,0.0010303317037267945,2.7670710420666778,0.05732976349204044
2.2119828940478268,0.24798796194080808,2.9689212777098968,0.0029875716636480476,2.9184587187990916,0.13780686537349496
2.2400176489982733,0.4113599327130313,3.1111137219096694,0.04989761044996843,3.019383836620701,0.22747148189034228
2.262445452958631,0.5500361404615459,3.1960027928085175,0.1330576801766279,3.095077674986908,0.31732606581506584
2.290480207909078,0.8368869263523102,3.2548757782044566,0.234690243389581,3.162361086867981,0.414209443831151
2.2960871588991676,0.9394693266046366,3.305338337115261,0.3410719917994003,3.22123407226392,0.503810737878708
2.312908011869436,1.0762458602744047,3.355800896026066,0.475948851390422,3.2716966311747244,0.5962615430443847
2.3381392913248384,1.4694783945749883,3.3978530284517365,0.5937286442727219,3.3221591900855296,0.6937781457533854
2.3465497178099723,1.6005559060085162,3.431494734392273,0.7058094149187824,3.372621748996334,0.7938276472340497
2.3633705707802406,1.7772255953319664,3.4651364403328095,0.8026927929348684,3.431494734392273,0.8938771487147132
2.3886018502356428,2.2061720023129894,3.498778146273346,0.941369000683383,3.4735468668179434,0.9901273020378838
2.397012276720777,2.337629448562266,3.5324198522138825,1.0344530305419752,3.5324198522138825,1.0838445565893915
2.4138331296910454,2.485804026704516,3.574471984639553,1.1332360826368078,3.574471984639553,1.1724960135975744
2.4390644091464475,2.9434897886768647,3.6081136905800895,1.2814106607790565,3.6249345435503573,1.2611474706057582
2.447474835631582,3.0671042948010303,3.65016582300576,1.3896920832676232,3.6838075289462964,1.349798927613941
2.46429568860185,3.371052147400515,3.6838075289462964,1.4865754612837092,3.7510909408273694,1.4305350759606785
2.489526968057252,3.547721836723966,3.717449234886833,1.5587630762760867,3.860426485134113,1.5304790399925237
2.6628333430305844,3.9065026546811787,3.7595013673125033,1.6503695818512094,4.028635014836794,1.5950295814157975
2.5147582475126544,3.7243915260474165,3.831563584880045,1.7568474127810196,4.213664397509746,1.569815725461523
2.546933728981207,3.932290845292541,3.9445307499854536,1.8644956105766708,4.373462500727293,1.4984484242758764
2.598862512363996,4.044826525784577,4.098402862628729,1.8631717346943661,4.524850177459707,1.4147677811070807
2.6997876301856047,3.767076696630395,4.212198173037759,1.795514903012145,4.69305870716239,1.3251031645902325
2.7166084831558734,3.6370065184250646,4.348231221271891,1.6719836513693949,4.852856810379937,1.2429950294088439
2.7446432381063204,3.4698351994953476,4.440745912608366,1.5853585133785417,5.012654913597486,1.1621111286337582
2.7670710420666778,3.3178612731956054,4.541671030429976,1.4846757872049618,5.172453016815034,1.072024362321634
2.789498846027035,3.1461870231162665,4.6425961482515845,1.394757880810948,5.315430267062314,0.9912354452504859
2.817533600977483,2.9854183094149187,4.726700413102926,1.3289025127477263,5.458407517309594,0.9107631405257957
2.8427648804328847,2.816347316406455,4.903319369290743,1.1913118330442094,5.626616047012276,0.8348145546300412
2.8679961598882873,2.643476975240498,5.02106534008262,1.1104399936918465,5.8116454296852265,0.7736795888230983
2.8904239638486446,2.476875558534405,5.147221737359632,1.0316035194238546,5.996674812358177,0.7401762459797467
2.9184587187990916,2.3300307522472794,5.281788561121777,0.9494426155180564,6.181704195031127,0.7374130836833874
2.940886522759449,2.181539561758573,5.433176237854192,0.8650021027177628,6.366733577704078,0.7546828480356309
2.9689212777098968,2.0355812700415283,5.609795194042007,0.7857684238696692,6.551762960377028,0.7985480494903303
2.9941525571652994,1.9178014771592284,5.794824576714959,0.73050517794249,6.736792343049979,0.8548474812786431
3.019383836620701,1.7772255953319664,5.979853959387909,0.7008011832566314,6.92182172572293,0.9235811434005718
3.0446151160761037,1.6841415654733742,6.164883342060859,0.6966564398120925,7.10685110839588,0.9916240149484112
3.0698463955315063,1.577759817063554,6.359257643050626,0.7195292832652864,7.291880491068831,1.0572491194869365
