Li-Li,,Li-Ca,,Li-Cl,,Ca-Ca,,Ca-Cl,,Cl-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.09450227192162663,-0.0016952623515873455,3.020160842741488,0.023923734996744273,1.7051496890206568,0.04520534292455114,2.7789146337533435,0.011640916999983375,0.03923495858979731,0.0020279373722500438,0.08660694144565118,0.018831620948930983
0.1813509071573587,-0.0018240860379696855,3.102623183268345,0.03220878965525831,1.7709441096537872,0.10458102579000617,2.8657632689890757,0.011778524119526956,0.12608359382552936,0.004119370401918232,0.173455576681383,0.01870279726254953
0.26819954239309074,-0.0019529097243511373,3.189471818504077,0.06858098638073962,1.8010215590860754,0.17664189154280585,2.952611904224808,0.011649700433145505,0.2129322290612614,0.00399054671553678,0.26030421191711506,0.01857397357616719
0.3550481776288228,-0.0020817334107334773,3.2605297927878576,0.12591045463169603,1.8303470722825563,0.24568009445795624,3.0394605394605403,0.011520876746763165,0.29978086429699324,0.00386172302915444,0.3471528471528471,0.01844514988978574
0.44189681286455484,-0.002210557097114929,3.318052914827109,0.19113873884797705,1.856288872417905,0.3339824575918522,3.1263091746962717,0.011392053060381713,0.3866294995327253,0.0037328993427729884,0.43400148238857916,0.0183163262034034
0.5287454481002869,-0.002339380783496381,3.3640463479173164,0.25136000142978165,1.8630562985401695,0.412432485573361,3.213157809932004,0.011263229374000261,0.47347813476845735,0.0036040756563906484,0.5208501176243112,0.018187502517021947
0.615594083336019,-0.002468204469878721,3.4017684824136447,0.32066486751681555,1.8788469594921209,0.5081709555048803,3.3000064451677362,0.011134405687617921,0.5603267700041894,0.0034752519700091966,0.6076987528600433,0.018058678830640496
0.7024427185717508,-0.0025970281562601727,3.437736099026422,0.3919261620126884,1.8946376204440722,0.6272087994146291,3.3868550804034685,0.011005582001236469,0.6471754052399215,0.003346428283627745,0.6945473880957753,0.017929855144258156
0.7892913538074828,-0.0027258518426425127,3.4671242735758865,0.4556749861247642,1.9115561857497345,0.7282941947402257,3.4737037156392,0.014073927985965184,0.7340240404756535,0.003217604597245405,0.7813960233315072,0.017801031457876704
0.8761399890432149,-0.0028546755290239645,3.5092327027810892,0.5429973899859064,1.920955388697324,0.8142485928282808,3.560552350874932,0.025934490566253743,0.8208726757113853,0.003088780910863953,0.8682446585672392,0.017672207771494364
0.9629886242789469,0.004438501806817818,3.5487093551609687,0.6236562666768224,1.9341142728239504,0.922055841502889,3.6474009861106644,0.051116593442843694,0.9077213109471174,0.002959957224481613,0.9550932938029713,0.015944799249556496
1.049837259514679,-0.0006383225610466781,3.5802906770648715,0.6998086321947916,1.918323611871999,0.8543059277338951,3.726354290870421,0.12317262598374334,0.9958858345955119,0.006283266755177763,1.0419419290387035,0.016348837175026887
1.1366858947504108,-0.003241146588169208,3.6118719989687733,0.775594655354614,1.9499049337759018,1.0352322076822658,3.7737262737262744,0.1862760629457867,1.0814185814185817,0.0027023098517187094,1.1287905642744354,0.01728573671234912
