Na-Na,,Na-Cl,,Ca-Ca,,Ca-Cl,,Mg-Mg,,Mg-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.704518971,0.012889363,2.10175146,0.054533862,2.116852892,0.017655471,1.961053915,0.072464853,1.885149574,0.020587693,1.691041223,0.653748324
2.858134174,0.012615246,2.185154295,0.131619765,2.210241291,0.030526308,2.051232753,0.076527012,1.993658988,0.035442264,1.70189099,0.857320513
3.011712372,0.052208715,2.245583353,0.222342979,2.316510848,0.030390065,2.166620847,0.104921253,2.09088597,0.018219822,1.705761248,1.099777338
3.172987778,0.074069551,2.285020934,0.401123727,2.422780406,0.030253822,2.239231203,0.177045335,2.203781032,0.018037851,1.718576196,1.290499007
3.299603136,0.20009076,2.306429907,0.55916147,2.529049963,0.030117579,2.284431507,0.307719017,2.309991518,0.017866654,1.738607584,1.536095378
3.421044991,0.383215428,2.330575364,0.68952985,2.635319521,0.029981336,2.308152428,0.488452923,2.416202004,0.017695457,1.744877859,1.886121664
3.484986665,0.507708163,2.346097444,0.84805611,2.741589078,0.029845093,2.331114254,0.689025771,2.52241249,0.01752426,1.758512919,2.214502161
3.561625167,0.634802609,2.370656824,0.971610712,2.847858636,0.029708849,2.336581509,0.888174157,2.628622976,0.017353064,1.765084363,2.549445157
3.652852414,0.861282335,2.392209822,1.153038181,3.060397751,0.022013183,2.350621913,1.070751142,2.734833462,0.017181867,1.77170181,2.980169842
3.753270307,1.037237427,2.3957681,1.320164066,3.166667308,0.035879758,2.365803937,1.257241865,2.841043948,0.01701067,1.783087834,3.457201871
3.855517686,1.212398233,2.411865071,1.413624907,3.272936866,0.040298648,2.378296193,1.419198077,2.955702995,0.036060651,1.789666617,3.902367092
3.955914285,1.411293007,2.422709347,1.546563999,3.379206423,0.040162405,2.380949524,1.621633708,3.051695386,0.038601394,1.80163465,4.277642846
4.047254007,1.516599647,2.440344329,1.718817978,3.485475981,0.040026162,2.388793921,1.880276365,3.159675406,0.047546871,1.808045079,4.86486302
4.106894266,1.623134737,2.464448513,1.909398257,3.591745538,0.041914423,2.40175584,2.123862141,3.269909016,0.054199116,1.808045079,4.521347416
4.277548892,1.654002349,2.48655502,2.0640505,3.698015096,0.083280507,2.409693036,2.339390065,3.376748136,0.071275144,1.810345286,5.366175647
4.418369681,1.646368189,2.496807553,2.219146951,3.800874935,0.13885226,2.42755947,2.596423158,3.455163022,0.163618271,1.823388812,5.965337846
4.572083111,1.540272701,2.519714782,2.363561177,3.902598201,0.279216452,2.437776502,2.93579252,3.542676856,0.306597037,1.830914514,6.430522476
4.725798824,1.431716251,2.541284724,2.535664012,3.973604092,0.440838141,2.45149604,3.166928639,3.600207536,0.447313208,1.839695147,6.765939501
4.879509969,1.328081726,2.580561335,2.709228729,4.008773044,0.605372776,2.461739984,3.292650965,3.62555322,0.593447628,1.846688554,7.143107252
