Cl-Cl,,K-Cl,,K-K,,K-Li,,K-Na,,Li-Cl,,Li-Li,,Li-Na,,Na-Cl,,Na-Na,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
0.02625,0.0,0.02625,0.0,0.02625,0.0,0.02625,0.0,0.02625,0.0,0.02625,0.0,0.02625,0.0,0.02625,0.0,0.02625,0.0,0.02625,0.0
0.07875,0.0,0.07875,0.0,0.07875,0.0,0.07875,0.0,0.07875,0.0,0.07875,0.0,0.07875,0.0,0.07875,0.0,0.07875,0.0,0.07875,0.0
0.13125,0.0,0.13125,0.0,0.13125,0.0,0.13125,0.0,0.13125,0.0,0.13125,0.0,0.13125,0.0,0.13125,0.0,0.13125,0.0,0.13125,0.0
0.18375,0.0,0.18375,0.0,0.18375,0.0,0.18375,0.0,0.18375,0.0,0.18375,0.0,0.18375,0.0,0.18375,0.0,0.18375,0.0,0.18375,0.0
0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0
0.28875,0.0,0.28875,0.0,0.28875,0.0,0.28875,0.0,0.28875,0.0,0.28875,0.0,0.28875,0.0,0.28875,0.0,0.28875,0.0,0.28875,0.0
0.34125,0.0,0.34125,0.0,0.34125,0.0,0.34125,0.0,0.34125,0.0,0.34125,0.0,0.34125,0.0,0.34125,0.0,0.34125,0.0,0.34125,0.0
0.39375,0.0,0.39375,0.0,0.39375,0.0,0.39375,0.0,0.39375,0.0,0.39375,0.0,0.39375,0.0,0.39375,0.0,0.39375,0.0,0.39375,0.0
0.44625,0.0,0.44625,0.0,0.44625,0.0,0.44625,0.0,0.44625,0.0,0.44625,0.0,0.44625,0.0,0.44625,0.0,0.44625,0.0,0.44625,0.0
