Cl-Cl,,Li-Cl,,Li-Li,,Li-Mg,,Mg-Cl,,Mg-Mg,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.23125,0.0,2.23125,3.2629115940062383,2.23125,0.003891044752139737,2.23125,0.0,2.23125,3.376705326625107,2.23125,0.0
2.28375,0.0003410842071364033,2.28375,3.619756148235081,2.28375,0.0037142102363651617,2.28375,0.001382031715856804,2.28375,5.198063825327309,2.28375,0.0
2.3362499999999997,0.0003259274606822723,2.3362499999999997,3.750547575443425,2.3362499999999997,0.009760195532330306,2.3362499999999997,0.0,2.3362499999999997,6.402200689890263,2.3362499999999997,0.0
2.38875,0.0006235179661611212,2.38875,3.564664203273249,2.38875,0.01697437732397764,2.38875,0.0012632094752727547,2.38875,6.635300565768386,2.38875,0.0
2.44125,0.0004477420326607165,2.44125,3.248196238479398,2.44125,0.02681608832630229,2.44125,0.0024189283338736387,2.44125,6.0309810538857445,2.44125,0.0
2.49375,0.0008581777414300616,2.49375,2.9202798335778732,2.49375,0.038937752090125996,2.49375,0.0017386159072800443,2.49375,5.038551117343882,2.49375,0.0
2.5462499999999997,0.0008231550420490481,2.5462499999999997,2.5338928380921373,2.5462499999999997,0.06274578457542143,2.5462499999999997,0.0022235493980215792,2.5462499999999997,3.9923019539378837,2.5462499999999997,0.0
2.59875,0.0010536444260173397,2.59875,2.19396123727101,2.59875,0.08676894820205595,2.59875,0.008538478085614578,2.59875,2.9950761685495806,2.59875,0.0
2.65125,0.0027839087025287126,2.65125,1.8481844242976457,2.65125,0.1116149060553825,2.65125,0.016407359144517897,2.65125,2.2267591093931434,2.65125,0.003174042691647807
2.70375,0.0031635485196523467,2.70375,1.5898235252903776,2.70375,0.16297130174418373,2.70375,0.036482893035566934,2.70375,1.6708374884988544,2.70375,0.0
2.7562499999999996,0.008430047355288614,2.7562499999999996,1.37042308288538,2.7562499999999996,0.21355866660019762,2.7562499999999996,0.06357095191819835,2.7562499999999996,1.2495993160613137,2.7562499999999996,0.0014684121800578867
2.80875,0.01826518441329716,2.80875,1.1872369868643153,2.80875,0.30448478717465816,2.80875,0.09228196100417246,2.80875,0.9390208395079019,2.80875,0.002828065754489019
2.86125,0.03476754651847611,2.86125,1.0559388617492462,2.86125,0.34192179143324347,2.86125,0.14351525421387284,2.86125,0.7572553554932624,2.86125,0.010900954161731504
2.91375,0.07501438650806003,2.91375,0.9479955183651805,2.91375,0.4175586610396747,2.91375,0.1821147953600411,2.91375,0.5935268466078804,2.91375,0.01182563606234033
2.9662499999999996,0.14051924981933794,2.9662499999999996,0.8611955905502261,2.9662499999999996,0.47831684357819526,2.9662499999999996,0.273623808395844,2.9662499999999996,0.48771487995686236,2.9662499999999996,0.02028576851523223
3.01875,0.23923566854681177,3.01875,0.793773181394374,3.01875,0.5808682745853065,3.01875,0.37018163280876404,3.01875,0.4191442144845369,3.01875,0.04284509638990324
3.07125,0.3892661469404122,3.07125,0.731614929569357,3.07125,0.6392212070772201,3.07125,0.4833412620245796,3.07125,0.370397581002319,3.07125,0.0756898042545549
3.12375,0.5743737459607438,3.12375,0.6884028482621319,3.12375,0.7027862080023684,3.12375,0.6382417907912717,3.12375,0.3273665151710428,3.12375,0.13718821561320324
3.1762499999999996,0.8174892326365933,3.1762499999999996,0.6678689535399261,3.1762499999999996,0.8271204743399809,3.1762499999999996,0.7641450448463741,3.1762499999999996,0.3026401336786955,3.1762499999999996,0.19240144387035532
3.22875,1.0723477056448032,3.22875,0.6325436403290281,3.22875,0.9077555022064253,3.22875,0.8988747921208086,3.22875,0.28871143985337233,3.22875,0.2632419034068082
3.28125,1.338861921736502,3.28125,0.6113207006020697,3.28125,0.9904946767873332,3.28125,1.0762107634484595,3.28125,0.27363883201932293,3.28125,0.3284503114990077
3.3337499999999998,1.6273249751132717,3.3337499999999998,0.5892634179108869,3.3337499999999998,1.056718833517077,3.3337499999999998,1.1771609657285416,3.3337499999999998,0.2643903571978194,3.3337499999999998,0.4807937382652254
3.38625,1.8355699120311615,3.38625,0.5719392367447618,3.38625,1.1205035898751066,3.38625,1.3628460461816003,3.38625,0.2673504224169203,3.38625,0.5798262149564575
3.4387499999999998,2.0672193177230764,3.4387499999999998,0.5749187199704558,3.4387499999999998,1.1778825201629004,3.4387499999999998,1.4919261082763262,3.4387499999999998,0.27433742635934344,3.4387499999999998,0.6877272108631131
3.49125,2.2139342941977698,3.49125,0.5788089196963748,3.49125,1.2062974883161517,3.49125,1.5816368575550683,3.49125,0.2814228332380338,3.49125,0.803568227801082
3.54375,2.2974943236307803,3.54375,0.5683244748943554,3.54375,1.3119671205519314,3.54375,1.682061560188643,3.54375,0.2824117748010256,3.54375,0.8865327175554086
3.59625,2.354702809492858,3.59625,0.5658194024801355,3.59625,1.3447163333635657,3.59625,1.7500741152153132,3.59625,0.29929796013312887,3.59625,1.028175177789524
3.6487499999999997,2.3499659271121764,3.6487499999999997,0.5717020917092406,3.6487499999999997,1.349587162876018,3.6487499999999997,1.857900923727071,3.6487499999999997,0.30006973482800897,3.6487499999999997,1.0113695730106043
3.70125,2.3156546511342686,3.70125,0.5883384659177131,3.70125,1.4183373500355818,3.70125,1.8950189306139806,3.70125,0.31879752901807207,3.70125,1.153074726626543
3.75375,2.2467268875243267,3.75375,0.6025887553839915,3.75375,1.4256854442057456,3.75375,1.862333783815036,3.75375,0.3571772140818646,3.75375,1.1875497473657202
3.80625,2.1369800728787043,3.80625,0.5995406082761751,3.80625,1.4738773035025186,3.80625,1.8794779014107974,3.80625,0.37384279346481747,3.80625,1.3144084368663769
3.8587499999999997,2.044699077036685,3.8587499999999997,0.6092547422463589,3.8587499999999997,1.4773040323132118,3.8587499999999997,1.9211472629772701,3.8587499999999997,0.3930179350604279,3.8587499999999997,1.320092130460632
3.91125,1.9630234645834785,3.91125,0.626352678170466,3.91125,1.4765345254225748,3.91125,1.8666214120903202,3.91125,0.4222928396046769,3.91125,1.3366666555086828
3.96375,1.8425811455237953,3.96375,0.6262671570937453,3.96375,1.4453868899339546,3.96375,1.8854038156980437,3.96375,0.4409032232784517,3.96375,1.3895375545389579
4.016249999999999,1.7161992150330982,4.016249999999999,0.656513454520603,4.016249999999999,1.457687100444389,4.016249999999999,1.813644424198632,4.016249999999999,0.47975493768999283,4.016249999999999,1.329241966684472
4.06875,1.6207228554471045,4.06875,0.6874180768668775,4.06875,1.4729709273841483,4.06875,1.820699696094022,4.06875,0.5046593685092805,4.06875,1.3376139702005498
4.12125,1.509622815379629,4.12125,0.7076017044479926,4.12125,1.420284952946662,4.12125,1.7803378613947873,4.12125,0.5417573353926636,4.12125,1.3523555121163024
4.17375,1.4285334508613543,4.17375,0.721197273529376,4.17375,1.4134149776675862,4.17375,1.6996254978192187,4.17375,0.5719425147462254,4.17375,1.3115041954015265
4.22625,1.3357932946579154,4.22625,0.7536125308405771,4.22625,1.3972268659088962,4.22625,1.6788489919152292,4.22625,0.6081137102855193,4.22625,1.3153482057192976
4.27875,1.2448631629233728,4.27875,0.7780067749042546,4.27875,1.3837836174344005,4.27875,1.6117206778459985,4.27875,0.6279421053443031,4.27875,1.3228751938569163
4.33125,1.1494351862125396,4.33125,0.7873265929815702,4.33125,1.3150729869403313,4.33125,1.5469497452862624,4.33125,0.6812051371178329,4.33125,1.2511582284516667
4.38375,1.1004533553817513,4.38375,0.8153662400685852,4.38375,1.3059405217571942,4.38375,1.4939904242869768,4.38375,0.7272308579912564,4.38375,1.2393656440492637
4.436249999999999,1.0222684754034184,4.436249999999999,0.833261070148137,4.436249999999999,1.2754600292457732,4.436249999999999,1.4397934930284992,4.436249999999999,0.7712152875928959,4.436249999999999,1.1886655041565188
4.48875,0.9491847106648408,4.48875,0.855652765868564,4.48875,1.2227247079562693,4.48875,1.3962944772576353,4.48875,0.8098751047901067,4.48875,1.1920282970353682
4.54125,0.9218876738228776,4.54125,0.8763941418413211,4.54125,1.1901554374975583,4.54125,1.3234774880298101,4.54125,0.8600926066567207,4.54125,1.1121561657033685
4.59375,0.8694076062466133,4.59375,0.9115327195105147,4.59375,1.153698114742095,4.59375,1.2838354713039009,4.59375,0.891862354077068,4.59375,1.0493476480928041
4.64625,0.8301757344505081,4.64625,0.9328399508437613,4.64625,1.0986087978625685,4.64625,1.2205941249153192,4.64625,0.9154447644492303,4.64625,0.970474528456227
4.6987499999999995,0.7846141438186653,4.6987499999999995,0.9592483178255057,4.6987499999999995,1.07463500100421,4.6987499999999995,1.151517440705404,4.6987499999999995,0.9669185854504733,4.6987499999999995,0.958509579341541
4.75125,0.7659126731428902,4.75125,0.9752660976272571,4.75125,1.0585264116177946,4.75125,1.1035393040566654,4.75125,1.0022299145921412,4.75125,0.9295375400303695
4.80375,0.7383159101627691,4.80375,1.0010326939161198,4.80375,1.0057138460481085,4.80375,1.0406602253707418,4.80375,1.0354388905726906,4.80375,0.8498691705660587
4.856249999999999,0.717045181343988,4.856249999999999,1.0252455288295645,4.856249999999999,0.9633450461847655,4.856249999999999,0.961124289731409,4.856249999999999,1.0754717242598395,4.856249999999999,0.8079414445932126
4.9087499999999995,0.6917486252314866,4.9087499999999995,1.0566752943106759,4.9087499999999995,0.8998370349118269,4.9087499999999995,0.9542869189168338,4.9087499999999995,1.1086064595945035,4.9087499999999995,0.7870481007636222
4.96125,0.6694886906711023,4.96125,1.0810480776085376,4.96125,0.9119818591822052,4.96125,0.8934910100165784,4.96125,1.1367015665817235,4.96125,0.7102006120182186
5.01375,0.6499506978290374,5.01375,1.1043369619538874,5.01375,0.8829645685353753,5.01375,0.8479227005068413,5.01375,1.1654813899492364,5.01375,0.7428899064540105
5.06625,0.6431346555633057,5.06625,1.132951217145113,5.06625,0.8632502565297895,5.06625,0.8340912886576813,5.06625,1.1910169675354116,5.06625,0.6962796688145291
5.11875,0.6287877850444247,5.11875,1.156953229365835,5.11875,0.8277042430488762,5.11875,0.8046897716939126,5.11875,1.2420881045491687,5.11875,0.682070377911983
5.17125,0.6318185343583063,5.17125,1.1778329722956686,5.17125,0.8299994351769856,5.17125,0.771317541371664,5.17125,1.2496011262030609,5.17125,0.6457649668656701
5.22375,0.622735676895069,5.22375,1.2070092413533813,5.22375,0.7988464813879542,5.22375,0.768967593085265,5.22375,1.2818065468694613,5.22375,0.6680084413929591
5.27625,0.6177535681829145,5.27625,1.2254693966627193,5.27625,0.796249800416775,5.27625,0.7647454780168815,5.27625,1.296048861536418,5.27625,0.6283332859277576
5.328749999999999,0.6068628272840169,5.328749999999999,1.2541761081398834,5.328749999999999,0.8012749131479087,5.328749999999999,0.751274063923882,5.328749999999999,1.339752705560428,5.328749999999999,0.6769076081799141
5.38125,0.6199909027308489,5.38125,1.269129827413921,5.38125,0.7979255503268861,5.38125,0.7549824980626777,5.38125,1.3642075771710387,5.38125,0.6510513511075402
5.43375,0.6240955404939681,5.43375,1.2929030812192353,5.43375,0.7832374208004811,5.43375,0.7370461536461013,5.43375,1.3757540605519838,5.43375,0.6748031355129882
5.48625,0.6370915246281268,5.48625,1.3005347336336015,5.48625,0.7581820836040829,5.48625,0.7331857540028901,5.48625,1.3877448331027271,5.48625,0.6675096264074436
5.53875,0.6448747823017857,5.53875,1.3060736733413039,5.53875,0.800236306141957,5.53875,0.7583570512815364,5.53875,1.3993393637894616,5.53875,0.6912794735834386
5.59125,0.6651154669309487,5.59125,1.3207626774320835,5.59125,0.8034044571989036,5.59125,0.7452201596547001,5.59125,1.398295612990546,5.59125,0.685852446853354
5.64375,0.6767594025526638,5.64375,1.2966270382386729,5.64375,0.8016032551447072,5.64375,0.7523534662747868,5.64375,1.3941258499875018,5.64375,0.7218345194014266
