LiCl,,KCl,,CeCl,
X,Y,X,Y,X,Y
0.193753369,1.209441712,0.157824596,0.483889099,0.251512283,9.71285116
0.194435561,1.397547945,0.160553364,0.483889099,0.252194475,10.2721313
0.194966155,1.494960102,0.162372542,0.483889099,0.252649269,10.85660424
0.19616378,1.646116896,0.18192871,0.479410379,0.253558858,11.40412774
0.196254739,1.55878186,0.183975285,0.483889099,0.254923242,11.99195972
0.197346246,1.752262556,0.194208164,0.481649739,0.256515023,12.57307362
0.197346246,1.846315673,0.215128715,0.482769419,0.258334202,13.14411039
0.198346794,1.949774101,0.217857483,0.483889099,0.263109545,12.83171969
0.19875611,2.029047442,0.22058625,0.483889099,0.26515612,12.27243955
0.198853566,2.099107417,0.222860223,0.483889099,0.266975299,11.67956901
0.199779397,2.226223083,0.247581558,0.493486356,0.267884888,11.11860935
0.200120493,2.329681511,0.250147899,0.541996474,0.269249272,10.54925209
0.20125748,2.436163075,0.252693208,0.581180812,0.270613656,9.964779151
0.201452392,2.554977114,0.255605434,0.638404933,0.271295848,9.388703812
0.201712274,2.6403927,0.258334202,0.682072452,0.272508633,8.807589913
0.202491922,2.717170754,0.259925983,0.698867651,0.273683519,8.238232654
0.20292506,2.838576053,0.270321288,1.292937846,0.274934204,7.669995075
0.203304056,2.92255205,0.271523245,1.389150346,0.275616396,7.094479576
0.204077206,3.01526155,0.272205437,1.471446823,0.27698078,6.513365678
0.204350083,3.171121,0.273342423,1.55542282,0.279027356,5.945687939
0.205199033,3.251737957,0.274706807,1.642757856,0.279709548,5.378010199
0.205729627,3.396176672,0.281236358,2.259381605,0.281073931,4.800255341
0.206715015,3.529418587,0.282438315,2.344797191,0.28289311,4.229218562
0.207094011,3.641386583,0.283347904,2.413657508,0.284939685,3.624591384
0.207397207,3.750555379,0.284409092,2.498193345,0.286758864,3.077067884
0.208261317,3.840241744,0.28539448,2.604562941,0.289487631,2.497073665
0.208443234,3.992070346,0.295172564,3.165522601,0.293353385,1.921558166
0.209557481,4.091497927,0.297901331,3.19015556,0.301539688,1.157376594
0.20967118,4.198987203,0.300630099,3.221506599,0.31654791,0.650161573
0.210921865,4.296399359,0.303358866,3.255096997,0.33587668,0.525541194
0.210990084,4.399185979,0.306087634,3.290926756,0.355660245,0.510761418
0.211490358,4.481146552,0.307679415,3.305482595,0.374989015,0.510761418
0.212096751,4.55616511,0.32496161,2.774754295,0.394317785,0.510761418
0.212703144,4.669476721,0.326689829,2.698168186,0.413873953,0.527556617
0.213650633,4.768344462,0.329054761,2.613520381,0.433202723,0.573911368
0.213991729,4.881544106,0.331101337,2.536262464,0.441161629,0.608173574
0.215421083,5.004580938,0.333147912,2.456317315,0.460717796,0.683751972
0.216265702,5.107271585,0.351112299,1.877890648,0.479819169,0.828190686
0.216947893,5.188224446,0.353841067,1.82078697,0.499375337,1.044848758
0.217630085,5.275223579,0.356569834,1.752486492,0.518704107,1.307525677
0.218994469,5.346883096,0.359298602,1.692023775,0.538487672,1.583974659
0.220434652,5.432650581,0.362027369,1.633800417,0.557589045,1.840941209
0.222860223,5.513342184,0.36361915,1.599090338,0.559180826,1.861095448
0.225361593,5.484379795,0.382493126,1.316930988,0.57737261,2.029047442
0.227635566,5.405285603,0.385221894,1.296776749,0.586695899,2.074954321
0.228924151,5.326280985,0.387950661,1.28110123,0.606252067,2.072714961
0.230559246,5.23453121,0.390679429,1.253109231,0.607843848,2.069355921
0.231273923,5.13548752,0.393408196,1.231835312,0.625762755,1.921558166
0.2332068,5.047312723,0.395227375,1.209441712,0.645137005,1.706579614
0.233888992,4.934616936,0.415238337,1.124346036,0.66487509,1.510411685
0.235003239,4.843922859,0.417967104,1.122106676,0.666512351,1.505037222
0.236049266,4.740912303,0.420695872,1.120986996,0.684021942,1.347162347
0.23654954,4.649098546,0.42342464,1.115388596,0.703123315,1.27662251
0.237732006,4.568481589,0.426153407,1.108670516,0.72290688,1.239001263
0.238778034,4.472748953,0.427972585,1.101952436,0.732684964,1.222877872
0.239460226,4.366939196,0.440706834,1.089635957,0.752241132,1.222877872
0.240369815,4.267511616,0.443435602,1.088516277,0.771569902,1.236314031
0.241506802,4.151960644,0.446164369,1.088516277,0.790671275,1.258707631
0.241961596,4.083100327,0.448893137,1.088516277,,
0.243091335,3.950645756,0.451621904,1.088516277,,
0.244553925,3.790527954,0.45366848,1.092994997,,
0.245599953,3.681695062,0.473452045,1.128824755,,
0.246464063,3.578236633,0.476180813,1.132183795,,
0.247419131,3.496947868,0.47890958,1.145619955,,
0.248556118,3.374230945,0.481638348,1.151218355,,
0.24919283,3.274579429,0.484367115,1.156816754,,
0.250648173,3.200680551,0.486186294,1.159056114,,
0.251271296,3.085136003,0.506197256,1.234074672,,
0.252649269,2.974953072,0.508926023,1.244151791,,
0.253255662,2.89567973,0.511654791,1.251989551,,
0.254468447,2.801626614,0.514383559,1.26766507,,
0.255681233,2.732206456,0.538487672,1.396428266,,
0.257879407,2.566493823,0.54121644,1.407625065,,
0.258561599,2.461169261,0.543945207,1.418821865,,
0.260120895,2.351707216,0.546673975,1.433377704,,
0.261290366,2.26552385,0.549402742,1.444574504,,
0.26265475,2.162513293,0.551449318,1.455771303,,
0.264214046,2.064557292,0.571232883,1.572218019,,
0.265610915,1.984260244,0.57396165,1.586773859,,
0.266975299,1.902075735,0.576690418,1.603569058,,
0.268372168,1.821938641,0.579419186,1.615885537,,
0.270537857,1.730615411,0.582147953,1.634920097,,
