U-Cl,,U-U,,K-U,,K-Cl,,K-K,,Cl-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.075095265,0.001486746,3.34992983,0.000339331,3.292583537,0.001311193,2.173869813,0.001621596,2.482608696,0,2.741985656,0.01628028
2.18117258,0.001561239,3.506451712,0.000251447,3.518609074,0.019215172,2.365174219,0.001567949,2.656521739,0,2.788629856,0.043826775
2.302714538,0.012882546,3.65424864,0.018135895,3.605541972,0.046141918,2.452113698,0.017247439,2.943478261,0.00897364,2.876877233,0.135935366
2.384410459,0.175861265,3.76718969,0.0809585,3.650336655,0.073190302,2.521620413,0.071069787,3.08344571,0.033262109,2.901834087,0.179321095
2.437329928,0.445561349,3.880013561,0.215650907,3.687009189,0.097766529,2.548950047,0.11955594,3.132633607,0.03670349,2.926793145,0.220679096
2.45488036,0.737708505,3.949359131,0.350367725,3.723681723,0.126101205,2.570587594,0.154953076,3.170149799,0.04014487,2.945082346,0.263992133
2.463964785,0.920638637,4.027283183,0.556949464,3.760354257,0.149268013,2.585554004,0.191814669,3.265190819,0.053753967,2.961712915,0.299664843
2.472051659,1.032031342,4.079164196,0.736594674,3.79702679,0.174940455,2.598846575,0.234613113,3.301539841,0.062513845,2.978340903,0.337713439
2.480473284,1.153047662,4.139711575,0.934202452,3.827031591,0.212427037,2.61047246,0.276766766,3.331886272,0.072837986,2.993304389,0.373523882
2.490245244,1.286920042,4.191533999,1.149782563,3.852035591,0.250133148,2.622098812,0.318490245,3.395723349,0.10700598,3.008263229,0.41360977
2.497311772,1.405852739,4.234690057,1.347400106,3.878706524,0.28974598,2.637040924,0.37770648,3.446268974,0.13615939,3.019892493,0.449748147
2.504042819,1.516813595,4.303874506,1.580937902,3.905377458,0.329574139,2.656971012,0.449969885,3.484174223,0.159637253,3.029852511,0.488014
2.509752091,1.638546174,4.355711577,1.787534288,3.932048392,0.367679677,2.666924835,0.496425732,3.51863354,0.187185679,3.044802901,0.535876034
2.515829412,1.694567128,4.451202718,1.886301558,3.958719325,0.406215869,2.675224363,0.530837211,3.563236124,0.222968217,3.061409748,0.593379341
