Li-Cl,,K-Cl,
X,Y,X,Y
6.96918257,0.88663196,7.41258265,0.948324696
7.08976893,0.860782593,7.52504095,0.921801927
7.11443317,0.859332967,7.54972692,0.921087792
7.31448776,0.847028787,7.667671,0.903464247
7.3418939,0.840659253,7.70058563,0.901809297
7.47343083,0.852002267,7.73350026,0.891486854
7.62963422,0.854453145,7.76641488,0.878587588
7.7803541,0.865831076,7.79932951,0.872950276
7.81323857,0.867876941,7.82675836,0.872234878
7.84612052,0.878348288,7.96115976,0.878497927
7.87626465,0.880118346,,
