Ca-Ca,,Ca-Cl,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
0.02625,0.0,0.02625,0.0,0.02625,0.0
0.07875,0.0,0.07875,0.0,0.07875,0.0
0.13125,0.0,0.13125,0.0,0.13125,0.0
0.18375,0.0,0.18375,0.0,0.18375,0.0
0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0
0.28875,0.0,0.28875,0.0,0.28875,0.0
0.34125,0.0,0.34125,0.0,0.34125,0.0
0.39375,0.0,0.39375,0.0,0.39375,0.0
0.44625,0.0,0.44625,0.0,0.44625,0.0
0.49875,0.0,0.49875,0.0,0.49875,0.0
0.55125,0.0,0.55125,0.0,0.55125,0.0
0.60375,0.0,0.60375,0.0,0.60375,0.0
0.65625,0.0,0.65625,0.0,0.65625,0.0
0.70875,0.0,0.70875,0.0,0.70875,0.0
0.76125,0.0,0.76125,0.0,0.76125,0.0
0.81375,0.0,0.81375,0.0,0.81375,0.0
0.86625,0.0,0.86625,0.0,0.86625,0.0
0.91875,0.0,0.91875,0.0,0.91875,0.0
0.97125,0.0,0.97125,0.0,0.97125,0.0
1.02375,0.0,1.02375,0.0,1.02375,0.0
1.07625,0.0,1.07625,0.0,1.07625,0.0
1.1287500000000001,0.0,1.1287500000000001,0.0,1.1287500000000001,0.0
1.18125,0.0,1.18125,0.0,1.18125,0.0
1.2337500000000001,0.0,1.2337500000000001,0.0,1.2337500000000001,0.0
1.28625,0.0,1.28625,0.0,1.28625,0.0
1.33875,0.0,1.33875,0.0,1.33875,0.0
1.3912499999999999,0.0,1.3912499999999999,0.0,1.3912499999999999,0.0
1.44375,0.0,1.44375,0.0,1.44375,0.0
1.4962499999999999,0.0,1.4962499999999999,0.0,1.4962499999999999,0.0
1.54875,0.0,1.54875,0.0,1.54875,0.0
1.6012499999999998,0.0,1.6012499999999998,0.0,1.6012499999999998,0.0
1.65375,0.0,1.65375,0.0,1.65375,0.0
1.7062499999999998,0.0,1.7062499999999998,0.0,1.7062499999999998,0.0
1.75875,0.0,1.75875,0.0,1.75875,0.0
1.8112499999999998,0.0,1.8112499999999998,0.0,1.8112499999999998,0.0
1.86375,0.0,1.86375,0.0018911662546316835,1.86375,0.0
1.9162499999999998,0.0,1.9162499999999998,0.0005963222090536562,1.9162499999999998,0.0
1.96875,0.0,1.96875,0.002824721343431456,1.96875,0.0
2.0212499999999998,0.0,2.0212499999999998,0.0026798964128485103,2.0212499999999998,0.0
2.07375,0.0,2.07375,0.000509186043492299,2.07375,0.0
2.1262499999999998,0.0,2.1262499999999998,0.00629658571522803,2.1262499999999998,0.0
2.17875,0.0,2.17875,0.011532319864464154,2.17875,0.0
2.23125,0.0,2.23125,0.016713968452541812,2.23125,0.0
2.28375,0.0,2.28375,0.06507706179074423,2.28375,0.0
2.3362499999999997,0.0,2.3362499999999997,0.20701665253444482,2.3362499999999997,0.0
2.38875,0.0,2.38875,0.5499203531023699,2.38875,0.0
2.44125,0.0,2.44125,1.2701956295920906,2.44125,0.0007382722107268478
2.49375,0.0,2.49375,2.1556782688158345,2.49375,0.0007075154130573233
2.5462499999999997,0.0,2.5462499999999997,3.182953488875206,2.5462499999999997,0.0010179619875977878
2.59875,0.0,2.59875,4.073771236770074,2.59875,0.001954498094538851
2.65125,0.0,2.65125,4.627435245438812,2.65125,0.006572513949201828
2.70375,0.0,2.70375,4.676835926086328,2.70375,0.009630105478919238
2.7562499999999996,0.0,2.7562499999999996,4.53640354910722,2.7562499999999996,0.020850185743797562
2.80875,0.0,2.80875,4.17882735957135,2.80875,0.03653089029108182
2.86125,0.0,2.86125,3.618180084828835,2.86125,0.08034801803751171
2.91375,0.002082697170698599,2.91375,3.1389669313796396,2.91375,0.12412148615094803
2.9662499999999996,0.0,2.9662499999999996,2.575882181291675,2.9662499999999996,0.2100294631945002
3.01875,0.0009701685933272403,3.01875,2.1126858406505584,3.01875,0.32252916454259456
3.07125,0.0009372847255491352,3.07125,1.7571550124581257,3.07125,0.4874534492431469
3.12375,0.0027181345289180613,3.12375,1.477765430866529,3.12375,0.6269977809043107
3.1762499999999996,0.007887070439387746,3.1762499999999996,1.2326651269818114,3.1762499999999996,0.8526391885598582
3.22875,0.011024969560568233,3.22875,1.0278016094026101,3.22875,1.0610714711462377
3.28125,0.012317308145592136,3.28125,0.8798549736185154,3.28125,1.2535868752919739
3.3337499999999998,0.018296383597247008,3.3337499999999998,0.7822182757925279,3.3337499999999998,1.489960170778885
3.38625,0.032382845576711894,3.38625,0.6886387733140251,3.38625,1.6895059347670087
3.4387499999999998,0.06355090463546749,3.4387499999999998,0.6129581670681787,3.4387499999999998,1.820822962856451
3.49125,0.08486492548684023,3.49125,0.5488499360510796,3.49125,1.9023845292297488
3.54375,0.1351697737380124,3.54375,0.5178867958647154,3.54375,2.0200431773754026
3.59625,0.17568638809715983,3.59625,0.4781561150610911,3.59625,2.0832914475411553
3.6487499999999997,0.2696142105133157,3.6487499999999997,0.44755387103357236,3.6487499999999997,2.055335009101927
3.70125,0.3284929957146645,3.70125,0.4375051400349311,3.70125,2.054291665949983
3.75375,0.43858306655616364,3.75375,0.4332788443900298,3.75375,2.0006666180557704
3.80625,0.5718084110437246,3.80625,0.42518771850780096,3.80625,1.9400868575263084
3.8587499999999997,0.6751075022639074,3.8587499999999997,0.4084024889149386,3.8587499999999997,1.837420277970328
3.91125,0.8085232169732047,3.91125,0.41569176753840364,3.91125,1.771743347478693
3.96375,0.9650675636173474,3.96375,0.4114432848969196,3.96375,1.6917950430372946
4.016249999999999,1.1115595727167469,4.016249999999999,0.4165049609782065,4.016249999999999,1.6291694914027626
4.06875,1.213902629230531,4.06875,0.44908052928849623,4.06875,1.5262677861941023
4.12125,1.3799342314540648,4.12125,0.45073378828786215,4.12125,1.4323216884035321
4.17375,1.4850059207386213,4.17375,0.4493967635554646,4.17375,1.370878651583317
4.22625,1.6052528514480726,4.22625,0.46490568928942877,4.22625,1.3058690332828589
4.27875,1.7592694131523323,4.27875,0.48765639425443025,4.27875,1.2407336567200353
4.33125,1.7696630124361816,4.33125,0.4923650741916777,4.33125,1.1711998402479888
4.38375,1.825063189448943,4.38375,0.5179044273688851,4.38375,1.1140084880077268
4.436249999999999,1.8679267666613117,4.436249999999999,0.5496703868055757,4.436249999999999,1.053926334497167
4.48875,1.9574419433061312,4.48875,0.5699271951172593,4.48875,1.019044747129252
4.54125,1.9231628643282894,4.54125,0.5819914814990355,4.54125,0.9663898876663558
4.59375,1.937692021076648,4.59375,0.6297819107721806,4.59375,0.9267044365367616
4.64625,1.909712981173962,4.64625,0.6331789669304663,4.64625,0.901804092700925
4.6987499999999995,1.9109252243710155,4.6987499999999995,0.673759502896573,4.6987499999999995,0.8771811332895239
4.75125,1.8520878543380304,4.75125,0.6960079591506233,4.75125,0.8638480141193116
4.80375,1.8283013125317487,4.80375,0.7241504759653562,4.80375,0.8453554689123739
4.856249999999999,1.8084789195245592,4.856249999999999,0.7687481171964201,4.856249999999999,0.8408896895963971
4.9087499999999995,1.8470544425016042,4.9087499999999995,0.7974686908769527,4.9087499999999995,0.8356901240897888
4.96125,1.7489039225019465,4.96125,0.8387755877149242,4.96125,0.8327556632691484
