Temperature_K,Enthalpy_eV_per_atom,Volume_A3
1203.0,-3.256053786996193,9801.364992409457
1103.0,-3.289600649238522,9566.72118079605
1003.0,-3.326060383432897,9315.282586408914
903.0,-3.3638821649965047,9009.857083188994
803.0,-3.397578911639877,8834.460862926508
703.0,-3.4339184928511717,8599.716845264695
