Na-Cl,,Na-K,,Na-Na,,K-K,,K-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y
3.633939401,0.577957931,6.740272785,0.708522296,6.163291861,0.700744216,7.022071372,0.764744408,5.546092705,0.802877953
3.674184981,0.551371418,6.780526556,0.706893122,6.203546953,0.703140419,7.062325671,0.764725384,5.626615438,0.845911439
3.768098203,0.510268184,6.82078244,0.71170455,6.243802573,0.707146772,7.102578384,0.759875908,5.666877927,0.870849753
3.808347217,0.494147652,6.861038852,0.71812613,6.284056871,0.707127748,7.142831097,0.755026432,5.6970742,0.887742069
3.838534242,0.482862328,6.901295793,0.72615786,6.324309056,0.700668121,7.183083811,0.750176956,5.774243333,0.933594905
3.922389438,0.458670433,6.941551677,0.730969289,6.364560713,0.692598343,7.223341544,0.760623912,5.814502388,0.948067238
3.96264268,0.455431108,6.981807825,0.736585793,6.404813426,0.687748867,7.263600335,0.77429117,5.852750894,0.969142141
3.996186079,0.449779727,7.011999871,0.740596902,6.445068253,0.689339994,7.303860975,0.793593956,5.9175517,1.001268534
4.076687014,0.426394493,7.075752225,0.790481456,6.485324402,0.694956498,7.344125578,0.824972873,5.988977976,1.070758801
4.116938407,0.417519639,7.116009166,0.798513186,6.525583456,0.709428832,7.384388332,0.850716263,6.062801435,1.143583249
4.150480749,0.408647957,7.1562669,0.808960143,6.565842247,0.72309609,7.424643687,0.85391754,6.103061547,1.161275884
4.237702624,0.421487945,7.196527011,0.826652778,6.606099188,0.73112782,7.464897194,0.85148329,6.133252271,1.161261616
4.277960886,0.433545053,7.236785009,0.83790481,6.642998962,0.731110382,7.505152813,0.855489644,6.217122527,1.182959019
4.311509438,0.443592642,7.277044064,0.852377143,6.68989618,0.750828252,7.545410283,0.865131525,6.257384224,1.205482107
4.392026622,0.469719545,7.317303911,0.869264703,6.731462796,0.76714014,7.585668281,0.876383557,6.28757944,1.219154121
4.432279864,0.46648022,7.357564551,0.888567489,6.777190952,0.76454647,7.6259239,0.88038991,6.371448375,1.236826147
4.46582432,0.46404914,7.397825719,0.909480426,6.813516903,0.786004954,7.666178199,0.880370886,6.41170558,1.245662953
4.553046459,0.477694204,7.441446235,0.945084404,6.847647439,0.799445087,7.706435668,0.890012767,6.445253603,1.254100391
4.593304721,0.489751311,7.498482868,0.974643974,6.88790253,0.801841289,7.74669578,0.907705402,6.525770259,1.278617144
4.626852216,0.496578599,7.538740866,0.985896006,6.928158678,0.807457793,7.786955099,0.922982811,6.566027464,1.287453949
4.707369665,0.523510578,7.579003091,1.010029245,6.968414827,0.813074297,7.823864649,0.952753163,6.599574827,1.293878699
4.740916763,0.529130252,7.602486615,1.015653675,7.00867441,0.829156782,7.867481135,0.976079741,6.686793267,1.296252707
4.791244149,0.558089187,7.663606078,1.007720413,7.048937164,0.854900171,7.910135184,0.987215629,6.727047566,1.296233684
4.861703439,0.601529968,7.726601658,1.00834934,7.089199653,0.879838485,7.988250636,0.996149555,6.760592815,1.29621783
4.901962758,0.616807377,7.766857542,1.013160769,7.129461086,0.901556497,8.031177583,0.998094907,6.847802535,1.27202435
4.935511706,0.628062579,7.807115011,1.02280265,7.16972199,0.921664358,8.068759234,0.996111507,6.888050757,1.253488592
5.016032986,0.666668151,7.84737433,1.038080059,7.209981309,0.936941767,8.109017496,1.008168614,6.918239103,1.246228646
5.05629389,0.686776012,7.887634178,1.054967619,7.250238778,0.946583648,8.149281307,1.037132305,7.002093242,1.218816449
5.089843235,0.699238828,7.927893232,1.069439952,7.290497304,0.959445831,8.189544853,1.065290921,7.042347541,1.218797425
5.16365956,0.750326239,7.968152551,1.084717361,7.33075953,0.98357907,8.229805493,1.084593707,7.075893186,1.219989185
5.203920465,0.770434101,8.008412134,1.100799845,7.371022019,1.008517383,8.27006534,1.101481266,7.163104096,1.199418544
5.237470469,0.784909605,8.048673039,1.120907707,7.411283452,1.030235396,8.310323602,1.113538374,7.203353638,1.184908163
5.317995184,0.833981157,8.088933414,1.139405417,7.451543299,1.047122955,8.350580543,1.121570104,7.236896113,1.176439018
5.358257145,0.85730932,8.129188241,1.140996544,7.4884445,1.051452924,8.390836956,1.127991683,7.317395067,1.147015718
5.388453682,0.875006711,8.16944254,1.140977521,7.552190407,1.081693638,8.43109284,1.132803112,7.357647516,1.141361167
5.458923277,0.949845432,8.209697632,1.143373723,7.592445235,1.083284765,8.471349781,1.140834842,7.391190387,1.134099635
5.499186559,0.977198973,8.249954308,1.150600378,7.63270561,1.101782476,8.511604079,1.140815819,7.471684188,1.088977365
5.529382832,0.994091288,8.290210457,1.156216882,7.672966515,1.121890337,8.551858378,1.140796795,7.511932145,1.069636531
5.579718144,1.047202485,8.330466341,1.161028311,7.713225569,1.136362671,8.592112148,1.13916762,7.545472771,1.055531858
5.622274408,1.070121798,8.370723017,1.168254966,7.753483039,1.146004552,8.632363805,1.131097842,7.625970139,1.021278106
5.660241009,1.09063851,8.410976788,1.166625791,7.793740772,1.156451508,8.672615726,1.12383314,7.666220738,1.009988027
5.747475302,1.141317042,8.451232143,1.169827069,7.83399877,1.16770354,8.712870024,1.123814116,7.699763477,1.002323957
5.787736735,1.163035054,8.491486706,1.17061312,7.874256768,1.178955572,8.753126701,1.131040771,7.786973224,0.978210984
5.817932215,1.177512144,8.525030106,1.164961739,7.914516087,1.194232981,8.793383906,1.139877577,7.847350286,0.964818197
5.901809077,1.219336432,8.592129587,1.192302597,7.954777255,1.215145918,8.833639262,1.143078855,7.942709677,0.949660713
5.942070774,1.24185952,8.632380979,1.183427744,7.995036046,1.228813176,8.873895939,1.150305509,7.981522299,0.937382221
5.972266254,1.256336609,8.672633957,1.179383343,8.035287966,1.221548474,8.914150237,1.150286486,8.015065434,0.930925764
6.049433273,1.295748842,8.712888256,1.179364319,8.075538566,1.210258394,8.954405329,1.152682688,8.102280175,0.922028716
6.089691799,1.308611024,8.753142554,1.179345295,8.115792601,1.209434295,8.994660156,1.154273815,8.142529718,0.907518335
6.123238237,1.312218011,8.793395268,1.174495819,8.156049277,1.21666095,9.034913134,1.150229414,8.176071928,0.898244115
6.210460772,1.327070687,8.833649038,1.172866645,8.196305425,1.222277454,9.075167432,1.150210391,8.256573524,0.876871569
6.250719563,1.340737946,8.907433261,1.126137394,8.236558932,1.219843204,9.115419617,1.143750764,8.296825709,0.870411942
6.28091425,1.352799809,8.94768756,1.12611837,8.276812702,1.218214029,9.155672331,1.138901287,8.330370958,0.870396089
6.364778694,1.356785553,8.987941594,1.125294271,8.317065415,1.213364553,9.195923987,1.13083151,8.417586491,0.863914268
6.405031671,1.352741152,9.028194572,1.12124987,8.357318129,1.208515077,9.236178286,1.130812486,8.457841318,0.865505395
6.438574674,1.345882158,9.068448871,1.121230847,8.397569785,1.200445299,9.276432585,1.130793462,8.491386567,0.865489542
6.525787434,1.330947045,9.108700263,1.112355993,8.437823556,1.198816125,9.316685298,1.125943986,8.578604214,0.865448323
6.566040147,1.326097569,9.148949806,1.097845612,8.478077854,1.198797101,9.356935105,1.11223868,8.618857456,0.862208998
6.599584735,1.324069027,9.189197235,1.076894628,8.518330039,1.192337474,9.397184912,1.098533374,8.652402177,0.860582994
6.686784548,1.269685219,9.229445721,1.059163945,8.558579582,1.177827093,9.437437097,1.092073747,8.739618239,0.855711323
6.72703594,1.260810366,9.269695263,1.044653564,8.598831503,1.17056239,9.477689282,1.08561412,8.779872802,0.856497375
6.757223494,1.251135193,9.309946127,1.03416856,8.635726891,1.1571807,9.517941731,1.079959569,8.813419372,0.860506899
6.841078954,1.227748373,9.35259339,1.024625512,8.712861569,1.098051703,9.558193388,1.071889791,8.900640982,0.872541812
6.881330082,1.218068445,9.393178981,1.01635483,8.753116661,1.100447906,9.59844478,1.063014938,8.940896074,0.874938014
6.914872424,1.209196762,9.42830614,1.013410682,8.793370695,1.099623806,9.638694323,1.048504557,8.974442908,0.879752614
6.988655854,1.160052286,9.470958831,1.020406183,8.833622352,1.091554029,9.678941752,1.027553572,9.061660555,0.879711396
7.028906454,1.148762206,9.511211544,1.015556707,8.873874008,1.083484251,9.702416424,1.006207977,9.101914854,0.879692372
7.062448532,1.139085448,9.580241996,0.997362835,8.914126458,1.077829699,9.739317123,1.009008302,9.135460103,0.879676519
7.149657989,1.114086892,9.645383028,0.98651058,8.954382077,1.081836052,9.779569308,1.002548675,9.222680921,0.889296205
7.189907796,1.100381587,9.685633892,0.976025576,8.99463664,1.082622104,9.819821229,0.995283973,9.262937862,0.897327936
7.223447893,1.084666763,9.725886341,0.970371024,9.034890939,1.08260308,9.862473202,1.000094269,9.296484035,0.900129846
7.297232248,1.03834005,9.76614064,0.970352,9.075145238,1.082584057,9.900329034,0.992830699,9.377002541,0.930282127
7.337482847,1.027049971,9.806392296,0.962282223,9.115396366,1.072904128,9.937231009,0.999522222,9.41726001,0.939924008
7.360965578,1.030259175,9.846644481,0.955822596,9.155643795,1.051953144,9.974129374,0.995211048,9.450807637,0.947153833
7.45355414,0.979464294,9.886896666,0.949362969,9.195892017,1.033417385,,,9.53803189,0.9672395
7.498482868,0.974643974,9.927147794,0.93968304,9.236141824,1.01971208,,,9.578289624,0.977686457
7.613647227,0.951242359,9.967398658,0.929198036,9.276391367,1.005201699,,,9.711518642,0.997300795
7.650097089,0.943174377,,,9.316640645,0.989886242,,,9.790287731,1.006715365
7.686319616,0.923835446,,,9.356889659,0.97376571,,,9.855929155,1.016136139
7.773524581,0.885150609,,,9.397141844,0.967306083,,,9.895312149,1.016117527
7.813777294,0.880301132,,,9.430688018,0.970107994,,,9.934701346,1.035002504
7.843964848,0.87062596,,,9.484354471,0.951968432,,,9.987218208,1.053881277
7.927822686,0.854484819,,,9.524605071,0.940678353,,,,
7.968075928,0.851245493,,,9.564858577,0.938244103,,,,
8.001621177,0.85122964,,,9.605111026,0.932589551,,,,
8.08883856,0.850383347,,,9.645362155,0.922909623,,,,
8.129093123,0.851169398,,,9.685613283,0.913229694,,,,
8.162638372,0.851153545,,,9.725865996,0.908380218,,,,
8.249853641,0.843866648,,,9.766120295,0.908361194,,,,
8.290105562,0.836601946,,,9.806373272,0.904316793,,,,
8.323650811,0.836586093,,,9.846625193,0.897052091,,,,
8.410866608,0.830909347,,,9.886877114,0.889787388,,,,
8.451121171,0.831695398,,,9.927131148,0.888963289,,,,
8.48466642,0.831679545,,,9.967387032,0.893774718,,,,
8.57188671,0.839689081,,,,,,,,
8.602076377,0.836454512,,,,,,,,
8.732917644,0.881476907,,,,,,,,
8.773174321,0.888703562,,,,,,,,
8.806719834,0.889492784,,,,,,,,
8.893942501,0.904747999,,,,,,,,
8.934198121,0.908754352,,,,,,,,
8.964389902,0.911960386,,,,,,,,
9.054963924,0.91755311,,,,,,,,
9.0952206,0.924779765,,,,,,,,
9.12541291,0.92959595,,,,,,,,
9.209283166,0.951293353,,,,,,,,
9.249540371,0.960130158,,,,,,,,
9.283086941,0.964139682,,,,,,,,
9.378553281,1.009369086,,,,,,,,
9.413928472,1.009967153,,,,,,,,
9.457540731,1.020412524,,,,,,,,
9.538048272,1.017154175,,,,,,,,
9.578303891,1.021160529,,,,,,,,
9.692369099,1.05572487,,,,,,,,
9.732622605,1.05329062,,,,,,,,
9.762813858,1.054886503,,,,,,,,
9.84668385,1.075778831,,,,,,,,
9.886941583,1.086225788,,,,,,,,
9.920488682,1.091845462,,,,,,,,
