Li-Cl,,K-Cl,,Sm-Cl,,,,
X,Y,X,Y,X,Y,,,
,,,,3.411334425,0.956614805,,,
,,,,3.411349209,1.025801891,,,
,,,,3.424419359,0.866671592,,,
,,,,3.435763577,0.807170697,,,
,,,,3.444043852,0.718149979,,,
,,,,3.47191058,0.541516245,,,
,,,,3.510344349,0.411552347,,,
,,,,3.541187351,0.300167726,,,
,,,,3.547465045,0.24260407,,,
,,,,3.610372861,0.27950385,,,
,,,,3.650531333,0.150354621,,,
,,,,3.688961507,0.109764864,,,
,,,,3.699434185,0.059950161,,,
,,,,3.911713768,0.023972876,,,
,,,,3.93005899,0.021205393,,,
,,,,4.231454497,0.021205393,,,
,,,,4.29697999,0.043345261,,,
,,,,4.337168423,0.054415194,,,
,,,,4.540195426,0.054415194,,,
,,,,4.569548727,0.054415194,,,
,,,,4.590515371,0.054415194,,,
,,,,4.669140286,0.054415194,,,
,,,,4.73990271,0.054415194,,,
,,,,4.771352676,0.054415194,,,
,,,,4.802802641,0.054415194,,,
,,,,4.821148455,0.054415194,,,
,,,,4.878818553,0.109764864,,,
,,,,4.966185088,0.135594709,,,
,,,,4.999386611,0.155889588,,,
,,,,5.038702617,0.172494489,,,
,,,,5.072776961,0.18909939,,,
,,,,5.098991968,0.220464202,,,
,,,,5.23266615,0.275813872,,,
,,,,5.268838815,0.300167726,,,
,,,,5.29033684,0.333931025,,,
,,,,5.384716896,0.475072681,,,
,,,,5.427530102,0.504592505,,,
,,,,5.640725674,0.666951535,,,
,,,,5.77535586,1.107903901,,,
,,,,5.813788006,1.076539088,,,
,,,,5.935227046,1.110363886,,,
,,,,5.961447441,1.166943548,,,
,,,,6.094087877,1.29055781,,,
,,,,6.121357839,1.352918437,,,
,,,,6.173785567,1.404947126,,,
,,,,6.215689287,1.266572953,,,
,,,,6.252375001,1.238898118,,,
,,,,6.290818579,1.261037986,,,
,,,,6.320521325,1.261037986,,,
,,,,6.378181961,1.27210792,,,
,,,,6.433768167,1.387235232,,,
,,,,6.485667944,1.421552027,,,
,,,,6.559064207,1.482436663,,,
,,,,6.611473327,1.447381873,,,
,,,,6.629814804,1.427086994,,,
,,,,6.713677832,1.410482093,,,
,,,,6.762629568,1.548856267,,,
,,,,6.886676298,1.521181432,,,
,,,,6.912879872,1.499041564,,,
,,,,7.029922346,1.399412159,,,
,,,,7.059624382,1.396091179,,,
,,,,7.143483389,1.360667391,,,
,,,,7.218608344,1.334837545,,,
,,,,7.282383266,1.341295007,,,
,,,,7.353142733,1.327457589,,,
,,,,7.416022559,1.233363151,,,
,,,,7.816949308,0.951079838,,,
,,,,7.861499878,0.934474937,,,
