F-U,,F-F,,F-Li,,F-Na,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
4.171260232,0.696501838,,,5.596152803,0.914905822,,
4.212945919,0.751102834,,,5.63783849,0.912531866,,
4.254631606,0.794427537,,,5.671944961,0.902781688,,
4.296317293,0.847248066,,,,,,
4.33800298,0.894727193,,,,,,
4.379688667,0.943986788,,,,,,
4.421374354,1.015205478,,,,,,
4.463060041,1.069212985,,,,,,
4.504745727,1.084050213,,,,,,
4.546431414,1.139244698,,,,,,
4.588117101,1.202154541,,,,,,
4.629802788,1.243105288,,,,,,
4.671488475,1.277527656,,,,,,
4.713174162,1.306015132,,,,,,
4.754859849,1.329161206,,,,,,
4.796545536,1.35290077,,,,,,
4.838231223,1.370111953,,,,,,
4.87991691,1.384355692,,,,,,
4.921602597,1.391477561,,,,,,
4.963288284,1.398005941,,,,,,
5.00497397,1.403940832,,,,,,
5.046659657,1.387323137,,,,,,
5.088345344,1.37248591,,,,,,
5.130031031,1.353494259,,,,,,
5.171716718,1.317291425,,,,,,
5.213402405,1.301267219,,,,,,
5.255088092,1.275747188,,,,,,
5.296773779,1.246666223,,,,,,
5.338459466,1.219365725,,,,,,
5.380145153,1.193845694,,,,,,
5.42183084,1.154675414,,,,,,
5.463516526,1.1119442,,,,,,
5.505202213,1.072180431,,,,,,
5.5468879,1.038945042,,,,,,
5.588573587,1.019359902,,,,,,
5.630259274,1.003929186,,,,,,
5.668155353,0.980189622,,,,,,
