F-Li,,F-F,,F-Na,
R (A),RDF,R (A),RDF,R (A),RDF
2.055381268,2.239983069,3.460299087,1.374239022,2.758667573,1.023671029
2.084931112,2.042176746,3.496704495,1.326073165,2.795072982,0.96209818
2.102897418,1.920449777,3.533109904,1.280390084,2.83147839,0.910952991
2.124882503,1.782986737,3.569515313,1.232224226,2.867883799,0.855338805
2.14639479,1.652806507,3.605920722,1.183561813,2.904289208,0.805683282
2.169561868,1.535761346,3.64232613,1.138871843,2.940694616,0.773903747
2.192728946,1.419496485,3.678731539,1.092692206,2.977100025,0.744606989
2.219205607,1.302017823,3.715136948,1.052471232,3.013505434,0.718289561
2.24899185,1.175175547,3.751542357,1.019698587,3.049910843,0.688496247
2.282087677,1.046016014,3.787947765,0.987919052,3.086316251,0.663171931
2.318493085,0.934787642,3.824353174,0.958125738,3.12272166,0.646785608
2.354898494,0.848387032,3.852484626,0.948194634,3.159127069,0.629406175
2.391303903,0.769931305,3.903783157,0.891090782,3.195532478,0.615999184
2.427709312,0.706868791,3.940188565,0.871228573,3.231937886,0.608550855
2.46411472,0.653240826,3.976593974,0.851366363,3.268343295,0.602592192
2.500520129,0.610040521,4.012999383,0.839449038,3.304748704,0.590178312
2.536925538,0.579254096,4.036166461,0.833490375,3.341154113,0.585709314
2.573330947,0.554426335,4.092429366,0.783338297,3.377559521,0.585212759
2.609736355,0.526122687,4.128834774,0.786317628,3.41396493,0.585709314
2.646141764,0.503777701,4.165240183,0.773407192,3.450370339,0.587695535
2.682547173,0.485901713,4.201645592,0.768938195,3.486775748,0.587695535
2.718952581,0.473487832,4.238051001,0.752551872,3.523181156,0.588688646
2.75535799,0.464549838,4.274456409,0.744110433,3.559586565,0.594150753
2.791763399,0.448163515,4.310861818,0.738648326,3.595991974,0.606068079
2.828168808,0.445680739,4.347267227,0.729710332,3.632397382,0.617985404
2.864574216,0.445680739,4.383672636,0.728717221,3.668802791,0.623447512
2.900979625,0.440715187,4.420078044,0.723751669,3.7052082,0.633875172
2.937385034,0.440218632,4.456483453,0.720275782,3.741613609,0.642813166
2.973790443,0.443694518,4.492888862,0.718786117,3.778019017,0.657709823
3.010195851,0.451142847,4.52929427,0.718786117,3.814424426,0.674096146
3.04660126,0.461570506,4.565699679,0.718786117,3.850829835,0.690979024
3.083006669,0.467032614,4.602105088,0.718786117,3.887235244,0.704386015
3.119412078,0.474480943,4.638510497,0.719282672,3.923640652,0.726234445
3.155817486,0.487887934,4.674915905,0.724248224,3.960046061,0.74857943
3.192222895,0.49136382,4.711321314,0.731199997,3.99645147,0.770179583
3.228628304,0.506260477,4.747726723,0.738648326,4.032856879,0.793269401
3.265033713,0.52165369,4.784132132,0.740634547,4.069262287,0.812635055
3.301439121,0.539529678,4.82053754,0.746096654,4.105667696,0.838455927
3.33784453,0.541515899,4.856942949,0.757020869,4.142073105,0.866014743
3.367630773,0.548680481,4.893348358,0.764469198,4.178478514,0.890097671
3.453679921,0.629406175,4.929753767,0.774400302,4.214883922,0.912939212
3.49008533,0.639337279,4.966159175,0.788303849,4.251289331,0.933297977
3.526490739,0.657213268,5.002564584,0.805683282,4.28769474,0.956636073
3.562896148,0.683530695,5.038969993,0.815614387,4.324100148,0.982456945
3.599301556,0.709848122,5.075375402,0.831007599,4.360505557,1.009270927
3.635706965,0.736662105,5.11178081,0.848387032,4.396910966,1.038567686
3.672112374,0.765462308,5.148186219,0.864773355,4.433316375,1.055450564
3.708517783,0.797241843,5.184591628,0.879173456,4.469721783,1.068857555
3.744923191,0.821076494,5.220997036,0.894070113,4.506127192,1.089712875
3.7813286,0.849380142,5.252438071,0.899718429,4.542532601,1.110071639
3.817734009,0.880166567,5.340142011,0.962594735,4.57893801,1.126457962
3.854139418,0.904497773,5.376547419,0.964580956,4.615343418,1.128444183
3.890544826,0.935284198,5.407988454,0.973456881,4.651748827,1.146816726
3.926950235,0.961601625,5.492382811,1.030622802,4.688154236,1.154265055
3.963355644,0.991891494,5.528788219,1.035091799,4.724559645,1.15575472
3.999761052,1.018705476,5.565193628,1.045519459,4.760965053,1.16618238
4.036166461,1.045022904,5.601599037,1.055450564,4.797370462,1.166678936
4.07257187,1.068361,5.63138528,1.06133829,4.833775871,1.164692715
4.108977279,1.098650869,,,4.87018128,1.165685825
4.145382687,1.122982075,,,4.906586688,1.170651377
4.181788096,1.147313282,,,4.942992097,1.171644488
4.218193505,1.164196159,,,4.979397506,1.156747831
4.254598914,1.179589372,,,5.015802914,1.154265055
4.291004322,1.196968805,,,5.052208323,1.147313282
4.327409731,1.212362017,,,5.088613732,1.133409735
4.36381514,1.214844793,,,5.125019141,1.123975186
4.400220549,1.221300011,,,5.161424549,1.109078529
4.436625957,1.227258674,,,5.197829958,1.099643979
4.473031366,1.227258674,,,5.234235367,1.084250767
4.509436775,1.221300011,,,5.270640776,1.068857555
4.545842184,1.220803456,,,5.307046184,1.053960898
4.582247592,1.215837903,,,5.343451593,1.036581465
4.618653001,1.207396465,,,5.379857002,1.022181363
4.65505841,1.202430912,,,5.416262411,1.010264038
4.691463818,1.201934357,,,5.452667819,0.997353602
4.721250062,1.204913688,,,5.489073228,0.987422497
4.840395036,1.118016523,,,5.525478637,0.968553398
4.876800445,1.110071639,,,5.561884046,0.956139517
4.913205853,1.10063709,,,5.598289454,0.943725637
4.949611262,1.084250767,,,5.629730489,0.931125547
4.986016671,1.065381668,,,,
5.02242208,1.048002235,,,,
5.058827488,1.024664139,,,,
5.095232897,1.00480193,,,,
5.131638306,0.988912163,,,,
5.168043715,0.974512061,,,,
5.204449123,0.953954674,,,,
5.240854532,0.940746305,,,,
5.277259941,0.9308152,,,,
5.31366535,0.920387541,,,,
5.350070758,0.906980549,,,,
5.386476167,0.889601116,,,,
5.422881576,0.878180346,,,,
5.459286985,0.868745797,,,,
5.495692393,0.858814692,,,,
5.532097802,0.845407701,,,,
5.568503211,0.836469706,,,,
5.604908619,0.831007599,,,,
5.633040072,0.82256616,,,,
