Li-Cl,,K-Cl,,Sm-Cl,
X,Y,X,Y,X,Y
1.919737175,0.086302357,2.558940199,0.0260051,2.392129294,0.167626096
1.960917499,0.144921894,2.645292798,0.167649587,2.408641788,0.298439176
1.985712183,0.181630795,2.672472379,0.283399749,2.430017852,0.507416723
2.021684945,0.659296863,2.697709081,0.382432158,2.447549821,0.920777378
2.031484876,0.805234656,2.721657689,0.511178025,,
2.040161486,0.927656424,2.736825967,0.615009841,2.457289498,1.148673476
2.069074842,1.448446007,2.75597265,0.753810229,2.466254307,1.382922748
2.079362999,1.643285876,2.769562003,0.809185494,2.467057995,1.541078343
,,2.796768592,1.079101184,2.482679878,2.12490116
2.087637047,1.731206234,2.829799393,1.373905583,2.499582207,2.635350142
2.108292583,2.256705639,2.845065048,1.506267119,2.502126331,2.392896013
2.114139308,2.410106856,2.85505889,1.603048644,2.517814723,3.356354452
2.118037932,2.516982423,2.884207711,1.885982089,,
2.138444103,3.052111683,2.938612465,2.377720973,2.521785725,3.876362902
2.145318495,3.20913761,2.996867778,2.701976905,2.533463993,4.096497819
2.151156886,3.314963533,3.045408204,2.939834874,2.541300085,4.531968917
2.171081689,3.852664879,3.088094113,2.979821958,2.549171294,5.167891877
2.180106707,4.043895675,3.126899342,3.015350666,2.555021769,5.342694121
2.18815616,4.115340657,3.208357554,2.902925717,2.558943238,5.579969739
2.207646393,4.633235711,3.243263486,2.827744895,2.564837424,6.004273406
2.218254811,4.786616875,3.270403591,2.718164398,2.567500594,6.44133514
2.22321192,4.895378483,3.295607372,2.629285528,2.574642849,6.607460357
2.255725553,5.401967126,3.361538694,2.475255136,,
2.269529667,5.532736433,3.427458486,2.255412787,2.57856323,6.838526448
2.283085968,5.600786732,3.456538268,2.144273786,2.588334383,7.246084838
2.371779401,5.312699985,3.479803361,2.062596724,2.594193497,7.470202494
2.381176538,5.19603325,3.551542713,1.841098308,2.598149269,7.903277577
2.388315852,5.076928399,3.619399748,1.605806109,,
2.401696237,4.946177408,3.646549901,1.553582556,2.609481715,8.364113904
2.414802957,4.802046241,3.745443782,1.304831274,,
2.417178744,4.73444028,3.784223642,1.195560056,2.625542895,9.240798822
2.450077057,4.273004139,3.81330998,1.121844519,,
2.454712818,4.158160411,3.879244379,0.985378541,,
2.464509658,4.030916117,3.964576226,0.837190167,2.639200795,9.687440703
2.46489644,3.967234855,4.007248531,0.799524509,2.64504617,9.833132233
2.501838356,3.517446493,4.049921053,0.763091436,2.646996367,9.89162119
2.533308394,3.208341875,4.073197829,0.748103043,2.662593192,10.33241602
2.581589539,2.61759335,4.144963736,0.678179733,2.670387274,10.52808927
,,4.243892437,0.62818249,2.691146029,10.90455256
2.596317885,2.483028488,4.278806831,0.601302997,2.713091335,10.67168584
2.642397368,2.095928494,4.34630991,0.560275931,2.728570698,10.44200375
2.656474542,1.9829273,4.387436223,0.556671731,2.738887758,10.27452639
2.669650361,1.892496098,4.430116785,0.566134255,2.749804102,9.836678842
2.727004354,1.501311394,4.459216118,0.566594435,2.761408174,9.633312675
2.752204588,1.392182253,4.744384495,0.542044237,2.769128574,9.408409202
2.773526326,1.291070871,4.77348642,0.557295416,2.772972425,9.202643668
2.855911876,0.935273613,4.917036992,0.524520396,2.77875511,8.99049938
2.891589499,0.835610236,5.01986097,0.56229368,,
2.924755167,0.792912809,5.060602948,0.579556054,2.788367123,8.489693331
3.044996636,0.590603818,5.105225244,0.599199941,2.794166846,8.374801237
3.087668494,0.550385989,5.147906619,0.613302778,2.803756878,7.748530476
3.11675655,0.486476324,5.188649321,0.634697931,,
3.258364819,0.440268097,5.231332535,0.659299476,2.807595595,7.513454839
3.301040833,0.423773869,5.336100229,0.718568513,2.821106504,7.121070092
3.343717,0.408149699,5.427291574,0.796691585,2.824945325,6.88659262
3.496970916,0.395883822,5.469976201,0.829355675,,
3.588144664,0.373558616,5.512661361,0.86506497,2.828776183,6.606654579
3.630824947,0.381426032,5.619369908,0.929487156,2.836431386,6.009612489
3.65798527,0.387249897,5.72607634,0.981837277,2.840284683,5.857761594
3.789903478,0.39635452,5.768759214,1.004495691,2.84994168,5.613718506
3.832585132,0.412052464,5.811442164,1.027589135,2.85568906,5.20005895
3.875264576,0.415134558,5.854125952,1.055467902,2.867254941,4.778694737
3.898543601,0.412979531,5.896032228,1.074601907,2.87882045,4.355203714
4.014955339,0.4970408,5.927851859,1.099991617,2.89300749,4.131103384
4.05763707,0.513173774,6.017099148,1.154674598,2.911729815,3.95685408
4.10031659,0.516690897,6.10440018,1.173359639,2.928125813,3.422706655
4.123597977,0.528021781,6.331390735,1.266869612,2.944488975,2.701134081
4.238061239,0.563412463,6.395409101,1.266924943,2.959917758,2.182737505
4.313735227,0.654344613,6.556425448,1.269674286,2.967652409,2.039184523
4.356414747,0.657861735,6.59910286,1.261155596,3.002491036,1.579823698
4.399099831,0.693136001,6.63596076,1.254571382,3.016050568,1.464987684
4.428202061,0.710127297,6.754288576,1.202367423,3.033483296,1.311872439
4.562074802,0.802469214,6.859046139,1.203811389,3.070927805,0.962576278
4.60475798,0.826867746,6.901723373,1.194277631,3.091584729,0.75778234
4.645501917,0.855310374,6.930821182,1.186037224,3.167170601,0.345751668
4.794893782,0.94492502,,,3.189461309,0.238898737
4.837578104,0.975848992,,,3.235053708,0.259275762
4.87638111,0.9986974,,,3.289901323,0.115079882
5.016069934,1.069534562,,,3.314553114,0.03921965
5.052931613,1.084520554,,,3.454224518,0.010628435
5.124719889,1.142278361,,,3.491081901,0.001089647
5.165459116,1.143836175,,,3.808745707,0.019704488
5.307090858,1.231616991,,,3.851919398,0.039684098
5.349764815,1.20337697,,,4.018753463,0.030257649
5.392447994,1.227775502,,,4.084713456,0.039885303
5.421546413,1.223015329,,,4.14291197,0.039935604
5.590326911,1.250597054,,,4.402020554,0.139587915
5.650468702,1.269630814,,,4.441683627,0.150256246
5.939510982,1.210847159,,,4.492774998,0.184595214
5.974429546,1.207769987,,,4.515407614,0.183817221
6.125729385,1.114866634,,,4.577484353,0.17430023
6.168408448,1.11577358,,,4.64512273,0.272799605
6.205265973,1.107050472,,,4.671919588,0.313156196
6.377906714,1.022423352,,,4.841399777,0.643489914
6.420582652,1.005494094,,,4.994661734,0.677119635
6.463258896,0.990304954,,,5.115979899,1.083976882
6.488477261,0.98467137,,,5.194534061,1.005086959
6.618443274,0.923879598,,,5.256611412,1.155654534
6.661122489,0.925656603,,,5.310974992,1.159909566
6.703799494,0.914817757,,,5.370146947,1.275609449
