Li-Cl,,K-Cl,,Sm-Cl,
6.732896351,0.901139483,,,5.437099551,1.414441662
6.870625633,0.860148254,,,5.488153987,1.237960568
6.913305458,0.865405494,,,5.526306987,1.241648998
6.955983912,0.862832206,,,5.671344694,1.392512006
6.983143117,0.86227564,,,5.706750991,1.405104078
,,,,5.816040877,1.439493347
,,,,5.904626779,1.410060425
,,,,5.948296309,1.52793673
,,,,6.033330561,1.526614506
,,,,6.071476772,1.491555113
,,,,6.149054504,1.375817365
,,,,6.203379824,1.414146897
,,,,6.271268198,1.35773877
,,,,6.630094485,0.989579092
,,,,6.696054478,0.999206746
,,,,6.744545695,0.956180757
,,,,6.843481493,0.946695623
,,,,6.873547791,0.929972982
