Li-Li,,Be-F,,Be-Be,,F-F,,Li-Be,,Li-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
4.185217262,0.813346117,2.941998602,0.326530612,3.145989813,1.660668813,2.806450276,1.65911346,2.824171952,1.674223131,2.070986104,2.24209331
4.496385059,0.773442979,3.074772886,0.517006803,3.163170163,1.562446707,2.812564772,1.588642516,2.836400945,1.726774322,2.079120749,2.184081271
4.708057198,0.791304383,3.22851153,0.734693878,3.166226366,1.492630297,2.8227556,1.51915856,2.851687187,1.782598105,2.095390039,2.085713032
4.926557469,0.856669525,3.382250175,0.943310658,3.179141846,1.422129412,2.848961572,1.438462421,2.873087924,1.84553622,2.107592007,1.99491158
5.067021929,0.911393829,3.494060098,1.06122449,3.192575326,1.352632424,2.874979273,1.363806648,2.897545911,1.917262226,2.152332555,1.696023467
5.20748639,0.972958671,3.612858141,1.197278912,3.1998446,1.303715305,2.897297185,1.298231165,2.922003897,1.990031668,2.180803813,1.559307495
5.34795085,1.036803693,3.759608665,1.360544218,3.212069412,1.217866394,2.930260194,1.208454735,2.952576379,2.069237886,2.205207749,1.446739851
5.519629635,1.089247817,3.91334731,1.541950113,3.226469826,1.125067432,2.965168097,1.120218007,2.983148862,2.132504614,2.231645345,1.339123315
5.675701257,1.125730687,4.074074074,1.541950113,3.237399637,1.00761159,3.021044923,1.040271979,3.007606848,2.186244162,2.249948297,1.235710551
6.073683895,1.094948266,4.199860238,1.378684807,3.261849262,0.873454567,3.106060606,0.983289871,3.032064834,2.233251445,2.268251248,1.160042674
6.237559099,1.039083872,4.2907058,1.206349206,3.291530692,0.751754981,3.234465033,0.924202189,3.120725034,2.271932326,2.292655184,1.089419322
6.442403103,0.983789523,4.374563242,1.079365079,3.308987309,0.650213173,3.387327447,0.864162949,3.180574555,2.230475382,2.310958135,1.026362758
6.666756061,0.955477296,4.479385045,0.952380952,3.33038073,0.556269033,3.4829485,0.831617137,3.207934337,2.171052632,2.33536207,0.953217144
7.030598031,0.967258223,4.62613557,0.85260771,3.351497885,0.447437571,3.619678315,0.779986641,3.23384322,2.117524995,2.371967974,0.867460217
7.228613902,0.97675897,4.765897973,0.789115646,3.377984978,0.38084797,3.778655225,0.751861986,3.25218671,2.056657942,2.41467486,0.779181028
7.571971472,1.016282078,5.0174703,0.752834467,3.41989122,0.283677021,3.937632135,0.72641288,3.272568365,1.979032687,2.469583715,0.691742593
7.735846675,1.034523513,5.296995108,0.798185941,3.534738841,0.220196641,4.096609045,0.750826357,3.294988186,1.90947034,2.554997489,0.612081134
8.449874349,1.020842437,5.443745632,0.85260771,3.676612277,0.298108027,4.188145131,0.781393388,3.317408006,1.829157449,2.65261323,0.567081677
8.719097898,0.988919926,5.688329839,0.970521542,3.74996115,0.370228835,4.267814948,0.81577707,3.341865992,1.751374098,2.786834875,0.54736217
9.103702968,0.974587371,5.870020964,1.0430839,3.817197617,0.446009952,4.3534179,0.862219342,3.362247647,1.675984775,2.921056519,0.569145346
9.374598712,0.988919926,6.163522013,1.106575964,3.872209272,0.512462658,4.462671571,0.939574267,3.382629303,1.596349439,3.036103643,0.609108467
9.678938376,1.024642736,6.401118099,1.106575964,3.927220927,0.585838336,4.544190192,1.007885236,3.407087289,1.513597349,3.140691937,0.654329032
9.889635067,1.061885665,6.554856744,1.06122449,3.988344988,0.659966936,4.646913734,1.083981447,3.429507109,1.438027345,3.287115549,0.757321419
,,6.820405311,0.943310658,4.049469049,0.740255808,4.730651246,1.144103117,3.45192693,1.356133491,3.366428339,0.816384401
,,7.030048917,0.925170068,4.110593111,0.816643174,4.879264602,1.223484233,3.472308585,1.296689304,3.457943097,0.875387328
,,7.14884696,0.907029478,4.171717172,0.888841556,5.05726439,1.238327572,3.49269024,1.227970137,3.537255887,0.928835273
,,7.309573725,0.879818594,4.232841233,0.953401201,5.191103926,1.19897965,3.515110061,1.174955197,3.616568677,0.985526127
,,7.589098532,0.925170068,4.293965294,1.020753502,5.331737346,1.135130499,3.533453551,1.116248792,3.695881467,1.044859351
,,7.84067086,0.943310658,4.361201761,1.08981699,5.410472716,1.101358172,3.557911537,1.060177325,3.770313469,1.10303954
,,8.134171908,0.997732426,4.440663041,1.162674423,5.515172242,1.050158648,3.582369523,1.015910377,3.855727243,1.156007054
,,8.343815514,0.997732426,4.575135975,1.231936734,5.661920159,1.003373811,3.606827509,0.966584349,3.933819836,1.204182269
,,8.623340321,1.006802721,4.764620565,1.289212999,5.820897069,0.957969378,3.635361826,0.914588252,4.043637545,1.272283358
,,8.902865129,0.979591837,4.954920142,1.322240204,5.979873979,0.922656465,3.667972474,0.875204721,4.161081484,1.324935588
,,9.084556254,0.970521542,5.148821549,1.303358566,6.138850889,0.902795229,3.71077395,0.831317204,4.299878867,1.325824113
,,9.392033543,0.934240363,5.339186739,1.248006447,6.439480302,0.909792164,3.784147909,0.777580291,4.409696576,1.275706428
,,9.741439553,0.934240363,5.485884486,1.173322892,6.603552626,0.929762779,3.900323343,0.735648856,4.498596626,1.220576975
,,9.937106918,0.943310658,5.583682984,1.1124731,6.776623969,0.969731289,4.034842267,0.725818144,4.562221172,1.152896263
,,10.00698812,0.943310658,5.663144263,1.044983903,6.928553662,1.00753136,4.163246694,0.742340639,4.62323101,1.100769504
,,,,5.754830355,0.976450883,7.080483356,1.048037142,4.31086811,0.774700681,4.690341832,1.047381613
,,,,5.864853665,0.910073958,7.239460266,1.070965633,4.407826556,0.809673829,4.779822929,0.986006558
,,,,6.023776224,0.845466806,7.398437176,1.072976154,4.5056585,0.851015996,4.918111896,0.9142622
,,,,6.219373219,0.836137214,7.557414086,1.055851205,4.609604941,0.891541333,5.038097911,0.878305946
,,,,6.421963222,0.865762131,7.716390996,1.04160512,4.713551382,0.931012695,5.182487862,0.850364882
,,,,6.617560218,0.930193234,7.875367906,1.019041056,4.811383327,0.971564381,5.312642184,0.846594227
,,,,6.780833981,0.999589048,8.003772333,1.003029073,4.921444265,1.006614318,5.446863828,0.861039913
,,,,6.934524735,1.060316134,8.221856043,0.978553444,5.031505203,1.051719176,5.549360357,0.874522553
,,,,7.131002331,1.120949709,8.376756622,0.969306125,5.147680637,1.090071887,5.816990181,0.933319295
,,,,7.31960632,1.111078483,8.535733532,0.967969895,5.282199561,1.117321931,5.947144503,0.966057754
,,,,7.515203315,1.076715537,8.694710442,0.975379898,5.416718484,1.128014985,6.092347919,1.001644585
,,,,7.710800311,1.028299835,8.853687352,0.985854067,5.552596185,1.125312977,6.226046622,1.037532778
,,,,7.860554261,1.007765596,9.012664262,0.996085285,5.685756332,1.117839336,6.370146049,1.067559714
,,,,8.101994302,0.97312132,9.134954193,1.000172066,5.808046263,1.087475276,6.496233049,1.084374797
,,,,8.297591298,0.973976913,9.452908013,1.011573404,5.942565187,1.036146696,6.654858629,1.091941585
,,,,8.493188293,0.978465153,9.611884923,1.017947777,6.034282635,0.995832154,6.850090111,1.065457828
,,,,8.688785289,0.976540068,9.770861833,1.020316548,6.150458069,0.951579579,6.941604869,1.04780199
,,,,8.884382284,0.982703965,9.929838743,1.015764307,6.284976993,0.919155477,7.169781665,1.008706921
,,,,9.07997928,1.009048986,10.02767069,1.020498761,6.407266924,0.907772547,7.299122522,0.988024368
,,,,9.267241176,1.022396241,,,6.573037719,0.904399827,7.434564363,0.97238634
,,,,9.466172212,1.035090134,,,6.712991751,0.923467192,7.571226401,0.959775027
,,,,9.666770267,1.049860785,,,6.847510674,0.950947194,7.704227849,0.953675738
,,,,9.862774756,1.05486238,,,6.945342619,0.974172969,7.828959074,0.95629991
,,,,9.996840197,1.042884074,,,7.150517947,1.007478578,7.972671138,0.967204237
,,,,,,,,7.275525432,1.032467365,8.106892782,0.977293287
,,,,,,,,7.411403133,1.048583601,8.186205572,0.982223164
,,,,,,,,7.535051841,1.06333925,8.530911159,1.01753484
,,,,,,,,7.740227169,1.066098748,8.64377936,1.028885021
,,,,,,,,7.874746093,1.056563697,8.851212811,1.036451809
,,,,,,,,7.997036024,1.052588705,8.924424617,1.033929546
,,,,,,,,8.217157899,1.029569892,9.134298461,1.026867211
,,,,,,,,8.475713753,0.999378027,9.241675776,1.015432954
,,,,,,,,8.628052066,0.987453053,9.433701657,1.004639543
,,,,,,,,8.755233594,0.986418242,9.55801105,0.996074233
,,,,,,,,8.889752518,0.982968869,9.682320442,0.996074233
,,,,,,,,9.018156946,0.981002727,9.79281768,0.993219129
,,,,,,,,9.199553676,0.976070124,9.900582031,0.980274143
,,,,,,,,9.684637068,0.991247363,10.00551895,0.974908602
,,,,,,,,9.83994528,1.001681715,,
,,,,,,,,9.978132902,1.010736318,,
