U-U,,U-Na,,U-F,,Na-Na,,Na-F,,F-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
6.50E+00,2.28E+00,6.50E+00,9.46E-01,6.50E+00,8.60E-01,6.50E+00,1.21E+00,6.50E+00,8.69E-01,6.50E+00,1.04E+00
6.54E+00,2.12E+00,6.54E+00,9.51E-01,6.54E+00,9.43E-01,6.54E+00,1.19E+00,6.54E+00,8.46E-01,6.54E+00,1.04E+00
6.58E+00,2.13E+00,6.58E+00,1.02E+00,6.58E+00,8.71E-01,6.58E+00,1.17E+00,6.58E+00,8.42E-01,6.58E+00,1.02E+00
6.62E+00,2.22E+00,6.62E+00,1.03E+00,6.62E+00,8.58E-01,6.62E+00,1.15E+00,6.62E+00,8.22E-01,6.62E+00,9.86E-01
6.66E+00,1.87E+00,6.66E+00,1.03E+00,6.66E+00,9.11E-01,6.66E+00,1.17E+00,6.66E+00,8.22E-01,6.66E+00,1.03E+00
6.70E+00,1.86E+00,6.70E+00,1.09E+00,6.70E+00,8.98E-01,6.70E+00,1.20E+00,6.70E+00,7.93E-01,6.70E+00,1.05E+00
6.74E+00,2.24E+00,6.74E+00,1.05E+00,6.74E+00,8.68E-01,6.74E+00,1.18E+00,6.74E+00,8.35E-01,6.74E+00,1.05E+00
6.78E+00,2.08E+00,6.78E+00,1.05E+00,6.78E+00,8.52E-01,6.78E+00,1.19E+00,6.78E+00,8.40E-01,6.78E+00,1.02E+00
6.82E+00,1.89E+00,6.82E+00,1.04E+00,6.82E+00,8.89E-01,6.82E+00,1.17E+00,6.82E+00,7.96E-01,6.82E+00,1.00E+00
6.86E+00,2.01E+00,6.86E+00,1.07E+00,6.86E+00,8.56E-01,6.86E+00,1.21E+00,6.86E+00,8.22E-01,6.86E+00,1.03E+00
6.90E+00,2.04E+00,6.90E+00,1.13E+00,6.90E+00,8.90E-01,6.90E+00,1.19E+00,6.90E+00,8.17E-01,6.90E+00,1.01E+00
6.94E+00,1.81E+00,6.94E+00,1.10E+00,6.94E+00,8.50E-01,6.94E+00,1.19E+00,6.94E+00,8.15E-01,6.94E+00,1.01E+00
6.98E+00,1.89E+00,6.98E+00,1.15E+00,6.98E+00,8.39E-01,6.98E+00,1.18E+00,6.98E+00,8.36E-01,6.98E+00,1.02E+00
7.02E+00,1.73E+00,7.02E+00,1.14E+00,7.02E+00,8.69E-01,7.02E+00,1.17E+00,7.02E+00,8.50E-01,7.02E+00,9.62E-01
7.06E+00,1.76E+00,7.06E+00,1.09E+00,7.06E+00,8.99E-01,7.06E+00,1.19E+00,7.06E+00,8.39E-01,7.06E+00,9.90E-01
7.10E+00,1.88E+00,7.10E+00,1.22E+00,7.10E+00,9.21E-01,7.10E+00,1.13E+00,7.10E+00,8.61E-01,7.10E+00,1.02E+00
7.14E+00,1.57E+00,7.14E+00,1.08E+00,7.14E+00,9.21E-01,7.14E+00,1.18E+00,7.14E+00,8.78E-01,7.14E+00,9.77E-01
7.18E+00,1.36E+00,7.18E+00,1.06E+00,7.18E+00,9.45E-01,7.18E+00,1.16E+00,7.18E+00,8.96E-01,7.18E+00,9.98E-01
7.22E+00,1.33E+00,7.22E+00,1.16E+00,7.22E+00,9.59E-01,7.22E+00,1.13E+00,7.22E+00,9.03E-01,7.22E+00,1.00E+00
7.26E+00,1.44E+00,7.26E+00,1.03E+00,7.26E+00,1.01E+00,7.26E+00,1.13E+00,7.26E+00,9.11E-01,7.26E+00,1.00E+00
7.30E+00,1.31E+00,7.30E+00,1.10E+00,7.30E+00,1.02E+00,7.30E+00,1.12E+00,7.30E+00,9.28E-01,7.30E+00,9.54E-01
7.34E+00,1.30E+00,7.34E+00,9.92E-01,7.34E+00,9.40E-01,7.34E+00,1.06E+00,7.34E+00,9.30E-01,7.34E+00,9.61E-01
7.38E+00,1.30E+00,7.38E+00,1.08E+00,7.38E+00,1.03E+00,7.38E+00,1.10E+00,7.38E+00,9.27E-01,7.38E+00,9.41E-01
7.42E+00,1.16E+00,7.42E+00,1.01E+00,7.42E+00,1.05E+00,7.42E+00,1.05E+00,7.42E+00,9.51E-01,7.42E+00,9.47E-01
7.46E+00,1.03E+00,7.46E+00,1.04E+00,7.46E+00,1.04E+00,7.46E+00,1.05E+00,7.46E+00,9.54E-01,7.46E+00,9.37E-01
7.50E+00,1.12E+00,7.50E+00,9.20E-01,7.50E+00,1.07E+00,7.50E+00,1.03E+00,7.50E+00,9.88E-01,7.50E+00,9.43E-01
7.54E+00,1.02E+00,7.54E+00,9.23E-01,7.54E+00,1.03E+00,7.54E+00,9.56E-01,7.54E+00,9.64E-01,7.54E+00,9.59E-01
7.58E+00,8.02E-01,7.58E+00,9.47E-01,7.58E+00,1.01E+00,7.58E+00,9.82E-01,7.58E+00,9.65E-01,7.58E+00,9.49E-01
7.62E+00,6.47E-01,7.62E+00,1.00E+00,7.62E+00,1.05E+00,7.62E+00,1.02E+00,7.62E+00,1.02E+00,7.62E+00,9.00E-01
7.66E+00,8.73E-01,7.66E+00,9.62E-01,7.66E+00,1.06E+00,7.66E+00,9.91E-01,7.66E+00,1.00E+00,7.66E+00,9.27E-01
7.70E+00,1.07E+00,7.70E+00,1.01E+00,7.70E+00,1.11E+00,7.70E+00,9.49E-01,7.70E+00,1.01E+00,7.70E+00,9.50E-01
7.74E+00,7.84E-01,7.74E+00,1.00E+00,7.74E+00,1.03E+00,7.74E+00,9.45E-01,7.74E+00,1.02E+00,7.74E+00,9.11E-01
7.78E+00,6.49E-01,7.78E+00,8.87E-01,7.78E+00,1.08E+00,7.78E+00,9.36E-01,7.78E+00,1.03E+00,7.78E+00,8.88E-01
7.82E+00,7.40E-01,7.82E+00,8.66E-01,7.82E+00,1.08E+00,7.82E+00,9.32E-01,7.82E+00,1.03E+00,7.82E+00,9.31E-01
7.86E+00,6.63E-01,7.86E+00,8.92E-01,7.86E+00,1.01E+00,7.86E+00,9.66E-01,7.86E+00,1.03E+00,7.86E+00,9.29E-01
7.90E+00,6.57E-01,7.90E+00,8.97E-01,7.90E+00,1.05E+00,7.90E+00,8.75E-01,7.90E+00,1.03E+00,7.90E+00,9.25E-01
7.94E+00,6.91E-01,7.94E+00,8.19E-01,7.94E+00,1.05E+00,7.94E+00,9.31E-01,7.94E+00,1.06E+00,7.94E+00,9.39E-01
7.98E+00,5.90E-01,7.98E+00,9.36E-01,7.98E+00,1.09E+00,7.98E+00,9.04E-01,7.98E+00,1.00E+00,7.98E+00,9.13E-01
