U-U,,U-Na,,U-F,,Na-Na,,Na-F,,F-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
1.50E+00,0.00E+00,1.50E+00,0.00E+00,1.50E+00,0.00E+00,1.50E+00,0.00E+00,1.50E+00,0.00E+00,1.50E+00,0.00E+00
1.54E+00,0.00E+00,1.54E+00,0.00E+00,1.54E+00,0.00E+00,1.54E+00,0.00E+00,1.54E+00,0.00E+00,1.54E+00,0.00E+00
1.58E+00,0.00E+00,1.58E+00,0.00E+00,1.58E+00,0.00E+00,1.58E+00,0.00E+00,1.58E+00,0.00E+00,1.58E+00,0.00E+00
1.62E+00,0.00E+00,1.62E+00,0.00E+00,1.62E+00,0.00E+00,1.62E+00,0.00E+00,1.62E+00,0.00E+00,1.62E+00,0.00E+00
1.66E+00,0.00E+00,1.66E+00,0.00E+00,1.66E+00,0.00E+00,1.66E+00,0.00E+00,1.66E+00,0.00E+00,1.66E+00,0.00E+00
1.70E+00,0.00E+00,1.70E+00,0.00E+00,1.70E+00,0.00E+00,1.70E+00,0.00E+00,1.70E+00,0.00E+00,1.70E+00,0.00E+00
1.74E+00,0.00E+00,1.74E+00,0.00E+00,1.74E+00,0.00E+00,1.74E+00,0.00E+00,1.74E+00,0.00E+00,1.74E+00,0.00E+00
1.78E+00,0.00E+00,1.78E+00,0.00E+00,1.78E+00,0.00E+00,1.78E+00,0.00E+00,1.78E+00,1.51E-02,1.78E+00,0.00E+00
1.82E+00,0.00E+00,1.82E+00,0.00E+00,1.82E+00,0.00E+00,1.82E+00,0.00E+00,1.82E+00,2.41E-02,1.82E+00,0.00E+00
1.86E+00,0.00E+00,1.86E+00,0.00E+00,1.86E+00,0.00E+00,1.86E+00,0.00E+00,1.86E+00,8.30E-02,1.86E+00,0.00E+00
1.90E+00,0.00E+00,1.90E+00,0.00E+00,1.90E+00,0.00E+00,1.90E+00,0.00E+00,1.90E+00,1.72E-01,1.90E+00,0.00E+00
1.94E+00,0.00E+00,1.94E+00,0.00E+00,1.94E+00,1.20E-01,1.94E+00,0.00E+00,1.94E+00,5.09E-01,1.94E+00,0.00E+00
1.98E+00,0.00E+00,1.98E+00,0.00E+00,1.98E+00,6.35E-01,1.98E+00,0.00E+00,1.98E+00,8.71E-01,1.98E+00,0.00E+00
2.02E+00,0.00E+00,2.02E+00,0.00E+00,2.02E+00,1.72E+00,2.02E+00,0.00E+00,2.02E+00,1.36E+00,2.02E+00,0.00E+00
2.06E+00,0.00E+00,2.06E+00,0.00E+00,2.06E+00,3.15E+00,2.06E+00,0.00E+00,2.06E+00,1.89E+00,2.06E+00,0.00E+00
2.10E+00,0.00E+00,2.10E+00,0.00E+00,2.10E+00,5.62E+00,2.10E+00,0.00E+00,2.10E+00,2.26E+00,2.10E+00,3.40E-03
2.14E+00,0.00E+00,2.14E+00,0.00E+00,2.14E+00,6.92E+00,2.14E+00,0.00E+00,2.14E+00,2.74E+00,2.14E+00,6.55E-03
2.18E+00,0.00E+00,2.18E+00,0.00E+00,2.18E+00,8.02E+00,2.18E+00,0.00E+00,2.18E+00,3.18E+00,2.18E+00,1.26E-02
2.22E+00,0.00E+00,2.22E+00,0.00E+00,2.22E+00,8.23E+00,2.22E+00,0.00E+00,2.22E+00,2.98E+00,2.22E+00,2.13E-02
2.26E+00,0.00E+00,2.26E+00,0.00E+00,2.26E+00,8.18E+00,2.26E+00,1.33E-02,2.26E+00,3.16E+00,2.26E+00,6.75E-02
2.30E+00,0.00E+00,2.30E+00,0.00E+00,2.30E+00,6.89E+00,2.30E+00,1.28E-02,2.30E+00,2.80E+00,2.30E+00,9.92E-02
2.34E+00,0.00E+00,2.34E+00,0.00E+00,2.34E+00,5.13E+00,2.34E+00,0.00E+00,2.34E+00,2.69E+00,2.34E+00,2.41E-01
2.38E+00,0.00E+00,2.38E+00,0.00E+00,2.38E+00,4.12E+00,2.38E+00,1.20E-02,2.38E+00,2.66E+00,2.38E+00,3.71E-01
2.42E+00,0.00E+00,2.42E+00,0.00E+00,2.42E+00,3.22E+00,2.42E+00,3.48E-02,2.42E+00,2.29E+00,2.42E+00,5.43E-01
2.46E+00,0.00E+00,2.46E+00,0.00E+00,2.46E+00,2.25E+00,2.46E+00,2.24E-02,2.46E+00,2.16E+00,2.46E+00,6.96E-01
2.50E+00,0.00E+00,2.50E+00,0.00E+00,2.50E+00,1.75E+00,2.50E+00,2.17E-02,2.50E+00,1.92E+00,2.50E+00,9.62E-01
2.54E+00,0.00E+00,2.54E+00,0.00E+00,2.54E+00,1.24E+00,2.54E+00,1.16E-01,2.54E+00,1.66E+00,2.54E+00,1.03E+00
2.58E+00,0.00E+00,2.58E+00,0.00E+00,2.58E+00,8.75E-01,2.58E+00,1.12E-01,2.58E+00,1.49E+00,2.58E+00,1.19E+00
2.62E+00,0.00E+00,2.62E+00,0.00E+00,2.62E+00,6.92E-01,2.62E+00,1.78E-01,2.62E+00,1.43E+00,2.62E+00,1.43E+00
2.66E+00,0.00E+00,2.66E+00,0.00E+00,2.66E+00,5.12E-01,2.66E+00,1.25E-01,2.66E+00,1.25E+00,2.66E+00,1.52E+00
2.70E+00,0.00E+00,2.70E+00,1.65E-02,2.70E+00,2.72E-01,2.70E+00,3.45E-01,2.70E+00,1.14E+00,2.70E+00,1.56E+00
2.74E+00,0.00E+00,2.74E+00,0.00E+00,2.74E+00,3.09E-01,2.74E+00,2.17E-01,2.74E+00,1.07E+00,2.74E+00,1.73E+00
