U-Cl,,U-U,,K-U,,K-Cl,,K-K,,Cl-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.375590547,0.130911251,3.38471247,0.000319801,3.188264059,0.00134048,2.260826362,0.001597211,2.586956522,0,2.323237811,0
2.41970997,0.310717515,3.532538693,0.000236799,3.301276827,0.001308753,2.339087255,0.001575264,2.865217391,0.00897364,2.523183478,0
2.454930022,0.62534899,3.741205241,0.018087071,3.414289595,0.019244459,2.426036488,0.008281112,2.995652174,0.02692092,2.705742566,0
2.472351334,1.209630887,3.877982744,0.075937435,3.490311054,0.061490074,2.498427431,0.069168221,3.143478261,0.071789119,2.818750455,0.004489338
2.507462131,1.771453296,3.914607725,0.111214973,3.526983587,0.088885137,2.528104672,0.122357908,3.256521739,0.112170499,2.862187634,0.031425365
2.524853646,2.423150902,3.951237251,0.143704993,3.563656121,0.115966997,2.543900053,0.163564011,3.308695652,0.143578239,2.914318103,0.058361392
2.551075004,3.097326619,3.987859526,0.180642515,3.600328655,0.142579051,2.5588681,0.19892,3.36023184,0.165927333,2.949052236,0.094276094
2.559616811,3.771489921,4.024480014,0.218676252,3.637001189,0.170130717,2.572166983,0.235911112,3.400434377,0.200933821,2.975093078,0.130190797
2.568148685,4.468125126,4.061123481,0.242615791,3.673673722,0.204572873,2.584908979,0.273906117,3.431929452,0.225851966,3.006036972,0.161329791
2.585609726,4.962519411,4.097783545,0.256376188,3.708679323,0.232538387,2.598738096,0.334413182,3.470517535,0.255968599,3.028501485,0.197300102
2.592297215,5.095633939,4.134428799,0.279219512,3.73701719,0.281849389,2.607029208,0.376567769,3.511963995,0.291834936,3.051796057,0.236406286
2.59427072,5.367019875,4.171055925,0.313181593,3.76202119,0.316725477,2.630237961,0.500450964,3.548646494,0.321347382,3.075089292,0.276742224
2.605651772,5.560858821,4.206013468,0.348491388,3.785358257,0.353150343,2.636864491,0.540024983,3.585328993,0.349869127,3.10004269,0.323308917
2.60896992,5.723524991,4.239300839,0.385509083,3.805361457,0.394487669,2.660097375,0.67226483,3.620677583,0.378117127,3.118335054,0.363710443
2.613143198,5.868955858,4.272590177,0.421320942,3.825364657,0.439198465,2.677381391,0.770970022,3.657026605,0.417629912,3.133302469,0.395905408
2.61766405,5.994996578,4.304208475,0.459373148,3.843700924,0.476574227,2.698993727,0.887621281,3.687039559,0.459132962,3.15144128,0.441632717
2.621790508,6.118523451,4.334161851,0.495914209,3.862037191,0.514983563,2.711910407,1.004274978,3.715385126,0.50262819,3.168719815,0.483001649
2.625009019,6.250954904,4.364113355,0.533603686,3.880373458,0.554770997,2.724604761,1.12073336,3.748732853,0.541230747,3.18635168,0.529241142
2.628370756,6.344031144,4.39239712,0.571509428,3.895375858,0.593784187,2.732877169,1.180094856,3.783747966,0.577659847,3.203124246,0.570223069
2.630684676,6.448740883,4.420679714,0.610132929,3.910378258,0.638137507,2.741134615,1.253221879,3.815428306,0.61447306,3.216418086,0.608529913
2.634023869,6.563792884,4.453990987,0.632490919,3.930381458,0.678666255,2.748312265,1.297097469,3.848776032,0.657554047,3.2297152,0.64382386
2.637354112,6.699097065,4.490681946,0.62730245,3.948717725,0.721846201,2.752728705,1.324627275,3.875454213,0.690319997,3.243011379,0.679978634
2.642372646,6.849627481,4.525677839,0.639090595,3.963720125,0.762151358,2.75601485,1.369364302,3.906419959,0.738253513,3.257969066,0.72112621
2.646297595,7.033949945,4.553954741,0.681205145,3.977055592,0.800260639,2.762635302,1.414530566,3.935480121,0.774879635,3.276258062,0.764626716
2.650707695,7.166522602,4.577235579,0.719581948,3.990391059,0.839877215,2.767585596,1.462245771,3.972996313,0.817036548,3.29280034,0.820973486
2.652350638,7.284352702,4.607198151,0.750482844,4.004096955,0.881192384,2.772468648,1.516383959,4.005927193,0.852740872,3.309143676,0.874750387
2.655198803,7.414645821,4.643881194,0.750149043,4.020395859,0.928368527,2.780301435,1.569632819,4.0355233,0.886915694,3.330685291,0.916318949
2.658186123,7.504028391,4.680564237,0.749815242,4.037065193,0.976310176,2.785758487,1.617135367,4.069612087,0.923241378,3.344393573,0.956734821
2.660673298,7.629277703,4.717217152,0.7679605,4.053317793,1.019873609,2.790867419,1.666498208,4.107220912,0.964327639,3.35805864,0.994308367
2.664008619,7.753091286,4.753868534,0.787045372,4.06540306,1.061572038,2.798996585,1.710048931,4.13556648,1.000044254,3.370989392,1.025859306
2.666499747,7.869396911,4.790569961,0.775436213,4.083322593,1.10556566,2.802286939,1.750914404,4.158909888,1.037407815,3.379736736,1.064455701
2.674446995,8.031193291,4.827302028,0.74503479,4.099991927,1.149703184,2.808391512,1.804684264,4.188922842,1.080732339,3.400343446,1.113376815
2.680528391,8.179137488,4.863998348,0.736557675,4.113744127,1.189319643,2.81503359,1.875281548,4.210598864,1.102097577,3.41752396,1.154294837
2.689757844,8.298625716,4.900700797,0.724322107,4.13041346,1.233528943,2.825434127,1.931437005,4.265217391,1.130678632,3.434153257,1.191138273
2.697058374,8.399460878,4.9374035,0.711929937,4.146666061,1.278240791,2.830385,1.97862035,4.326086957,1.166573191,3.455778537,1.232414974
2.707746694,8.505397375,4.974108502,0.698128347,4.160418261,1.319149217,2.838674095,2.022629879,4.412352609,1.207920031,3.469629814,1.269071898
2.717193173,8.608675797,5.009470282,0.690038266,4.178299909,1.365322227,2.845305044,2.058138109,4.434584427,1.218244173,3.485703342,1.306030111
2.725367582,8.760370364,5.047504718,0.678981685,4.194173661,1.413022672,2.852432123,2.103211684,4.534782609,1.265283231,3.505664293,1.344910841
2.734127899,8.940151797,5.084180612,0.683032746,4.207092395,1.452165643,2.860208291,2.153109522,4.639130435,1.31912507,3.525627675,1.381553417
2.742918014,9.05251752,5.11606533,0.703775801,4.225984306,1.4918955,2.866831684,2.19556964,4.717484306,1.335824678,3.545588469,1.420577618
