K-F,,K-K,,F-F,
X,Y,X,Y,X,Y
2.0089186468099474,0.029683053771584866,2.665080806140918,0.00022091426948289694,2.4631847571160037,0.01784635842909843
2.0762173298182516,0.12567260505262468,2.8557604079977814,0.037552664383883716,2.6398438000128035,0.06598801277094779
2.101454335946366,0.22831489751155765,2.9679248796782884,0.14163918387956986,2.774441166029413,0.14721481458104257
2.1210831184904544,0.34616345551996286,3.0352235626865935,0.25365867342734383,2.8669768551658317,0.23515771700882038
2.137907789242531,0.45894325834521155,3.085697574942822,0.36390409866101336,2.9426878735501747,0.3271556235831232
2.154732459994607,0.5869293267199307,3.1277592518230124,0.4697143631094205,3.001574221182441,0.41585883928837486
2.1771653543307083,0.7939879759519028,3.161408593327165,0.5557248026236197,3.0520482334386694,0.5032948661978365
2.1603406835786325,0.7035106959325468,3.2034702702073554,0.6835524723988655,3.1025222456948987,0.5894637043115099
2.1883818014987595,1.0279110276546088,3.2315113881274824,0.7668701357220122,3.152996257951127,0.6883044303830754
2.185577689706747,0.9201999800125176,3.2623566178396217,0.8517717850398956,3.2034702702073554,0.7909467228420093
2.2052064722508353,1.1647674175998537,3.304418294719812,0.9658187766609325,3.253944282463584,0.8935890153009423
2.222031143002912,1.446083330265079,3.321242965471888,1.0380485380209228,3.304418294719812,1.0089031957177692
2.210814695834861,1.2813487868124698,3.3548923069760406,1.165672552453989,3.3548923069760406,1.110278299380914
2.2360517019629755,1.653902292774525,3.405366319232269,1.2968366498721169,3.4137786546083078,1.2157717666303727
2.2556804845070637,1.8835169025715466,3.4558403314884973,1.433411442307186,3.472665002240574,1.3104941291156242
2.2725051552591404,2.2152669293091867,3.5063143437447266,1.5394329048882245,3.5315513498728404,1.4020485196114008
2.286525714219204,2.497850030770201,3.565200691376993,1.6428143908113686,3.5988500328811455,1.485682980133495
2.3117627203473177,2.817181607309106,3.640911709761336,1.7375367532966193,3.6997980573936022,1.5712182238492725
2.3369997264754323,3.117505351911171,3.7755090757779453,1.8011265910489547,3.859632429538326,1.6189970013996016
2.3566285090195214,3.3544696567237704,3.9269311125466304,1.7652338798331568,4.044703807811164,1.5709590261410433
2.373453179771597,3.578762073578478,4.044703807811164,1.6750824483612892,4.204538179955887,1.4852077843350742
2.390277850523673,3.755346212985899,4.145651832323621,1.592316917299165,4.330723210596458,1.4089728012455351
2.541027715216308,3.8648690644631323,4.229775186084002,1.5018396372798088,4.45690824123703,1.3269675834608847
2.430207587687903,3.913299915666854,4.3138985398443825,1.433411442307186,4.599917942629677,1.249669066917737
2.4819444686930767,4.010645635102225,4.482145247365144,1.2922104050620922,4.759752314774401,1.1615994456103804
2.570610076179502,3.7112983622538143,4.599917942629677,1.205860539977592,4.911174351543086,1.0732130271040763
2.6146067938846898,3.4862572914858587,4.734515308646286,1.1199934134819651,5.0457717175596954,0.9881529791867196
2.6202150174687153,3.3633399782942965,4.8775250100389345,1.032821384238292,5.188781418952344,0.9028817331367307
2.6398438000128035,3.2363043015164186,5.020534711431582,0.9518796999072503,5.357028126473105,0.8217048508852578
2.6594725825568926,3.120462125768012,5.180369083576305,0.8673582072281034,5.542099504745942,0.7588062070215349
2.673493141516956,3.003458360290134,5.357028126473105,0.7895643350647843,5.727170883018781,0.7277024820339788
2.690317812269032,2.8865601938785703,5.542099504745942,0.7356512117530212,5.912242261291619,0.7301216606441221
2.721163041981172,2.6676533294059688,5.727170883018781,0.71042263481867,6.097313639564456,0.7553502375784733
2.7407918245252603,2.5377664778375646,5.912242261291619,0.7156065889832632,6.282385017837294,0.8092633608902355
2.757616495277337,2.4522312341217862,6.090583771263626,0.741526359806226,6.467456396110133,0.8773459589185526
2.7716370542373996,2.3318482985218028,6.265560347085218,0.7928475060356925,6.65252777438297,0.9530316897216045
2.794069948573502,2.2228700620839223,6.657575175608593,0.9711409696032485,6.837599152655808,1.0287174205246563
2.824915178285641,2.0416620642860517,6.837599152655808,1.0501444310716392,7.022670530928646,1.0957632277200542
2.8445439608297303,1.930149450256594,7.022670530928646,1.1213374015987112,7.207741909201483,1.1399996365912441
2.8669768551658317,1.8173696474313452,7.207741909201483,1.1690297799129636,7.392813287474321,1.1624634379711463
2.889409749501933,1.7071242221976757,7.392813287474321,1.1866552240725774,7.577884665747159,1.1662650043585137
2.909038532046022,1.619688195288214,7.577884665747159,1.181471269907985,7.7629560440199965,1.147257172421674
2.9342755381741368,1.5170459028292802,7.751739596851947,1.1584314736209071,7.948027422292834,1.116153447434118
2.9511002089262126,1.4422817638777108,8.10365562674954,1.0717874397088138,8.133098800565671,1.0753730080059896
2.984749550430365,1.3212652338798323,8.284520837334357,1.027680629691738,8.318170178838509,1.030791002190493
3.0183988919345177,1.212920591839847,8.469592215607195,0.9813706391547106,8.503241557111348,0.9875913841522221
3.060460568814708,1.121682998543017,8.671488264632108,0.9409357966708889,8.688312935384186,0.9526860927772978
3.1025222456948987,1.0152391396967158,8.856559642904948,0.9150160258479261,8.873384313657024,0.92538393417711
3.152996257951127,0.913864036033571,9.041631021177785,0.8984273725212288,9.058455691929861,0.9084496839061087
3.2791812885916984,0.7250529054609656,9.22429887505747,0.8897874489135749,9.243527070202699,0.9005009541870654
3.388541648480193,0.6231347208853402,9.462247789979688,0.9011921480756779,9.428598448475537,0.906721699184577
3.5399636852488783,0.53796975960989,10.081956496014495,0.9924297413725078,9.613669826748374,0.9212367708454368
3.725035063521717,0.4875126057411885,10.281048433247395,1.019040706084084,9.798741205021212,0.942318184448113
3.9101064417945546,0.4802550699107586,10.464250403658891,1.0426948969388175,9.98381258329405,0.9682379552710767
4.095177820067392,0.49891730490329245,10.656799413377097,1.0615491302337432,10.168883961566888,0.994848919982652
4.28024919834023,0.546609683217544,10.841870791649935,1.0684610691198664,10.353955339839725,1.0186951091397773
4.45690824123703,0.6134135725519272,11.033672038223603,1.0684610691198664,10.539026718112565,1.0408133135753728
4.616742613381754,0.6950627706272847,11.12789019443523,1.0684610691198664,10.724098096385402,1.053254803570395
4.751339979398363,0.7746542954675748,11.649454987749591,1.017773517288295,10.90916947465824,1.0594755485679066
4.8775250100389345,0.8631764842019995,11.842938701398467,0.9974984965556652,11.094240852931078,1.0574019669020682
4.995297705303467,0.9468109447240929,12.09110259499159,0.9753226926293523,11.279312231203916,1.051872415793171
5.1214827359440385,1.0440224280582164,12.22149379332018,0.9696203430483008,11.464383609476753,1.0373573441323103
5.24766776658461,1.1378396556893309,12.47722878875174,0.9544140774988294,11.649454987749591,1.0231878694157572
5.390677467977257,1.229816442450371,12.58322421448982,0.9544140774988294,11.834526366022429,1.0065992160890618
5.558924175498019,1.305540572913901,12.829986052186936,0.9544140774988294,12.019597744295266,0.9893193688737529
5.743995553770857,1.3373354917900695,13.54223044735816,0.9953568554431698,12.204669122568104,0.976532281934424
5.929066932043694,1.316599675131699,13.786188173263264,1.0152391396967158,12.389740500840942,0.9658187766609325
6.114138310316532,1.2519730465464445,14.013321228416293,1.0228422724714514,12.57481187911378,0.9623628072178709
6.290797353213332,1.1730041447724844,14.965597592983803,1.011285694749077,12.759883257386619,0.9599436286077276
6.459044060734095,1.0920307807215481,14.289726533628972,1.0240480961923843,12.944954635659457,0.9658187766609325
6.618878432878817,1.0186183098188204,14.517368810051737,1.0240480961923843,13.130026013932294,0.9710027308255249
6.820774481903732,0.9433549752810313,14.662232076866223,1.0193720774883097,13.315097392205132,0.980679445266099
7.00584586017657,0.8928978214123298,,,13.50016877047797,0.9896649658180587
7.1909172384494076,0.8586837239260188,,,13.685240148750808,1.002106455813081
7.375988616722245,0.8414038767107099,,,13.870311527023645,1.0100551855321234
7.561059994995083,0.8386391011562608,,,14.055382905296483,1.0180039152511648
7.746131373267921,0.8517717850398956,,,14.24045428356932,1.023533466360064
7.931202751540758,0.8766547650299401,,,14.42552566184216,1.026298241914514
8.116274129813595,0.913979235015006,,,14.610597040114998,1.0231878694157572
8.301345508086433,0.9585612408305026,,,14.795668418387836,1.0186951091397773
8.510452130290808,1.0114375733093475,,,14.938678119780482,1.0114375733093475
8.671488264632108,1.0459972677399652,,,,
8.856559642904948,1.0781377835604395,,,,
9.041631021177785,1.0995647941074225,,,,
9.226702399450623,1.1026751666061774,,,,
9.411773777723461,1.0978368093858917,,,,
9.596845155996299,1.0802113652262761,,,,
9.781916534269136,1.0546371913476191,,,,
9.966987912541974,1.027680629691738,,,,
10.152059290814812,1.0000328741472444,,,,
10.33713066908765,0.9748042972128932,,,,
10.522202047360487,0.956487659164666,,,,
10.707273425633325,0.9412813936151947,,,,
10.892344803906163,0.9354062455619898,,,,
11.077416182179002,0.9371342302835206,,,,
11.26248756045184,0.9464653477797871,,,,
11.447558938724677,0.9582156438861968,,,,
11.632630316997515,0.9744587002685874,,,,
11.792464689142239,0.9881529791867196,,,,
12.070071756551496,1.0142023488637975,,,,
12.255143134824333,1.027680629691738,,,,
12.440214513097171,1.0352837624664737,,,,
12.625285891370009,1.0394309257981478,,,,
12.810357269642846,1.0380485380209228,,,,
12.995428647915684,1.033555777744943,,,,
13.180500026188522,1.0238790633043697,,,,
13.36557140446136,1.0138567519194916,,,,
13.483344099725894,1.005101629330401,,,,
13.786188173263264,0.9889737719294462,,,,
13.971259551536102,0.9799882513774865,,,,
14.15633092980894,0.976532281934424,,,,
14.341402308081777,0.9768778788787307,,,,
14.526473686354615,0.9741131033242816,,,,
14.711545064627453,0.977914669711649,,,,
14.89661644290029,0.9827530269319356,,,,
