U-Cl,,U-U,,K-U,,K-Cl,,K-K,,Cl-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.402050282,0.265761293,3.34992983,0.000339331,3.179570769,0.00134292,2.312992975,0.008312812,2.534782609,0,2.38409084,0
2.446100178,0.602870879,3.532538693,0.000236799,3.344743276,0.00129655,2.443408289,0.02622352,2.647826087,0.00E+00,2.601423087,0
2.47242086,1.052327565,3.608611072,0.009177803,3.509915784,0.046168764,2.53024779,0.133882847,2.804347826,0.00673023,2.783677698,0
2.489931563,1.434362333,3.665110891,0.022621655,3.640315132,0.144953043,2.616804426,0.501777812,2.960869565,0.02692092,2.897657961,0.034013336
2.516202584,1.996178535,3.715074319,0.045052894,3.77940777,0.297637183,2.61897834,0.501777202,3.011331252,0.042725906,2.935306895,0.055878366
2.533623895,2.580460432,3.758581914,0.027061031,3.840260799,0.41440842,2.677293605,0.851732806,3.049097552,0.050469012,2.971947114,0.085616059
2.548879959,3.063617213,3.811399064,0.007383121,3.909807118,0.558128368,2.694528852,0.995306212,3.08344571,0.05976074,3.006917117,0.118374476
2.55531611,3.50182398,3.848089001,0.00282106,3.959552792,0.693247625,2.711764098,1.138879618,3.121795596,0.071899428,3.038541892,0.161588039
2.559547284,3.928793243,3.884775875,0.000138226,3.977055592,0.733896604,2.720352459,1.237587248,3.15781114,0.08643144,3.068507529,0.197628036
2.568238076,4.265877998,3.921456365,0.001370447,3.993724926,0.772134146,2.730477554,1.342413982,3.186823662,0.099221905,3.093472075,0.233935846
2.576869273,4.737794172,3.958131493,0.005891315,4.010394259,0.812783359,2.749221862,1.482931768,3.246015877,0.131126371,3.115102107,0.270839404
2.585550132,5.09735083,3.994802025,0.013231021,4.025396659,0.84654255,2.754729943,1.528815298,3.285199455,0.159811061,3.138395609,0.310929392
2.594240923,5.434435584,4.031466685,0.024172578,4.042065993,0.889029227,2.760766232,1.600078863,3.321881954,0.182492887,3.163774048,0.349851113
2.60291185,5.816464145,4.068126493,0.038089577,4.06040226,0.933008376,2.76573419,1.631543797,3.358564453,0.212683181,3.182129558,0.386928203
2.611582776,6.198492706,4.104783237,0.053885803,4.07540466,0.968404059,2.771251318,1.669104282,3.395246953,0.245376297,3.202565461,0.42701819
2.620233838,6.625465074,4.141436152,0.072031061,4.09040706,1.007761773,2.778470533,1.747786968,3.430262065,0.282073929,3.21990849,0.464476732
2.625384971,6.934358744,4.178085492,0.09236875,4.10540946,1.045482996,2.785553002,1.806181934,3.465277178,0.319678834,3.240110289,0.500858099
2.633147156,7.269027989,4.214733555,0.11348945,4.161912524,1.204885216,2.790171594,1.852264549,3.500292291,0.360365338,3.260544514,0.542492112
2.638703273,7.481608034,4.251380852,0.135079957,4.248845422,1.411486302,2.793789209,1.898848357,3.533640017,0.399597077,3.27979024,0.582131189
2.64091188,7.597951934,4.288035298,0.152285602,4.309698452,1.546224973,2.802073878,1.946929768,3.565320357,0.438006709,3.296417417,0.620925836
2.646488947,7.76313326,4.324707362,0.158685695,4.353164901,1.663001092,2.806199546,1.986303742,3.595333311,0.476817835,3.316375155,0.662762075
2.649364581,7.904326056,4.361373554,0.168687639,4.43140451,1.698913995,2.809482045,2.034396115,3.625346265,0.516967276,3.337447862,0.70121239
2.652013957,8.046093223,4.398009106,0.197481847,4.500950829,1.824666508,2.818582856,2.098624702,3.653691832,0.554201102,3.351303115,0.734210795
2.656023351,8.178812496,4.434639296,0.229564701,4.553110568,1.896521601,2.822686944,2.157851943,3.680370014,0.59141103,3.371681188,0.772732846
2.662050138,8.349164908,4.471263358,0.265406007,4.593820932,1.928252597,2.833442821,2.233415909,3.707048195,0.628405872,3.392470255,0.816536862
2.66920129,8.46838493,4.507887931,0.300934109,4.630493466,1.951513367,2.835889973,2.283028461,3.733726376,0.665400714,3.409514179,0.855318812
2.672128536,8.556720991,4.544517611,0.333330167,4.667166,1.969825512,2.851604096,2.398992208,3.760404557,0.703040815,3.43161552,0.896784303
2.673489527,8.673303683,4.581152141,0.362750784,4.7021716,1.994997294,2.861552425,2.450501788,3.787082738,0.742401606,3.452051423,0.936874291
2.67540771,8.807567247,4.617787693,0.391544991,4.817190001,2.01754702,2.865682707,2.485631391,3.813760919,0.781117138,3.469396269,0.972660138
2.68129094,8.919220022,4.654427075,0.417990166,4.853862535,1.997648264,2.876442168,2.557897367,3.840439101,0.820047756,3.489357063,1.011684339
2.691015566,9.055596145,4.69106901,0.442869319,4.890535069,1.974460864,2.881400843,2.597902026,3.867117282,0.858548202,3.510986417,1.049212339
2.695582281,9.182462317,4.727711712,0.467278665,4.918872936,1.957383285,2.888003564,2.659380712,3.895462849,0.896666272,3.534279246,1.089922083
2.701042946,9.291421685,4.764354158,0.491844613,4.99055107,1.911322158,2.897938179,2.723507781,3.925475803,0.93356552,3.555909985,1.126174457
2.708662821,9.415429787,4.800995582,0.51703697,5.027223603,1.89283282,2.907875792,2.784876283,3.95382137,0.966951692,3.577539406,1.163640969
2.716190062,9.535966704,4.837639305,0.540819908,5.063896137,1.87418688,2.912827765,2.831046751,3.983834324,1.005452138,3.602502447,1.201332936
2.719109894,9.641076988,4.874290432,0.560061381,5.095567871,1.845793867,2.921126912,2.865808741,4.015514664,1.045028015,3.629132097,1.239324655
2.725845634,9.741419299,4.910940538,0.579929264,5.120571871,1.812626362,2.931089532,2.904170968,4.045527618,1.082500826,3.655762632,1.276501663
2.730156922,9.848531156,4.942562787,0.615558051,5.223921739,1.758726241,2.946372633,2.956475668,4.073873186,1.117512094,3.680728736,1.311375443
2.735930118,9.935207182,4.974177113,0.656047099,5.270595873,1.728645543,2.959327565,3.003102742,4.102218753,1.15381388,3.710695884,1.3460247
2.793142158,9.923828573,5.03087399,0.652525276,5.307268406,1.689641337,2.975935505,3.063752419,4.130564321,1.191286692,3.745661692,1.382643799
2.802934005,9.82095865,5.067613972,0.617269185,5.332272407,1.671742532,3.002540658,3.130937915,4.155575115,1.229633504,3.780627829,1.418960305
2.814620243,9.702812779,5.104311058,0.608322264,5.457292408,1.605295113,3.036422619,3.150773708,4.182253297,1.268717756,3.817271279,1.445724228
2.823799203,9.592058959,5.140974952,0.619733627,5.488964142,1.568125859,3.074213819,3.153432788,4.215601023,1.308293633,3.853927826,1.460436561
2.834860412,9.493498903,5.175972581,0.630456878,5.518968942,1.531210247,3.099270229,3.111466989,4.252283522,1.341456028,3.873928815,1.462471245
2.839567828,9.389189084,5.284320262,0.650347144,5.552307609,1.492441879,3.114319915,3.071714822,4.288966021,1.375087703,3.929896325,1.472502806
2.845125532,9.278595939,5.321013519,0.643749255,5.587313209,1.455912453,3.134384292,3.020432624,4.32564852,1.397613103,3.982053625,1.474747475
2.847768899,9.15698892,5.357664135,0.663303933,5.623985743,1.420196889,3.147755681,2.990718288,4.362331019,1.419199945,4.055618937,1.467636213
2.852070089,9.043453846,5.394315773,0.682232202,5.660658277,1.384951131,3.166155072,2.937228338,4.399013518,1.44169406,4.108108767,1.472502806
2.856712626,8.948967421,5.42379747,0.667181852,5.697330811,1.351427996,3.179544665,2.890765945,4.435696018,1.461435071,4.155936497,1.459034792
2.861852733,8.824441627,5.470616291,0.645976228,5.734003344,1.320567096,3.192928647,2.849465624,4.472378517,1.474731314,4.234378259,1.44276785
2.866750667,8.69997722,5.54450145,0.608075104,5.770675878,1.293151441,3.209666106,2.79095746,4.509061016,1.485211883,4.270700111,1.424594815
2.871642016,8.590409554,5.581172238,0.615258209,5.807348412,1.262290541,3.223053829,2.746215757,4.545743515,1.495457811,4.292947716,1.404508829
2.876256802,8.449139942,5.617808215,0.643791413,5.844020945,1.225478763,3.236439681,2.703194745,4.582426014,1.504295903,4.324070211,1.398613462
2.881992975,8.318258828,5.651163138,0.639377387,5.880693479,1.195087669,3.243701028,2.670069421,4.619108513,1.506642299,4.360756691,1.3857793
2.885853266,8.21307636,5.677905354,0.600102983,5.917366013,1.164696575,3.256535293,2.62317701,4.655791012,1.499290258,4.397455927,1.361206575
2.891557391,8.090787526,5.701308969,0.563176501,5.954038547,1.133209267,3.259901395,2.594354504,4.692473511,1.495848877,4.43415666,1.335256525
2.895126016,7.942417629,5.722899013,0.522940022,5.98571028,1.096436412,3.279964276,2.544448858,4.72915601,1.495848877,4.470851474,1.314753168
2.902680706,7.793606576,5.741915019,0.494248798,6.015715081,1.058555413,3.291680248,2.503722569,4.765838509,1.493971761,4.507544281,1.296096678
2.906864329,7.654155385,5.762243148,0.44817071,6.049053748,1.019787045,3.303396999,2.462279325,4.802521008,1.481926929,4.544234338,1.279970501
2.912786159,7.541510603,5.783275305,0.401007083,6.084059348,0.983617804,3.321804183,2.401619829,4.839203507,1.469256391,4.580922258,1.265811186
2.916703755,7.443638044,5.81834269,0.368946614,6.119064948,0.945350095,3.336563723,2.323224878,4.875886007,1.463155761,4.617614351,1.247812056
2.918442536,7.344635414,5.855057905,0.348880936,6.154070549,0.91281402,3.362767735,2.215533851,4.912568506,1.460809366,4.654311121,1.225508786
2.923571723,7.244814408,5.891762396,0.33539255,6.190743082,0.880700304,3.423851906,2.018096643,4.949251005,1.455021589,4.691006275,1.204692401
2.924044996,7.132781368,5.928449525,0.332553114,6.227415616,0.854694068,3.458761326,1.901429534,4.975929186,1.456273,4.727698708,1.186380243
2.931204401,7.020274247,5.965118014,0.341145638,6.26408815,0.830723658,3.499203668,1.797607781,5.02173913,1.444756029,4.76438978,1.169320198
2.934377421,6.902566197,5.996207693,0.362530463,6.300760684,0.799862758,3.514261583,1.750284575,5.075972365,1.433434747,4.801077763,1.155103494
2.93975415,6.7905366,6.021724687,0.392949134,6.337433217,0.762111367,3.532659883,1.697798361,5.104317933,1.422719539,4.837766652,1.140052047
2.941255455,6.680966553,6.115119939,0.379689921,6.374105751,0.733286294,3.580880898,1.551423331,5.143478261,1.39988783,4.874454153,1.1262788
2.947228179,6.559703855,6.181904393,0.325102708,6.410778285,0.719338416,3.66809105,1.318084237,5.195652174,1.37296691,4.911141313,1.112818581
2.950378211,6.420957043,6.235339531,0.276787072,6.447450819,0.70178869,3.737802598,1.183460089,5.247826087,1.35501963,4.94782014,1.107027557
2.955780237,6.279087806,6.272052959,0.257817609,6.484123352,0.675156046,3.824915209,1.039857421,5.285396087,1.332308917,4.984498796,1.101393046
2.961662106,6.132341928,6.308716597,0.269385575,6.520795886,0.648680003,3.859560843,0.998418145,5.322745541,1.319415487,5.021175979,1.097114992
2.964799393,6.006936144,6.358115578,0.313080383,6.55746842,0.630503869,3.886942645,0.964684936,5.359761517,1.305790748,5.057852311,1.093619509
2.966537992,5.908343893,6.419043789,0.277111305,6.594140953,0.615146573,3.927342409,0.919591521,5.396110539,1.287920342,5.094529493,1.089341455
2.97166328,5.817346025,6.498816429,0.258473296,6.630813487,0.615919287,3.958964244,0.885758798,5.434126947,1.269146557,5.131209341,1.082611345
2.974769959,5.691464554,6.535490536,0.263620572,6.667486021,0.623112686,3.993781734,0.848430166,5.482814628,1.254091888,5.167884255,1.080420147
2.980672778,5.567047021,6.555488211,0.270343232,6.704158555,0.616525105,4.030501537,0.814110347,5.519497127,1.23211398,5.204550496,1.086211171
2.983694536,5.44155022,6.662449036,0.321893222,6.740831088,0.600384798,4.067216806,0.783961899,5.556179626,1.207555036,5.241217587,1.091219625
2.989684724,5.311207906,6.803768909,0.368393314,6.777503622,0.594267022,4.103925841,0.759549088,5.592862125,1.190817412,5.277884849,1.096071564
2.992278441,5.195406,6.836215764,0.411632826,6.814176156,0.594256727,4.140632835,0.737013394,5.629544624,1.183048235,5.314553981,1.099201848
2.995712459,5.095917237,6.925462178,0.384298395,6.850848689,0.594246431,4.175671202,0.71562008,5.666227123,1.168917717,5.351220222,1.104992872
2.999145219,4.999275474,6.962151605,0.380049539,6.887521223,0.593922932,4.220157544,0.694729896,5.702909622,1.154213637,5.387889014,1.108436184
3.005986297,4.861290455,6.998835414,0.379245932,6.924193757,0.592190013,4.2540738,0.683014477,5.727920417,1.143537535,5.424559336,1.110470868
3.011127467,4.734358817,7.035491903,0.395198759,6.960866291,0.589987289,4.2974449,0.665482558,5.77826087,1.121704992,5.461232891,1.109531783
3.015930236,4.606062433,7.072141498,0.415379846,6.997538824,0.587471361,4.332470464,0.655868156,5.842970073,1.101967222,5.497906955,1.108123156
3.021830151,4.488216085,7.108816626,0.419900713,7.034211358,0.58479883,4.387511561,0.639907657,5.879652572,1.090172672,5.534585101,1.102958188
3.02716077,4.368449885,7.145499159,0.419880116,7.070883892,0.584005525,4.427544601,0.625400918,5.913000299,1.073323811,5.571263248,1.09779322
3.033045578,4.232486242,7.182168415,0.428002834,7.107556426,0.587283872,4.465190154,0.615960085,5.969565217,1.040942232,5.607939183,1.094662937
3.039845367,4.102695088,7.218832563,0.439257596,7.144228959,0.592598047,4.490921215,0.610741636,6.030434783,1.034212002,5.64461886,1.088089342
3.04323647,3.993776135,7.253807749,0.463746179,7.180901493,0.601044262,4.550962001,0.597053132,6.091304348,1.022994952,5.681305646,1.074973454
3.047092577,3.898058021,7.285422428,0.504018656,7.217574027,0.610116886,4.583201491,0.593967705,6.185586408,0.99911647,5.717993521,1.060855875
3.052646699,3.795569852,7.313706972,0.541445891,7.23924416,0.616531486,4.627670127,0.589366728,6.273913043,0.942232193,5.754681895,1.046279189
3.057732823,3.686652089,7.338653744,0.580713831,7.282803586,0.633543024,4.664352807,0.589200015,6.360869565,0.915311273,5.791369883,1.032057267
3.061277707,3.579819335,7.363607135,0.6159213,7.343656615,0.655985232,4.699369818,0.587453862,6.419885741,0.897048648,5.828052961,1.022353389
3.070404974,3.449057964,7.392313239,0.67184838,7.430589514,0.709863129,4.731051851,0.585896356,6.463237785,0.879841744,5.864733999,1.01452768
3.076853708,3.292298468,7.418297688,0.734719809,7.534908992,0.736784993,4.820759507,0.583806371,6.510869565,0.861469434,5.901419799,1.002319574
3.085563265,3.145368506,7.444282137,0.797591239,7.587068731,0.754737783,4.85777087,0.58805079,6.564948351,0.847578801,5.938107299,0.988546327
3.094265394,3.015243545,7.476565055,0.876189215,7.65661505,0.777177552,4.893114557,0.592561602,6.641304348,0.830061694,5.974796841,0.97289491
3.102261871,2.892874245,7.513759533,0.85145453,7.717468079,0.79961976,4.94613353,0.596160184,6.713345734,0.812891249,6.011487233,0.956460921
3.108598206,2.801159066,7.557281776,0.824478942,7.787665233,0.846895745,5.030169826,0.596136618,6.750028233,0.807416325,6.048176627,0.94094515
3.117120702,2.693953627,7.609367853,0.878351999,7.8160031,0.862704597,5.070707138,0.599812443,6.830434783,0.789680314,6.084863198,0.928027513
3.123943007,2.598442785,7.661453929,0.932225056,7.882640587,0.907377994,5.102859102,0.604203478,7.004347826,0.758272574,6.106539085,0.922732117
3.133029151,2.494315582,7.730931326,0.986088347,,,5.167874045,0.616277006,7.073913043,0.751542344,6.164691376,0.902356902
3.146077964,2.372955258,7.800379428,1.05791909,,,5.204547884,0.624244468,7.171638774,0.74906928,6.225563919,0.884399551
3.152616813,2.108985006,7.884874644,0.998892569,,,5.246774068,0.637372444,7.247826087,0.780706674,6.321199864,0.875420875
3.179314924,1.704509372,7.921523218,1.019700064,,,5.274927313,0.643864934,7.343478261,0.789680314,6.425538856,0.857463524
3.250311239,1.075345746,7.958162855,1.045988637,,,5.314559708,0.65706316,7.430434783,0.807627594,6.516837913,0.839506173
3.321178434,0.738316861,,,,,5.35456101,0.671756024,7.530365031,0.817896893,6.591731748,0.816850279
3.427374937,0.468728516,,,,,5.388846042,0.686003558,7.56704753,0.822902538,6.623408159,0.812546139
3.551211264,0.289040198,,,,,5.429227209,0.701847166,7.60373003,0.829159593,6.677737277,0.824425565
3.719216674,0.176798629,,,,,5.465672127,0.71588925,7.640412529,0.83666806,6.715077843,0.82326736
3.887192288,0.131972769,,,,,5.50122848,0.729279807,7.675427641,0.842502765,6.751752078,0.821702218
4.063997745,0.10962502,,,,,5.536045057,0.741488682,7.700438436,0.848869319,6.788432095,0.814815594
4.309865491,0.105814882,,,,,5.573450341,0.758302721,7.752173913,0.861469434,6.82510701,0.812624396
4.347154763,0.108583144,,,,,5.610273036,0.77541736,7.813043478,0.879416713,6.861778863,0.813250453
4.381807008,0.112089479,,,,,5.645391427,0.789971926,7.856521739,0.888390353,6.898450206,0.814346052
4.421730712,0.119995542,,,,,5.683445087,0.80683358,7.907527817,0.891714508,6.9351191,0.817695455
4.459018599,0.125897603,,,,,5.72022315,0.821181471,7.943876839,0.904887348,6.971783538,0.82514553
4.496307007,0.13062449,,,,,5.757883291,0.842147689,7.98241199,0.917505744,7.008449099,0.831562611
4.53359576,0.134567927,,,,,5.794545908,0.860439296,,,7.045119592,0.833440781
4.570880012,0.148696212,,,,,5.831209092,0.878209481,,,7.081787533,0.837666664
4.608167726,0.154989999,,,,,5.868981486,0.898169325,,,7.118458196,0.83938832
4.645453709,0.165201035,,,,,5.901196019,0.918043824,,,7.155125627,0.844083745
4.682739692,0.175412071,,,,,6.006998816,0.988180081,,,7.191793059,0.84877917
4.720025329,0.186406557,,,,,6.043751515,1.008818058,,,7.22845947,0.85441368
4.757311832,0.195442418,,,,,6.076148798,1.031005878,,,7.265125881,0.86004819
4.79459643,0.208787254,,,,,6.115902314,1.054519025,,,7.301791441,0.866465272
4.83188224,0.219390015,,,,,6.144468988,1.07024304,,,7.338456832,0.873038867
4.869167704,0.230776226,,,,,6.248741206,1.119940476,,,7.375122052,0.879768976
4.906451609,0.245687961,,,,,6.346528307,1.155807614,,,7.411786252,0.887438171
4.943737765,0.255507273,,,,,6.44213174,1.200649004,,,7.448449261,0.896202965
4.98102219,0.269243833,,,,,6.563841646,1.227535793,,,7.485114142,0.903246102
5.018306269,0.283763844,,,,,6.711638516,1.254415267,,,7.521777491,0.911697868
5.055588789,0.301809379,,,,,6.825037752,1.255395119,,,7.558441861,0.919210548
