Na-Na,,Na-Cl,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
,,4.310540541,0.540063367,,
,,4.364054054,0.548956626,,
,,4.417567568,0.558410721,,
,,4.471081081,0.569146728,,
,,4.524594595,0.583568229,,
,,4.578108108,0.59654758,,
,,4.631621622,0.611770276,,
,,4.685135135,0.632360975,,
,,4.738648649,0.651541571,,
,,4.792162162,0.672981536,,
,,4.845675676,0.696296296,,
,,4.899189189,0.722495357,,
,,4.952702703,0.750617284,,
,,5.006216216,0.782584945,,
,,5.05972973,0.812870097,,
,,5.113243243,0.843635966,,
,,5.166756757,0.875363269,,
,,5.22027027,0.90733093,,
,,5.273783784,0.941221457,,
,,5.327297297,0.975111985,,
,,5.378262548,1.008624807,,
,,5.428378378,1.04145089,,
,,5.481891892,1.073899268,,
,,5.535405405,1.10274227,,
,,5.588918919,1.131825631,,
,,5.642432432,1.160668633,,
,,5.695945946,1.186867694,,
,,5.749459459,1.212826396,,
,,5.802972973,1.238888109,,
,,5.856486486,1.258654722,,
,,5.91,1.273156342,,
,,5.963513514,1.287097127,,
,,6.017027027,1.293586802,,
,,6.070540541,1.297192177,,
,,6.124054054,1.296711461,,
,,6.177567568,1.298153611,,
,,6.231081081,1.28950071,,
,,6.284594595,1.283539823,,
,,6.338108108,1.269310609,,
,,6.391621622,1.257739071,,
,,6.445135135,1.241909756,,
,,6.496864865,1.217963197,,
,,6.552162162,1.201735575,,
,,6.605675676,1.182781602,,
,,6.659189189,1.162351142,,
,,6.712702703,1.14656761,,
,,6.766216216,1.121970938,,
,,6.81972973,1.09985797,,
,,6.873243243,1.077745002,,
,,6.926756757,1.056353108,,
,,6.974324324,1.038600927,,
