Li-Cl,,Li-Li,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
1.945791566,0.038505955,2.434876816,0.015347711,2.723202182,0.015084549
2.005592383,0.130174007,2.612143523,0.09543664,2.859889763,0.07999781
2.026949817,0.240175669,2.714659208,0.197718888,2.928233553,0.175203927
2.073936173,0.571917524,2.774460025,0.296141427,2.979491396,0.267193622
2.091022121,0.792113834,2.825717868,0.398423675,3.013663291,0.363686308
2.121776826,1.188505789,2.859889763,0.477547677,3.047835187,0.482372312
2.142279963,1.508089565,2.911147606,0.604918023,3.082007082,0.607812804
2.152798371,1.704934645,2.962405448,0.728428661,3.116178977,0.74097271
2.173034669,1.990552996,3.022206265,0.909834911,3.150350872,0.877413369
2.193537806,2.323452763,3.064921134,0.998608182,3.188794254,1.019836573
2.204056213,2.523192623,3.099093029,1.108609844,3.201608715,1.118259113
2.222014386,2.773816293,3.150350872,1.237910044,3.23578061,1.216038368
2.24137846,3.075902729,3.201608715,1.36528039,3.252866558,1.315104193
2.255314056,3.287414697,3.252866558,1.469492491,3.269952505,1.41031031
2.27042457,3.452610176,3.287038453,1.546686639,3.304124401,1.499083581
2.287510518,3.609940916,3.489222166,1.716513767,3.329753322,1.602404273
2.304596466,3.773737835,3.648284202,1.686187494,3.355382243,1.688209246
2.330225387,3.903681319,3.793921565,1.582710576,3.389554139,1.775374306
2.372940256,4.024965383,3.893589593,1.479141759,3.423726034,1.876048341
2.448954796,3.898792356,4.010343568,1.36528039,3.48352685,1.983798508
2.466912968,3.777597542,4.141335833,1.243699605,3.611671457,2.049501255
2.477431375,3.688824271,4.252394493,1.167470383,3.739816065,1.977044019
2.501084863,3.53250612,4.424474394,1.079110652,3.808159855,1.893095383
2.518170811,3.395486505,4.72510571,0.97866636,3.876503645,1.799497477
2.552342706,3.147886273,4.961461318,0.882816959,3.944847436,1.691425669
2.569428654,3.003082915,5.183578637,0.797131454,4.013191226,1.587213568
2.595057575,2.80688112,5.388610009,0.740007783,4.081535017,1.485896247
2.620686496,2.620971878,5.687614092,0.743867491,4.149878807,1.393263268
2.646315418,2.424770083,5.973803714,0.828781055,4.226765571,1.302753129
2.663401365,2.301045017,6.187378059,0.921414033,4.312195309,1.218611507
2.680487313,2.204766759,6.336880101,0.998608182,4.414710995,1.130389622
2.697573261,2.085115828,6.658665447,1.128551666,4.542855602,1.046372062
2.723202182,1.956780555,6.772571765,1.156856188,4.688086157,0.963441959
2.74028813,1.831018421,7.108595401,1.176154725,4.841859685,0.878957252
2.774460025,1.680811473,7.309558689,1.148033999,5.012719161,0.795447218
2.791545972,1.563840895,7.490181564,1.114399406,5.200664585,0.718603951
2.825717868,1.442688967,7.665312527,1.073872477,5.388610009,0.674041874
2.859889763,1.312531054,8.074520972,0.970046347,5.576555432,0.661760987
2.894061658,1.198669685,8.236267943,0.938139432,5.764500856,0.688077174
2.928233553,1.0854516,8.469775893,0.904688634,5.95244628,0.749481611
2.968972989,0.982740496,9.002287927,0.905975204,6.123305756,0.831354193
3.05637816,0.815851035,9.17741889,0.929133448,6.259993336,0.9186571
3.16743682,0.669503794,9.363940485,0.958724539,6.37959497,0.999710956
3.261409532,0.582831919,9.904995492,1.048784379,6.516282551,1.087381454
3.363925217,0.51871789,9.993272888,1.056503794,6.687142027,1.178610902
3.466440903,0.477547677,10.35207779,1.079662039,6.87508745,1.243875046
3.563830804,0.459021082,10.71600847,1.054187969,7.063032874,1.257559464
3.671472274,0.449886441,10.89028514,1.033345549,7.250978298,1.231243276
3.756902012,0.448599871,11.33451978,0.98702906,7.438923721,1.17545296
3.893589593,0.46661184,11.59422618,0.962326932,7.626869145,1.107030873
3.996105279,0.491056653,11.81102787,0.9561514,7.814814569,1.040012317
4.098620964,0.52579402,12.10053976,0.9561514,8.002759992,0.975449938
4.20113665,0.567607518,12.35398132,0.963870815,8.190705416,0.924571976
4.303652336,0.614567292,13.47538901,1.033345549,8.37865084,0.884922254
4.406168021,0.678895749,13.65820865,1.033345549,8.566596263,0.863167539
4.508683707,0.750729193,13.94866976,1.025626134,8.754541687,0.857904302
4.611199392,0.833712903,,,8.942487111,0.869132542
4.69662913,0.902758781,,,9.130432534,0.896150494
4.816230764,1.015976866,,,9.318377958,0.932291391
4.918746449,1.104964565,,,9.506323382,0.975449938
5.021262135,1.192880124,,,9.694268805,1.022117309
5.123777821,1.270503129,,,9.882214229,1.060714384
5.226293506,1.335046015,,,10.07015965,1.088434101
5.328809192,1.376216227,,,10.25810508,1.099662341
