Li-Cl,,Li-Li,,Cl-Cl,
5.431324878,1.391011772,,,10.4460505,1.097907928
5.533840563,1.389081919,,,10.63399592,1.081065569
5.636356249,1.36399382,,,10.82194135,1.056854676
5.738871934,1.321537038,,,11.00988677,1.028784077
5.84138762,1.264927996,,,11.19783219,0.998608182
5.943903306,1.200599539,,,11.38577762,0.971941113
6.046418991,1.13755765,,,11.57372304,0.951589928
6.148934677,1.074515762,,,11.76166847,0.939659923
6.251450363,1.018550004,,,11.94961389,0.935800216
6.405223891,0.942642424,,,12.13755931,0.939659923
6.507739577,0.898899073,,,12.32550474,0.950186398
6.610255262,0.867378129,,,12.51345016,0.96597611
6.711062353,0.843447943,,,12.70139558,0.985274647
6.815286634,0.826207916,,,12.88934101,1.00527495
6.934888267,0.812055656,,,13.07728643,1.023169957
7.037403952,0.806909379,,,13.26523185,1.037205257
7.139919638,0.810769087,,,13.45317728,1.045275554
7.242435324,0.818488502,,,13.6411227,1.045977319
7.344951009,0.830067624,,,13.82906813,1.041064964
7.464552643,0.852582584,,,13.94866976,1.035918688
7.567068328,0.875097544,,,,
7.669584014,0.902115496,,,,
7.7720997,0.931706587,,,,
7.874615385,0.965157384,,,,
7.985674045,0.998608182,,,,
8.079646756,1.031415696,,,,
8.182162442,1.059720217,,,,
8.284678128,1.086738169,,,,
8.387193813,1.107323275,,,,
8.489709499,1.124691959,,,,
8.592225185,1.139487504,,,,
8.69474087,1.141417358,,,,
8.797256556,1.134984512,,,,
8.904898026,1.121346879,,,,
9.002287927,1.109253129,,,,
9.104803613,1.093814299,,,,
9.224405246,1.068726201,,,,
9.344006879,1.045567956,,,,
9.446522565,1.021123142,,,,
9.523409329,1.008900735,,,,
9.685725831,0.974806653,,,,
9.793367301,0.958467225,,,,
9.890757203,0.947788701,,,,
9.993272888,0.931063302,,,,
10.09578857,0.92656031,,,,
10.19830426,0.922057318,,,,
10.30081995,0.920770749,,,,
10.40333563,0.923987172,,,,
10.50585132,0.922700603,,,,
10.608367,0.92656031,,,,
10.72796864,0.940712571,,,,
10.83048432,0.947788701,,,,
10.93300001,0.960654392,,,,
11.03551569,0.974163368,,,,
11.13973997,0.985485177,,,,
11.30034788,1.015011939,,,,
11.39432059,1.024339565,,,,
11.49854487,1.033345549,,,,
11.59935196,1.044924672,,,,
11.70186765,1.050070948,,,,
11.79584036,1.048784379,,,,
11.97524281,1.064223209,,,,
12.14610229,1.050070948,,,,
12.24861797,1.046854525,,,,
12.35113366,1.042994818,,,,
12.46219232,1.031415696,,,,
12.55616503,1.023052996,,,,
12.65868071,1.015976866,,,,
12.74411045,1.010187305,,,,
12.91496993,0.988958914,,,,
13.03457156,0.981239499,,,,
13.13708725,0.974806653,,,,
13.23960293,0.970946946,,,,
13.34211862,0.97159023,,,,
13.4446343,0.966443954,,,,
13.54714999,0.960654392,,,,
13.64966568,0.961940962,,,,
13.76926731,0.97159023,,,,
13.87178299,0.969017092,,,,
13.94012679,0.969660376,,,,
