Al-F,,Na-F,,Na-Al,,K-F,,Na-Na,,F-F,,K-Al,,Al-Al,,K-Na,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.10965330205966417,0.0004837645679103275,0.10965330205966417,0.0004837645679103275,0.055647584842043685,0.00021989298541313929,0.0825918053214103,-0.04850839258227779,0.10059371106061721,-0.04842043538811325,0.05385996409335725,-0.01941747572815533,0.09874326750448836,-0.029126213592232553,0.008976660682226356,-0.009708737864077222,0.017953321364452268,-0.03883495145631066
0.36167998240856125,0.0017151652862281708,0.3076742651909403,0.0014512937037309825,0.20866378362530225,0.000967529135820655,0.3166752180605439,0.0014952723008150315,0.2356080041046691,-0.04776075643187028,0.26929982046678647,-0.029126213592232553,0.2782764811490126,-0.03883495145631066,0.17953321364452424,-0.029126213592232553,0.29622980251346487,-0.03883495145631066
0.5686432602799969,-0.046133548339810204,0.4966942754526129,0.0023748442424675886,0.37962325001832453,-0.04705709887854681,0.5416990398006303,0.002594737227880728,0.48769332258300957,0.0023308656453870924,0.5296229802513464,-0.03883495145631066,0.45780969479353684,-0.029126213592232553,0.39497307001795323,-0.01941747572815533,0.5475763016157988,-0.029126213592232553
0.8027266730191305,0.00387011654328262,0.6766546947152385,-0.04560580517481583,0.5417576779300739,0.051454958586820254,0.7217180971926995,0.0034743091695368378,0.8927362017151652,0.004309902514108899,0.7271095152603231,-0.029126213592232553,0.6014362657091563,-0.029126213592232553,0.59245960502693,-0.03883495145631066,0.9156193895870735,-0.03883495145631066
0.9647438246719928,0.004661731290770632,0.8476727992377042,-0.04477021183024377,0.7037161914534926,0.0033863519753722926,0.8927362017151652,0.004309902514108899,1.162764787803269,0.005629260426591287,1.023339317773788,-0.03883495145631066,0.7719928186714542,-0.029126213592232553,0.8168761220825853,-0.03883495145631066,1.2118491921005383,-0.029126213592232553
1.1537638349336654,0.005585281829510791,0.9827457304111995,0.00474968848493873,0.8477314373671478,0.004090009528695759,1.1446456058051746,-0.09217913948544876,1.4687971853697865,0.007124532727406319,1.2208258527827647,-0.029126213592232553,1.0323159784560143,-0.03883495145631066,1.0053859964093357,-0.03883495145631066,1.5888689407540395,-0.029126213592232553
1.3877886095433554,0.006728725353660536,1.1177600234552516,0.005409367441178148,1.0367514476288204,0.0050135600674323655,1.3336656160668476,-0.09125558894671215,1.6848200542402694,0.008180019057391519,1.4452423698384205,-0.029126213592232553,1.2387791741472174,-0.03883495145631066,1.1579892280071815,-0.03883495145631066,1.8850987432675048,-0.029126213592232553
1.531979769845342,0.15401304698380258,1.2527743164993037,0.006069046397421118,1.1537638349336654,0.005585281829510791,1.540746170197171,-0.041383859854871474,1.8558381587627353,0.00901561240196358,1.7055655296229804,-0.029126213592232553,1.4272890484739678,-0.03883495145631066,1.3644524236983842,-0.029126213592232553,2.1723518850987436,-0.01941747572815533
1.5508026093967602,0.8381441032031134,1.414732830022722,-0.041999560214030396,1.3067213955874806,-0.04252730337902477,1.783771897676464,-0.04019643773363768,2.107864839111632,0.010247013120281423,1.912028725314183,-0.029126213592232553,1.7145421903052067,-0.03883495145631066,1.5709156193895868,-0.029126213592232553,2.44165170556553,-0.03883495145631066
