Li-F,,Na-F,,K-F,,Li-Li,,F-F,,Li-Na,,Li-K,,Na-Na,,Na-K,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.049054267,3.413828689,3.356663454,0.49199155,4.329794069,0.746787659,4.986400614,0.784801761,4.918611047,0.883096721,4.928028432,0.62100695,4.576394438,0.874265009,,,,,,
2.062523202,3.198272897,3.430742601,0.49122807,4.406722414,0.83405007,,,4.974859889,0.898046333,4.986399256,0.644776241,4.63171592,0.84486518,,,,,,
2.081924884,2.978318006,3.504821749,0.509551585,4.481319597,0.860497793,,,,,,,4.678863989,0.812471165,,,,,,
2.11655929,2.510413966,3.578900896,0.533982938,4.59344115,0.929971989,,,,,,,4.716544941,0.792647271,,,,,,
2.135479938,2.266064078,3.652980043,0.550016014,4.704781487,0.986726451,,,,,,,4.765514143,0.75668024,,,,,,
2.147826463,2.080602114,3.72705919,0.555360372,4.777636185,1.05015295,,,,,,,4.807850125,0.739979952,,,,,,
2.170435034,1.880543143,3.787669401,0.556014783,4.92579448,1.1586112,,,,,,,4.861480311,0.71752244,,,,,,
2.194967738,1.669086509,3.982968971,0.698131092,4.979670223,1.183246148,,,,,,,4.932528948,0.692142243,,,,,,
2.22190561,1.455980214,4.127760031,0.788527099,,,,,,,,,4.987152965,0.673223765,,,,,,
2.251368907,1.24077435,4.205206412,0.8828932,,,,,,,,,,,,,,,,
2.292617523,1.087505783,4.339895771,1.032535238,,,,,,,,,,,,,,,,
2.339758798,0.858886002,4.562133212,1.218824306,,,,,,,,,,,,,,,,
2.413837946,0.63552575,4.636212359,1.260815694,,,,,,,,,,,,,,,,
2.482679173,0.489050739,4.710291506,1.278375729,,,,,,,,,,,,,,,,
2.56199624,0.369020406,4.784370653,1.280666168,,,,,,,,,,,,,,,,
2.730357938,0.27974417,4.8584498,1.280666168,,,,,,,,,,,,,,,,
2.804437085,0.27821721,4.932528948,1.279139209,,,,,,,,,,,,,,,,
2.986267719,0.255312816,4.983037457,1.265969183,,,,,,,,,,,,,,,,
3.20850516,0.342349512,,,,,,,,,,,,,,,,,,
3.282584307,0.373652183,,,,,,,,,,,,,,,,,,
3.356663454,0.409535733,,,,,,,,,,,,,,,,,,
3.481251111,0.459734529,,,,,,,,,,,,,,,,,,
3.585635364,0.588190003,,,,,,,,,,,,,,,,,,
3.660387958,0.642397068,,,,,,,,,,,,,,,,,,
3.733793658,0.70652937,,,,,,,,,,,,,,,,,,
3.807872805,0.785167788,,,,,,,,,,,,,,,,,,
3.877911271,0.852354009,,,,,,,,,,,,,,,,,,
3.956031099,0.938576326,,,,,,,,,,,,,,,,,,
4.02959221,1.0002929,,,,,,,,,,,,,,,,,,
4.252347688,1.211189508,,,,,,,,,,,,,,,,,,
4.325865629,1.272170689,,,,,,,,,,,,,,,,,,
4.400505982,1.284483567,,,,,,,,,,,,,,,,,,
4.508086253,1.333333333,,,,,,,,,,,,,,,,,,
4.622743423,1.34785239,,,,,,,,,,,,,,,,,,
4.69682257,1.341744551,,,,,,,,,,,,,,,,,,
4.770901718,1.334873233,,,,,,,,,,,,,,,,,,
4.838246397,1.323590699,,,,,,,,,,,,,,,,,,
4.939263416,1.224168664,,,,,,,,,,,,,,,,,,
4.983037457,1.209280809,,,,,,,,,,,,,,,,,,
