Na-F,,Na-Na,,F-F,
X,Y,X,Y,X,Y
1.731730916127718,0.016320058182353492,2.0835746578171594,0.0039238310338616245,2.1078779854356573,0.020322814981453163
1.801028670367164,0.09369936662247813,2.262911850078933,0.014937613541512462,2.2761317920252586,0.07574139539451075
1.8302592045628154,0.2138845927235229,2.3838015537562303,0.06406298587584303,2.3939094566379797,0.1682593165414632
1.8554972755512558,0.36216674031521556,2.45279828894434,0.14069404551480247,2.4696236696033003,0.25190565620857175
1.8835395766495222,0.5598762704374716,2.5116871212507004,0.22655828055187222,2.536925192239141,0.347908841508322
1.8891480368691758,0.6815436735896299,2.562163263227581,0.32541304561300066,2.604226714874981,0.45816992561496495
1.905973417528136,1.008524819561054,2.604226714874981,0.40589096332302166,2.654702856851862,0.5579752172632197
1.9354178336813161,1.2585133119752534,2.6462901665223812,0.5015773064270634,2.7051789988287416,0.6568299823243473
1.9396241788460564,1.419152305199587,2.7408259917502678,0.7778637010850877,2.7472424504761426,0.7670910664309911
1.9564495595050162,1.8297797908381197,2.7724805214645825,0.8887584695831485,2.7893059021235427,0.8526384592723515
1.984491860603283,2.0921251288849607,2.8145439731119826,0.9831774439043546,2.831369353770943,0.9448395382235963
1.9901003208229366,2.301240978052732,2.848194734429903,1.0769627338341428,2.8706285753085163,1.0414764079147636
2.006925701481897,2.711868463691265,2.8953058002749916,1.1902655030195897,2.8986708764067837,1.1225880100162025
2.0349680025801633,2.936192738253056,2.9491470183836634,1.3367733343153132,2.9491470183836634,1.2189080375116603
2.040576462799817,3.1224959493297977,2.999623160360544,1.4457670496391213,2.999623160360544,1.308891221092944
2.057401843458777,3.4266644572101925,3.0585119926669044,1.5484239210487551,3.0585119926669044,1.419152305199587
2.085444144557044,3.5807765012029256,3.134226205632225,1.6343515245249662,3.134226205632225,1.5164862277213134
2.0910526047766975,3.7004161143025476,3.268829250903906,1.6941518030503877,3.268829250903906,1.6092576226248339
2.1078779854356573,3.823984570628958,3.420257676834547,1.641847105612019,3.4539084381524674,1.5926666131040852
2.166766817742018,3.9784102346933756,3.5212099607883083,1.5636323464427742,3.6053368640831085,1.5000828546177631
2.220855188334946,3.881809763069887,3.613749554412589,1.469213372121569,3.7147018383663495,1.4172512520253342
2.2424810307073386,3.7270308587420824,3.70628914803687,1.3894958756812485,3.83247950297907,1.3298028060097211
2.259306411366299,3.6091655619384295,3.7988287416611506,1.3076238523101091,3.967082548250752,1.2490080461039916
2.281740252244912,3.4323676167329498,3.9166064062738712,1.2181159320223882,4.1100982838519124,1.1652560923716466
2.292957172684219,3.362028649285609,4.059622141875032,1.1361066103664426,4.2615267097825535,1.0794974713998133
2.309782553343179,3.266975990572985,4.211050567805674,1.0630216772229577,4.396129755054234,0.9900574458683158
2.320191475276265,3.1605170128148474,4.362478993736315,0.9797977938167941,4.522320109996436,0.9091947912063629
2.332216394221793,3.0349066845605357,4.505494729337475,0.8963626822801585,4.665335845597597,0.8222216084843126
2.343433314661099,2.966609589041095,4.638895961704946,0.8222216084843126,4.833589652187198,0.7534380481795413
2.3602586953200593,2.871556930328472,4.948002240668127,0.7378148475475026,5.018668839435759,0.720256029138044
2.3602586953200593,2.7650979525703336,5.136446504048481,0.7326992862786055,5.203748026684321,0.7271689497716887
2.3826925361986735,2.6345589679383314,5.321525691297042,0.7693377656369256,5.388827213932882,0.7769419783339346
2.3939094566379797,2.5673884224480776,5.506604878545603,0.84019520213179,5.565493710851964,0.8465550891147444
2.41073483729694,2.483742082780969,5.674858685135204,0.9214988298063851,5.733747517441564,0.9324826925909555
2.41073483729694,2.3772831050228307,5.834699801395326,1.0043425025776989,5.902001324031166,1.0153686109883626
2.4331686781755533,2.2485184366867967,6.011366298314407,1.086295176689564,6.078667820950248,1.0963189116083498
2.4443855986148604,2.1871777875975837,6.188032795233489,1.1446402268375309,6.263747008198809,1.1519679227091952
2.4612109792738206,2.0712135439681836,6.546039505921362,1.1677908299373163,6.448826195447371,1.1765087909586356
2.489253280372087,1.9210303432022382,6.72307990018842,1.1469214906466343,6.633905382695932,1.1723610385784484
2.5116871212507004,1.7822534614818082,6.903111473239294,1.1070339385905008,6.818984569944494,1.1419441877904086
2.5341209621293146,1.6434765797613782,7.0881906604878555,1.0548413878064782,7.004063757193055,1.0945906814499393
2.562163263227581,1.5161060170864626,7.273269847736417,1.0019575449590912,7.189142944441615,1.0396329624124583
2.587401334216021,1.4286575710708496,7.449936344655498,0.95871722639564,7.374222131690177,0.9891686417868479
2.6126394052044617,1.3050891147444394,7.677078983551459,0.9172742671969356,7.559301318938738,0.945962887826564
2.6378774761929016,1.2328490941228454,8.153798102221996,0.9109374232827605,7.7443805061873,0.9165829751335712
2.6631155471813415,1.1530048608042414,8.341681519580385,0.9296311128295764,7.929459693435861,0.8996463195811399
2.696766308499262,1.045278514263269,8.558728930080969,0.9613787008395924,8.114538880684423,0.8996463195811399
2.7472424504761426,0.9261458486767804,8.74642539876537,0.9941613066889241,8.299618067932984,0.9145090989434772
2.8397820441004233,0.7594868537339812,8.915847634567399,1.022307455074385,8.484697255181546,0.9407781973513298
