Li-Cl,,K-Cl,,Ce-Cl,
2.513736235,3.61971026,3.808773974,1.098141532,2.668230823,5.003000096
2.523541083,3.570159741,3.864548232,0.968377534,2.673889081,5.114046839
2.528286041,3.490461127,3.886372941,0.949583447,2.678739017,5.214583273
2.532270967,3.401243687,3.966396876,0.84465126,2.68601392,5.423384283
2.57608205,2.921892093,3.98337165,0.830804717,2.687832646,5.627118616
2.586590243,2.808893929,4.053695714,0.74667292,2.689516651,5.742288445
2.595481792,2.690935674,4.150694423,0.655653133,2.693288823,5.84870504
2.598715082,2.636415454,4.242843196,0.610227913,2.697532517,6.256918426
2.669039146,2.053614094,4.271942809,0.60731019,2.698138759,6.055716843
2.671464114,1.985212835,4.301042421,0.592495778,2.699216522,6.372831798
2.719617044,1.605886831,4.330142034,0.586603882,2.700563726,6.481325609
2.733704952,1.530285206,4.359241646,0.579720596,2.702883717,6.854895168
2.738878216,1.457725436,4.388341259,0.574820092,2.702988694,6.687440456
2.751488048,1.385180092,4.417440872,0.567936805,2.704710316,6.92240341
2.838786886,1.004655381,4.446540484,0.56204491,2.707838629,7.025861751
2.850911725,0.936173799,4.470790162,0.568535991,2.712583588,7.120915718
2.880011338,0.883686537,4.742386546,0.532877088,2.715113533,7.323936857
2.90911095,0.816493645,4.771486159,0.546813008,2.717979404,7.54781648
2.922852434,0.77322957,4.795735836,0.555782566,2.729057097,7.666737268
3.040059207,0.595667523,4.970333512,0.585862985,2.744213145,7.898008568
3.06915882,0.569452116,4.999433124,0.594841952,2.751488048,8.137740971
3.098258432,0.540262537,5.028532737,0.612743435,2.753104694,8.24600398
3.124933077,0.517446202,5.05763235,0.618748229,2.756337984,8.308467871
3.253456366,0.428866906,5.086731962,0.634666931,2.761187919,8.530350536
3.282555979,0.420992229,5.115831575,0.640671725,2.76350791,8.739736769
3.311655592,0.407830135,5.144931188,0.646676519,2.763612887,8.775427041
3.340755204,0.407225657,5.1740308,0.656646876,2.769271145,8.86400226
3.360154946,0.40726329,5.203130413,0.660668888,2.77088779,8.955081162
3.495953138,0.38274195,5.22738009,0.666664274,2.773312758,9.162088261
3.525052751,0.380485154,5.309828993,0.71341958,2.780587661,9.377729868
3.554152364,0.377897895,5.329228734,0.717422776,2.784677563,9.446441183
3.583251976,0.380928516,5.411677637,0.767152255,2.7927125,9.543414788
3.612351589,0.399821391,5.440777249,0.793976255,2.816962177,9.456615997
3.639026234,0.402252474,5.469876862,0.827739991,2.831511983,9.278193881
3.811198942,0.405164081,5.498976475,0.854563991,2.858186628,9.232443372
3.840298554,0.408194703,5.518376216,0.866498314,2.867886499,9.030218469
3.884934757,0.447885421,5.625074796,0.908343707,2.875161402,8.80141959
4.077945391,0.522665645,5.646899506,0.915325779,2.875161402,8.716159983
4.107045004,0.531644611,5.717223569,0.974945645,2.875969725,8.647755587
4.136144616,0.546571922,5.746323182,1.005735209,2.884376279,8.590072951
4.165244229,0.558525061,5.775422795,1.034541991,2.884861273,8.396455273
4.184643971,0.581364682,5.804522407,1.063348773,2.889711208,8.183811359
4.330960854,0.634977616,5.83362202,1.078276084,2.889711208,8.112431223
4.368941517,0.666981801,5.862721633,1.088246441,2.892136176,8.041650625
4.39804113,0.676952158,5.891821245,1.10119097,2.892136176,7.973839496
4.427140743,0.695184105,5.920920858,1.109178546,2.899411079,7.761497703
4.562938935,0.790290587,5.937895632,1.108220084,2.900219402,7.447228394
4.592038548,0.808852997,6.027619438,1.159946456,2.901143199,7.535888847
4.62113816,0.827084944,6.047019179,1.170889388,2.904261015,7.34661007
4.650237773,0.840029473,6.153717759,1.206786437,2.90911095,7.129504898
4.78118603,0.924551711,6.182817372,1.209817058,2.912921614,6.894340234
4.810285642,0.946914453,6.211916984,1.210864898,2.921235789,6.790472771
4.839385255,0.967294414,6.238591629,1.198028563,2.928995685,6.706913582
4.868484868,0.993127023,6.464113627,1.277777308,2.933360627,6.50249727
4.887884609,1.002087173,6.49321324,1.258997332,2.943060498,6.262599518
5.013982931,1.066772187,6.522312852,1.258062391,2.951143724,6.164467511
5.043082543,1.082029962,6.551412465,1.255144668,2.953799641,6.081195838
5.072182156,1.093322173,6.580512078,1.250244163,2.960035272,5.868257195
5.101281769,1.113665654,6.60961169,1.241378095,2.968118498,5.648977235
5.130381381,1.122846332,6.638711303,1.241434545,2.97070513,5.574429666
5.159480994,1.132816689,6.667810916,1.23653404,2.977010046,5.501277257
5.178880736,1.138472203,6.689635625,1.24054194,2.977010046,5.437332552
5.327402135,1.218869839,6.774509495,1.228809895,2.986709917,5.24254308
5.357843353,1.249855133,6.793909237,1.211002493,2.998141908,5.015678395
5.38742796,1.257182722,6.876358139,1.160601503,3.003684691,4.916408442
5.416527572,1.26814447,6.905457752,1.153718217,3.008534627,4.826201289
5.433502346,1.279743625,6.934557365,1.152783276,3.01580953,4.62099751
5.564450603,1.293877118,6.963656977,1.140943036,3.023084433,4.386052008
5.598400151,1.321701917,6.980631751,1.128087884,3.028742691,4.281966952
5.630029708,1.331419678,,,3.032784304,4.195723795
5.656599376,1.345608194,,,3.042484175,3.989929885
5.906371052,1.239022513,,,3.042484175,3.778644682
5.933045696,1.256919292,,,3.045515384,3.678986047
6.067227244,1.208270975,,,3.054002771,3.582341911
6.110553334,1.18231449,,,3.059458949,3.363007285
6.181494662,1.150691551,,,3.070775465,3.144923266
6.323465499,1.084844195,,,3.078858691,3.037670464
6.350140144,1.059053687,,,3.083708626,2.930807946
6.381664725,1.047614707,,,3.095833465,2.737311986
6.426769124,1.023512269,,,3.106745819,2.523638872
6.568387239,0.95478619,,,3.116203193,2.439934267
6.627520759,0.942051447,,,3.124933077,2.378088417
6.670235883,0.947052636,,,3.13220798,2.319213917
6.726010141,0.913453544,,,3.144332819,2.124726567
6.921708185,0.896065389,,,3.161307593,1.953447169
6.978647687,0.872897474,,,3.171007464,1.873163332
,,,,3.183132302,1.804780889
,,,,3.187982238,1.515304189
,,,,3.208594464,1.311117674
,,,,3.219853242,1.221914344
,,,,3.23066167,1.160072526
,,,,3.251031399,1.0161621
,,,,3.284172624,1.097123877
,,,,3.293872495,1.019814212
,,,,3.302302145,0.929755631
,,,,3.311655592,0.881549695
,,,,3.32378043,0.705799631
,,,,3.350455075,0.567849779
,,,,3.379554688,0.559975102
,,,,3.401379397,0.552086313
,,,,3.425629074,0.390734935
,,,,3.466853526,0.308331192
,,,,3.495953138,0.264766447
,,,,3.517777848,0.240024015
,,,,3.561427267,0.191133984
,,,,3.607501653,0.14205038
,,,,3.636601266,0.123270404
,,,,3.665700879,0.104490429
,,,,3.682675653,0.098575013
,,,,3.731175007,0.086772405
,,,,3.782099329,0.08488841
,,,,3.811198942,0.065117044
,,,,3.840298554,0.047328459
,,,,3.859698296,0.036460793
,,,,3.932447328,0.0276794
,,,,3.995496489,0.067457338
,,,,4.024596101,0.063548224
,,,,4.053695714,0.063604673
,,,,4.073095456,0.057693961
,,,,4.126444745,0.090513347
,,,,4.194343842,0.086679499
,,,,4.223443454,0.096649856
,,,,4.252543067,0.113559949
,,,,4.281642679,0.136418386
,,,,4.310742292,0.157294042
,,,,4.332567002,0.167250287
,,,,4.383491324,0.199569273
,,,,4.436840613,0.166461172
,,,,4.465940226,0.186345437
,,,,4.495039839,0.20325553
,,,,4.543539193,0.27125988
,,,,4.601738418,0.230230062
,,,,4.630838031,0.256062671
,,,,4.655087708,0.274450442
,,,,4.713286934,0.319175925
,,,,4.761786288,0.419896172
,,,,4.788460933,0.464312654
,,,,4.819985513,0.514191194
,,,,4.861209964,0.523193681
,,,,4.88615249,0.59632173
,,,,4.916984222,0.623432345
,,,,4.938808931,0.614552164
,,,,4.992158221,0.716174071
,,,,5.016407898,0.749531842
,,,,5.077032091,0.765511697
,,,,5.118256543,0.797316172
,,,,5.167968381,0.990733808
,,,,5.292854218,1.074252895
,,,,5.324378799,1.257225647
,,,,5.353478411,1.371787732
,,,,5.382578024,1.358956101
,,,,5.411677637,1.366943677
,,,,5.428652411,1.368959387
,,,,5.469876862,1.446863533
,,,,5.532926023,1.447481535
,,,,5.562025635,1.491159179
,,,,5.586275313,1.525409202
,,,,5.617799893,1.46687916
,,,,5.654174409,1.524053831
,,,,5.683274021,1.555834785
,,,,5.707523699,1.577692423
,,,,5.768147892,1.569482343
,,,,5.809372343,1.522372112
,,,,5.838471955,1.504583527
,,,,5.860296665,1.492729175
,,,,5.908189777,1.630129704
,,,,5.934809309,1.690611116
,,,,5.964570277,1.738796365
,,,,5.988819954,1.73735632
,,,,6.032469373,1.597159198
,,,,6.061568986,1.595232866
,,,,6.07854376,1.590308841
,,,,6.105218405,1.462471176
,,,,6.148867824,1.561694927
,,,,6.177967436,1.577613629
,,,,6.207067049,1.597497894
,,,,6.2482915,1.468102228
,,,,6.284666016,1.345835168
,,,,6.313765628,1.3369691
,,,,6.335590338,1.333045874
,,,,6.376814789,1.27116392
,,,,6.461688659,1.073546103
,,,,6.556747394,1.009488382
,,,,6.585362013,1.002405876
,,,,6.612036658,0.98223325
,,,,6.667810916,0.891034353
,,,,6.71631027,0.838089029
,,,,6.745409883,0.847067995
,,,,6.76965956,0.854054772
,,,,6.820583882,0.804187463
,,,,6.871508204,0.848304
,,,,6.900607817,0.851334621
,,,,6.929707429,0.853373852
,,,,6.958807042,0.879206462
