Li-Cl,,K-Cl,,Ce-Cl,
X,Y,X,Y,X,Y
1.926999024,0.107065928,2.550215728,0.008144415,2.002658017,0.009659843
1.953673669,0.163759133,2.572040437,0.015126487,2.019147797,0.006122824
1.975498378,0.210925578,2.637168142,0.140734573,2.099171732,0.00627806
2.028039345,0.69383481,2.661764243,0.225475384,2.181620634,0.006438
2.031430101,0.785379803,2.680557743,0.295157044,2.210720247,0.006494449
2.040164184,0.886518606,2.700078733,0.354827067,2.23981986,0.006550898
2.045822442,0.9921127,2.719963468,0.525731842,2.266494504,0.006602643
2.072497087,1.433829037,2.736938242,0.63010865,2.353793342,0.006771991
2.075839553,1.482611948,2.751488048,0.717775819,2.4095676,0.057441115
2.07977199,1.600396801,2.758762952,0.785303644,2.438667213,0.092196242
2.083813603,1.677733122,2.797562435,1.067181739,2.467766825,0.132899713
2.087046893,1.788775161,2.828009252,1.383081381,2.484741599,0.149786285
2.109356596,2.291651842,2.839595209,1.492817769,2.513841212,0.25572327
2.113616561,2.400514814,2.850103402,1.598916967,2.534626649,0.466844851
2.119056467,2.549828818,2.857216641,1.681612756,2.535665921,0.524630786
2.135598736,3.01621113,2.870311467,1.72981975,2.543633672,0.58667898
2.139963678,3.09235841,2.891443328,2.009857825,2.545365792,0.67335822
2.143031105,3.221443439,2.916385853,2.314333993,2.550215728,0.883046778
2.148479409,3.303739443,2.93093566,2.410031428,2.556412867,1.101660466
2.150096054,3.385036623,2.944515479,2.478860291,2.559107276,1.205761725
2.171112441,3.844091323,2.953106793,2.564873026,2.570827953,1.723290448
2.174345731,3.941253892,3.057033981,2.982308521,2.57931534,1.799644003
2.178387344,4.055271671,3.117658174,2.970529435,2.585085574,1.910304708
2.18647057,4.159879079,3.144332819,2.967012173,2.591440179,2.142688733
2.207486957,4.638265899,3.214656883,2.909251371,2.602110037,2.369143085
2.213145215,4.738407344,3.241331528,2.843474768,2.603565017,2.321162594
2.222845086,4.851444709,3.255881334,2.790860142,2.607067749,2.481113768
2.227695021,4.929773989,3.277706044,2.735880291,2.611049875,2.570621334
2.263030265,5.42400835,3.294680818,2.715094014,2.620539792,2.767321374
2.269727795,5.508827742,3.338330237,2.537918016,2.621617555,2.994021489
2.28450855,5.601480639,3.394104494,2.324678915,2.627224724,3.101631312
2.285894246,5.645671031,3.4086543,2.251344222,2.630239662,3.177775973
2.368343149,5.40075917,3.426321922,2.175749541,2.63266463,3.400843602
2.373193084,5.321060759,3.446645461,2.096760958,2.637514566,3.601609643
2.382892955,5.235423412,3.454728687,2.043241536,2.641017297,3.688693595
2.395502787,5.125998332,3.50045665,1.843635814,2.641879507,3.877323887
2.400676052,5.029248627,3.56870217,1.652854662,2.642364501,3.793453168
2.411992568,4.936575542,3.597801783,1.588470711,2.644894446,3.968419235
2.414417535,4.863713023,3.626901395,1.517147024,2.647319413,4.159285977
2.44788209,4.431333282,3.651151072,1.462171877,2.64979687,4.320282345
2.458066954,4.332907935,3.714200233,1.306150136,2.650609391,4.380570781
2.465341857,4.21008873,3.743299846,1.241766184,2.655567103,4.481570073
2.472616761,4.13069244,3.764154568,1.180142133,2.659339275,4.586400442
2.507051302,3.698611998,3.7917992,1.122893373,2.661764243,4.789838534
