Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Na_x,J_Na_y,J_Na_z,J_Cl_x,J_Cl_y,J_Cl_z,J_Mg_x,J_Mg_y,J_Mg_z
75,7538.604513934058,-0.0010662485,0.0014602764,-7.3416355e-05,-8.058828660021899,12.222755001346846,-6.91335765295435,11.841137879967903,-0.8023969317209545,-16.53702946351343,-2.1247399650817114,-3.304982543216356,9.250000866302736
80,7538.604513934058,-0.0011832879,0.0014271983,-0.00016001143,-9.392089146502766,12.784275025324055,-8.564637531225806,11.816691768799107,-4.139009610585595,-13.781580580412394,-0.7670333352186516,-0.5298897422390656,8.14583187935744
85,7538.604513934058,-0.0013615644,0.0013972857,-0.00023680853,-10.504007078933281,13.068858209311761,-10.253878160010348,11.901263498038656,-6.841297429676594,-10.504037649974938,0.260312228095505,1.8878149553114962,6.557529456533241
90,7538.604513934058,-0.0015705951,0.0012930855,-0.00031393862,-11.38005583724549,13.078406802667919,-11.913628270642452,12.31672695988033,-8.914916399784019,-7.029101225289497,0.7208977903167453,3.951885567963855,4.742342889185177
95,7538.604513934058,-0.0017657451,0.0011036356,-0.00039726135,-12.010761541735118,12.830724762941022,-13.502253631159196,13.091140911436536,-10.434526630926012,-3.6533597353084915,0.577189740298568,5.719177926017819,2.9552265642086537
100,7538.604513934058,-0.0018888752,0.0008887156,-0.00047360273,-12.37437408460988,12.3667422845184,-15.008028185199013,14.137950788516328,-11.420520435598046,-0.6052232726945928,-0.10600755590413824,7.169154166884636,1.4128642864051768
105,7538.604513934058,-0.001878066,0.0007391428,-0.0005158463,-12.436415935232215,11.757336220413995,-16.437527826601357,15.380268947678424,-11.786934760036715,1.947944504422182,-1.2862840007771537,8.144974590046711,0.28919602270974143
110,7538.604513934058,-0.0017003745,0.0007197897,-0.00050823856,-12.16789612872395,11.098616219286773,-17.79246411110694,16.775682754813324,-11.408306912433073,3.8177034653768116,-2.950217744783653,8.425066571348378,-0.22562678448236273
115,7538.604513934058,-0.0013908773,0.00082752784,-0.00047691376,-11.568238667702243,10.492493099592243,-19.043475787909532,18.20933697978996,-10.199836396111529,4.6974671725170465,-4.983529039810231,7.822719056596196,0.14562120966359782
120,7538.604513934058,-0.0010590565,0.001005268,-0.00048095395,-10.671172404505846,10.02196186165485,-20.114460396816188,19.410633175682747,-8.098792406011377,4.262226115923604,-7.081891541666402,6.192206339983768,1.6518469711990589
125,7538.604513934058,-0.00084086775,0.0011917148,-0.0005609638,-9.524565790936826,9.732109548408621,-20.888274515507195,20.00138444763094,-5.116905902506441,2.4665907751046108,-8.81924877437151,3.500172060543645,4.221296577383266
130,7538.604513934058,-0.0008167501,0.00134736,-0.0007031553,-8.15674932774726,9.62105050943966,-21.23322681210744,19.62530105695147,-1.5712245625413548,-0.30373737918839394,-9.810981944944356,0.06554934546913493,7.336577142759717
135,7538.604513934058,-0.00096119364,0.0014523937,-0.00086070545,-6.553043349845945,9.642622144650081,-21.039308584374563,18.082745055666926,1.8731781786323234,-3.4477595650707524,-9.8721319354033,-3.4004251791189564,10.286680674293104
140,7538.604513934058,-0.0011714577,0.0015006665,-0.0009950693,-4.661630158847227,9.722215453531236,-20.24844736526506,15.378569936711983,4.51426215380936,-6.485294824348984,-9.059369570512636,-6.121102702236003,12.533354669223565
145,7538.604513934058,-0.0013338657,0.0014951393,-0.0010874986,-2.429840736758531,9.781187077566864,-18.865340289957427,11.684620593042617,5.93456059086886,-9.145894635147869,-7.597209662397937,-7.600373041953917,13.810847414799293
150,7538.604513934058,-0.0013689606,0.0014453105,-0.0011294616,0.148859447024,9.758386227816223,-16.946584662360006,7.314894859754764,6.115738910216814,-11.271344633746791,-5.806183970615816,-7.758750457214505,14.017542051467837
155,7538.604513934058,-0.0012514854,0.0013613931,-0.0011145613,3.004851258006231,9.617738599985948,-14.579878462619718,2.7512985108071604,5.347016658540737,-12.758783929866437,-4.098579755368259,-6.8493807047705815,13.138275234668919
160,7538.604513934058,-0.001012017,0.0012483887,-0.0010377871,5.995497114544552,9.340721798939393,-11.8685182424481,-1.3880445477250192,4.009175000102648,-13.563910351021796,-2.9498822069824326,-5.234522214821325,11.232041794329172
165,7538.604513934058,-0.00071946345,0.0011158934,-0.0009009892,8.939562694705447,8.913769079658428,-8.928226293454149,-4.545869496227844,2.3844540333027107,-13.678324697813617,-2.7361229138138823,-3.182849023105364,8.406164411792753
170,7538.604513934058,-0.00044453866,0.0009935738,-0.00072483846,11.668119727267541,8.320901361369232,-5.893353726583205,-6.475300028893569,0.6053739340838646,-13.085297359111985,-3.535249261908315,-0.8109016649030583,4.778265042771575
175,7538.604513934058,-0.00021973834,0.00092870765,-0.00055111805,14.068843447949977,7.544547866763077,-2.9207016014972877,-7.347452851749716,-1.253211914953039,-11.77301906951899,-5.063820393838535,1.8240376037175974,0.49333468207162934
180,7538.604513934058,-3.0082296e-05,0.0009607328,-0.0004205726,16.0969102719875,6.573787584888686,-0.1770911703954452,-7.66302086779501,-3.0583832655950483,-9.83011867343586,-6.776319035702467,4.599969233390011,-4.193176177902449
185,7538.604513934058,0.000158264,0.0010890834,-0.00034974262,17.736160180477956,5.423005031929842,2.1949958916027263,-8.00878467367397,-4.6251779849747345,-7.533774844738869,-8.069805117028148,7.317546230904709,-8.86160753479368
190,7538.604513934058,0.00035969433,0.0012675838,-0.00033213216,18.92797340170655,4.1570479913435685,4.123648487345914,-8.776975167199678,-5.8179081903120204,-5.343855522788285,-8.493427708958475,9.776233357672181,-12.980179399875004
195,7538.604513934058,0.0005480861,0.0014394441,-0.000347226,19.533196047977246,2.8929460428563445,5.636784343708993,-10.014438547581669,-6.603048469303114,-3.8368079358449165,-7.861186764649314,11.825475876001445,-16.000362874484445
200,7538.604513934058,0.0006705499,0.0015787315,-0.00036082786,19.390712523966787,1.7506960566216685,6.843746348678676,-11.471422694952928,-7.012788274994178,-3.574530702547885,-6.261719103593999,13.377466000442084,-17.469602041946082
205,7538.604513934058,0.00068655965,0.0016951652,-0.00033343004,18.427575831755515,0.7929729080325316,7.8800741538032035,-12.752383672263242,-7.086548119641562,-4.893294426374007,-4.017621404830346,14.40894904994654,-17.187166095881423
210,7538.604513934058,0.0005959698,0.0018002555,-0.0002386127,16.703517274191825,0.019458404135654916,8.859420946928024,-13.431484343915365,-6.814911149409489,-7.755629748274907,-1.6144622809849476,14.910825987957804,-15.304177722099729
215,7538.604513934058,0.0004344153,0.0018794165,-7.104028e-05,14.365067745170734,-0.5910652046180862,9.848498249971723,-13.133021378076812,-6.094486601869035,-11.774370571978318,0.42552405149425443,14.800924773473678,-12.274514347528628
220,7538.604513934058,0.00025290597,0.0019054122,0.00015762565,11.577478402038825,-1.0412153088322043,10.852840265906249,-11.63201331395145,-4.790411914014881,-16.352829623918034,1.7121052423647463,13.94700040436889,-8.700397343344838
225,7538.604513934058,0.00010175233,0.001870398,0.0004242177,8.487308470422423,-1.3027615372769885,11.808372689017684,-8.924760084359143,-2.9432357064070382,-20.86086045609565,2.095021985766185,12.361369870137576,-5.147898722904817
230,7538.604513934058,1.7253968e-05,0.0017862901,0.00069532037,5.219117246312808,-1.3282340264917236,12.58830120478478,-5.230033276846364,-0.9202868378072617,-24.77386402982821,1.6684861442811654,10.363893664712275,-2.0148237398671585
235,7538.604513934058,1.0765569e-05,0.0016587015,0.00092735025,1.8874234658989666,-1.077828339998983,13.037742035695828,-0.99158598228609,0.7258782927471672,-27.69325246640684,0.7617328115468682,8.467322983845559,0.4551241272428639
240,7538.604513934058,7.782011e-05,0.001477217,0.0010717533,-1.3909702263434225,-0.5537245076697093,13.034818958054078,3.1527312706900856,1.597216955103896,-29.289500171372964,-0.10419063185482891,7.0718804548170455,2.0542949311501912
245,7538.604513934058,0.00021389527,0.0012270526,0.0011018794,-4.4909816556235524,0.1731610918219446,12.552263400291395,6.591853491999029,1.66042800960141,-29.325483008013485,-0.4433013424547543,6.281783574905757,2.5728332854786755
250,7538.604513934058,0.00040881103,0.00090293505,0.0010464052,-7.282921042000279,0.9682381540557019,11.679652002788771,9.075151723370025,1.2007062796635228,-27.78231766368568,-0.13466008443875843,5.94642804222637,1.9022797405931966
255,7538.604513934058,0.0006465085,0.00052911864,0.00097598886,-9.646316653297443,1.6843713424265063,10.587158284629819,10.806195202586203,0.6094563303028782,-24.949532492829313,0.49769224444961524,5.821545146108446,0.16198826843259007
260,7538.604513934058,0.00092088134,0.00017586524,0.0009439404,-11.48822027985244,2.2376376412035954,9.455359968123501,12.123053372931054,0.12081915552490097,-21.40907658229567,1.0227375811976227,5.7569164282187275,-2.246669743627596
265,7538.604513934058,0.0012248285,-8.193938e-05,0.0009378518,-12.759066803109643,2.6518210910186246,8.416568806962001,13.133047758738712,-0.2750576633500601,-17.899957977858286,1.2835897214920677,5.738610191380912,-4.716997326780136
270,7538.604513934058,0.0015379203,-0.00022187093,0.00088917586,-13.466937076844086,3.027351297820691,7.53183251573455,13.744356193345773,-0.5398166607067543,-15.020251767954468,1.3801516057449454,5.627839147863755,-6.711967120271828
275,7538.604513934058,0.0018482056,-0.00025972442,0.0007380549,-13.685472063600002,3.4563224326162656,6.797821650190144,13.912191986008793,-0.3342140770185251,-13.015803091710003,1.430850687711687,4.993265466132627,-7.9824051608403055
280,7538.604513934058,0.0021572872,-0.00021647799,0.0004825837,-13.535905440621544,3.961576812606486,6.170084193257479,13.71377340708273,0.6405982468547409,-11.902774429994642,1.479702565682861,3.5131987028372977,-8.467696091708666
285,7538.604513934058,0.0024572148,-0.00012531843,0.00016701645,-13.141008487163901,4.505590152254276,5.593121683097248,13.232142172096012,2.200488616858552,-11.632732132446987,1.5664371769401315,1.4092946850661718,-8.160776047875576
290,7538.604513934058,0.0027125052,-3.6587957e-05,-0.00015818498,-12.583201682569605,5.039736405513954,5.027051228138131,12.408321717772871,3.7879020375455266,-12.083055960240442,1.8324511951307492,-0.7122647023560003,-7.144381918437891
295,7538.604513934058,0.0028665825,2.7327953e-06,-0.00045415637,-11.897061967680031,5.543787999810425,4.461025147869346,11.061839763352285,4.834946194887118,-13.051548961410814,2.492793616949972,-2.2633603497586856,-5.609862968779514
300,7538.604513934058,0.0028656414,-2.5265028e-05,-0.0006824248,-11.094024653869212,6.035283256311791,3.9090683255303684,9.107293120723401,4.9919194309633905,-14.365513198002153,3.6443029431050364,-2.9118289885289688,-3.7439417857559123
305,7538.604513934058,0.0026863508,-9.745956e-05,-0.0008109866,-10.194943709802654,6.553813640148851,3.394384331284069,6.686443275549901,4.183418603907926,-15.933236719193664,5.166071904701572,-2.621858253062628,-1.661534200527119
310,7538.604513934058,0.0023570326,-0.0001595547,-0.00084049406,-9.24519317687901,7.133833750555473,2.937685032181884,4.039926790453833,2.5598213695295398,-17.634452238425155,6.86283799571746,-1.5782807559069898,0.4963805737615381
315,7538.604513934058,0.0019418285,-0.00015884155,-0.0008005312,-8.303169235257712,7.784124254702525,2.561741822918062,1.3708913166262926,0.4250301382300803,-19.26876059154617,8.589849217789638,-0.09378015994919275,2.506631821900494
320,7538.604513934058,0.0014932101,-7.8950514e-05,-0.0007182953,-7.415561068560976,8.490965258890913,2.3023234016013667,-1.1263723062672772,-1.8746621051621206,-20.66752886445188,10.19950473932321,1.49907105986601,4.164818484493418
325,7538.604513934058,0.001027127,5.155005e-05,-0.0006032943,-6.601450932232012,9.242209636988823,2.1976572492501383,-3.247441023775302,-4.095100817627822,-21.77301324237392,11.50646332523528,2.9682655276857712,5.374968909990395
330,7538.604513934058,0.0005437578,0.00017811205,-0.00045421268,-5.85279272931967,10.039562700220463,2.2486974426035395,-4.8542581504259426,-6.162671226761441,-22.56665767272986,12.364622147086525,4.238482799731328,6.117573428299632
335,7538.604513934058,6.052455e-05,0.00024625025,-0.00027189695,-5.142882993355497,10.871324965145154,2.384531631851811,-5.898405605957799,-8.108250111227601,-22.947047841977977,12.69885983799967,5.352299812982136,6.362129140584267
340,7538.604513934058,-0.00037481752,0.00022246865,-7.3045856e-05,-4.438088443117349,11.666680660022957,2.4718199570822854,-6.311758134675751,-9.914731561179721,-22.69992862614432,12.407417794276888,6.363425796903511,6.027721611452701
345,7538.604513934058,-0.0007001324,0.00010722047,0.00010491161,-3.7148822429097033,12.284617314781476,2.3670989050049194,-5.913050562801567,-11.4000217348901,-21.576793053841328,11.285503666850026,7.230779290957039,5.009307130564532
350,7538.604513934058,-0.0008725134,-6.2018626e-05,0.0002141114,-2.978398603403372,12.557996322492379,1.9736588674538744,-4.497370184759113,-12.242883704772606,-19.395819531344344,9.133340009781282,7.800262386598814,3.221773752190468
355,7538.604513934058,-0.0008931889,-0.00022518619,0.00021861936,-2.271815631110992,12.354703542256738,1.267301058291874,-2.037406631337711,-12.133615612992621,-16.11055493705677,5.966793571819185,7.894287055686772,0.642867052670165
360,7538.604513934058,-0.000800311,-0.00033224197,0.00011124382,-1.6677350326734155,11.61340474518567,0.2887177918207693,1.243070956333903,-10.922521520061132,-11.872095504156244,2.082235625932559,7.424491610764712,-2.617009094577104
365,7538.604513934058,-0.00063822325,-0.0003717799,-8.4873354e-05,-1.2433932773072298,10.348694063141574,-0.8771092628296666,5.016243600731975,-8.67382607756808,-7.095651370647802,-2.1152788407323113,6.44050670867834,-6.227626244300216
370,7538.604513934058,-0.00043753683,-0.00036731924,-0.00032401193,-1.052145778712481,8.639102607733204,-2.1192741744500876,9.038695961660558,-5.62145463660981,-2.452333243701988,-6.328978976669272,5.097726525394295,-9.628779420042582
375,7538.604513934058,-0.00022218782,-0.00034710212,-0.0005502227,-1.105846576001393,6.607591786582467,-3.314434127526742,13.157507915477037,-2.062107827644277,1.3059385190463564,-10.394090113431698,3.569890707510398,-12.191891110266686
380,7538.604513934058,-1.8996823e-05,-0.00032166782,-0.00071762333,-1.3763106189997485,4.397462377521714,-4.337887282738169,17.135957538130025,1.7225495896793368,3.612953108513498,-14.102076173328634,1.9953624189776527,-13.475452501747956
385,7538.604513934058,0.00015297011,-0.00028606673,-0.0008064648,-1.8129354861646858,2.1408518153262923,-5.076881492971783,20.51657617499383,5.455944997337798,4.237315415382941,-17.046069823589015,0.5185774977264179,-13.360820627199308
390,7538.604513934058,0.00029839991,-0.00023985047,-0.00081664894,-2.363511028733962,-0.07952586448607657,-5.45091901320416,22.712627565275177,8.901663143549023,3.2627365602529954,-18.69154571585178,-0.7067633332215602,-12.01220392720922
395,7538.604513934058,0.0004425667,-0.0002028729,-0.0007505965,-2.98453076855895,-2.2545232063924967,-5.434350568796848,23.2877825843441,12.031037670037406,0.9969860107230835,-18.645681314990462,-1.6611408505585397,-9.763022131474886
400,7538.604513934058,0.0006140973,-0.00020238121,-0.00062142,-3.638316892954488,-4.4336532672163065,-5.062958440324341,22.16524612095033,15.101003146833332,-2.150148266067819,-16.86935882387271,-2.551976872712503,-6.987279932890547
405,7538.604513934058,0.0008346721,-0.00023568775,-0.00047555295,-4.284691027956167,-6.680489996685888,-4.411023447642268,19.579218911219655,18.422984407640985,-5.786964293303725,-13.636957514577908,-3.6271209404596494,-4.002398954885455
410,7538.604513934058,0.0011010781,-0.00025742876,-0.0003729764,-4.875395235443018,-9.031116470502988,-3.548657107935702,15.923694647693775,22.035583572925315,-9.551816829867649,-9.390728887124817,-4.889094045830647,-1.0999129329639505
415,7538.604513934058,0.0013650962,-0.00021637876,-0.00033746267,-5.3549709937827235,-11.47446941817669,-2.5089378802997597,11.70135924106376,25.63221687610712,-13.01514188799226,-4.688817699736059,-6.042374452613516,1.3236930580905506
420,7538.604513934058,0.0015611526,-9.2223025e-05,-0.0003417564,-5.666743781924476,-13.953141040242718,-1.289764038215481,7.501737092517718,28.725056991586833,-15.6915823034378,-0.17742271264406917,-6.656542735414817,2.7809599297260617
425,7538.604513934058,0.0016673566,0.00010671918,-0.00034472463,-5.759147638274323,-16.377143109636908,0.11472744571688054,3.8910438486834726,30.886950510723185,-17.273810230248245,3.5256745040699444,-6.394434057027368,2.958696239236299
430,7538.604513934058,0.0017228985,0.00036073822,-0.00033027225,-5.589354092156267,-18.644537343683062,1.6843437189261294,1.2121360289145358,31.95397375886568,-17.861869324928165,6.0347887847076755,-5.194063000134023,1.9771394330177217
435,7538.604513934058,0.0017785928,0.00064161164,-0.00030708095,-5.126345166369272,-20.660936775848207,3.3678849599843943,-0.5749654822359318,32.0177133531779,-17.94074924255434,7.358881025655395,-3.241403137988941,0.3724780035567461
440,7538.604513934058,0.0018372232,0.0009042403,-0.00028750618,-4.355855397401963,-22.34829276903873,5.099424203038096,-1.830457014621281,31.25245408504454,-18.1476891589478,7.843882622423088,-0.788787712685421,-1.1521214650516114
445,7538.604513934058,0.0018501203,0.0010871681,-0.00028112344,-3.285000025653341,-23.641355810955588,6.81936065995501,-2.978837422240983,29.81381713508291,-19.03045983733424,7.921407406065818,1.9429123030163697,-1.9892869756827785
450,7538.604513934058,0.0017710871,0.0011324756,-0.00030678083,-1.9424156348052835,-24.479180970395994,8.48741710116041,-4.282289767339755,27.84943186071086,-20.88094206536028,7.882275799624298,4.745123060838563,-1.8068613112942034
455,7538.604513934058,0.001601159,0.0010196983,-0.00039353184,-0.37310103442933507,-24.799104324184903,10.08028560633897,-5.804831850939302,25.5276116837622,-23.65263466803536,7.835503069378581,7.386866429071731,-0.6280370752306839
460,7538.604513934058,0.0013814617,0.0007830421,-0.00054987986,1.3686155066586183,-24.538958008616085,11.57535700716175,-7.521496023660114,23.072511684978064,-27.001701315301588,7.810450576842672,9.581820136409572,1.2259585433252438
465,7538.604513934058,0.0011624596,0.0004864423,-0.0007359696,3.2244983830657405,-23.651887722565675,12.930570954370289,-9.380791075682504,20.75128238760136,-30.418028461276307,7.813863449570166,11.015978967553153,3.287071852673246
470,7538.604513934058,0.0009854932,0.0001866992,-0.0008839735,5.134680985507378,-22.12772148224883,14.071180637053427,-11.256903576630286,18.737221279493504,-33.36829872175677,7.779793670022888,11.505873905815452,5.096732591072789
475,7538.604513934058,0.00087280467,-7.3365445e-05,-0.000950144,7.039605627219945,-20.00383699001521,14.8901610469336,-12.919943192648354,16.976849693862295,-35.40949337426773,7.537908696016788,11.142361041238974,6.318947001485351
480,7538.604513934058,0.00081252534,-0.00025017036,-0.00094353437,8.887906396653936,-17.358062803847485,15.266152538476259,-14.110785647642157,15.254382698648453,-36.24120938290489,6.880450295364688,10.21905374277462,6.774671123619039
485,7538.604513934058,0.0007578395,-0.00030897692,-0.00090467866,10.651729017577683,-14.300414052186524,15.095838565321849,-14.685773584278877,13.443419459173139,-35.72118634022204,5.691615675583568,8.972368009570847,6.424961883387762
490,7538.604513934058,0.00065961597,-0.00025473267,-0.00086440844,12.340970865059436,-10.982836441315504,14.327885363408082,-14.69724941251502,11.718291960548427,-33.902092354133266,4.013849727860621,7.379918226936341,5.373820630511939
495,7538.604513934058,0.0005060342,-0.0001339536,-0.00082497555,14.004040515553875,-7.614361172320406,12.979240479585084,-14.321093211807458,10.488652752267644,-31.050607294212895,1.9746240510942572,5.24108232088524,3.870980344958693
500,7538.604513934058,0.00032832572,-5.6297836e-06,-0.0007704788,15.707292500877603,-4.44522332309169,11.122707402621698,-13.755970472695708,10.06938514804553,-27.559182842698064,-0.2937504504004337,2.4912121676648393,2.236089185766498
505,7538.604513934058,0.00017398268,8.171283e-05,-0.0006911759,17.497510540162413,-1.709400851050657,8.860863706603364,-13.201444682356163,10.356083953781326,-23.78391397685606,-2.63849508009272,-0.5313087899262028,0.7226638075211962
510,7538.604513934058,7.7317396e-05,9.875542e-05,-0.0006030959,19.366255191731117,0.4363458874632782,6.314657427484005,-12.847855593198112,10.807414013156645,-19.919080286675452,-4.860828622942531,-3.1283855756186805,-0.5959633191938041
515,7538.604513934058,4.338773e-05,4.338439e-05,-0.00054256327,21.23658669527931,1.9337273567926898,3.6290226342523493,-12.834419956459218,10.800249084185467,-15.96673660481189,-6.744595920757742,-4.618601600566267,-1.8626722326531011
520,7538.604513934058,3.8130063e-05,-5.7897236e-05,-0.000534032,22.97766424764308,2.803195374968813,0.9701036695103049,-13.221763064639376,10.070456845995992,-11.835688997414186,-8.098330418378932,-4.758277613858311,-3.3348009977576725
525,7538.604513934058,7.237584e-07,-0.00016861843,-0.00056369696,24.436807910237288,3.1138502494887836,-1.50059939491371,-13.996201144362416,8.836965505474847,-7.549382986483906,-8.783035694119203,-3.8354414700729214,-5.150404171401139
530,7538.604513934058,-0.00010893367,-0.00027114546,-0.0005871385,25.474104870145712,2.965220069272724,-3.659549268287498,-15.101274240702182,7.562597670280422,-3.4020486866696587,-8.715259806889403,-2.412443913795374,-7.138788593476027
535,7538.604513934058,-0.00027258982,-0.00037648642,-0.000559232,25.98986803627253,2.478762899785683,-5.4352981661697894,-16.505823360899953,6.65899900217574,0.08917751200773605,-7.8264736260709595,-1.0223881264532384,-8.854265888841445
540,7538.604513934058,-0.00042868557,-0.0005029344,-0.00046356983,25.94228941121077,1.7869443590735612,-6.7935267341392835,-18.24741270573212,6.327737277985777,2.400406066652649,-6.037305694480177,0.0006922384932706027,-9.80726585747613
545,7538.604513934058,-0.000516911,-0.0006381675,-0.00032764132,25.353503220158412,1.0143561092464664,-7.711023256140155,-20.33772846524151,6.5567918001029435,3.2376099699364556,-3.358203902417894,0.5442259501292432,-9.726973484358103
550,7538.604513934058,-0.000508213,-0.0007240163,-0.00021431246,24.30007293588682,0.2546867805104869,-8.16832753180757,-22.537130652042812,7.20833550532144,2.6789936367801044,-0.10537117214627312,0.6523516532402436,-8.711053285827413
555,7538.604513934058,-0.00040436958,-0.0006946564,-0.00018000457,22.88906051023191,-0.44725869796219175,-8.170753039027893,-24.25306511277811,8.099743791971846,1.1602499906217796,3.0215756562545604,0.46288848890303147,-7.189883970733328
560,7538.604513934058,-0.0002302412,-0.00052124984,-0.00022528946,21.22977008441507,-1.0967473886966088,-7.774619355824374,-24.8459938781343,9.088065424367887,-0.7309471997499353,5.273794967361744,0.12405564176928674,-5.694820217749632
565,7538.604513934058,-2.8419436e-05,-0.00021141864,-0.00029995214,19.41134003987594,-1.7289954824272042,-7.087621745672326,-24.077036589445903,10.153941939016942,-2.5655486282415545,6.323268253349658,-0.309573071644496,-4.547216263502895
570,7538.604513934058,0.00015730252,0.00019194442,-0.0003509868,17.49194744823166,-2.375424211907453,-6.237819012397952,-22.14721381797061,11.385531816229115,-4.271417957440786,6.312838375190757,-0.8947344759794361,-3.69114975749614
575,7538.604513934058,0.00029602024,0.0006124589,-0.00034838245,15.505026412001317,-3.030136944272166,-5.335201765110247,-19.385257912053916,12.863654371283257,-6.044453051342643,5.537804037857119,-1.7181447143807016,-2.820731888253765
580,7538.604513934058,0.00037520938,0.00097373524,-0.00028598742,13.481451740926275,-3.6304827836692164,-4.4579905341577195,-16.03168261977042,14.525306884260782,-8.114850109056869,4.207803239537303,-2.779451083049439,-1.6275460607335548
585,7538.604513934058,0.0004148051,0.0012379312,-0.00018189603,11.473072825925051,-4.061688167069302,-3.6717271928664594,-12.279515639176665,16.08671091154748,-10.628990744294581,2.4640151073151957,-3.9096494011241294,0.10033146014250882
590,7538.604513934058,0.00046150803,0.0014104627,-7.7308134e-05,9.560236011705857,-4.186818590974221,-3.0536938661477997,-8.385552165535959,17.107523659296486,-13.605878897834705,0.4828886169750932,-4.80533189134208,2.45918623233086
595,7538.604513934058,0.00054909434,0.0015138738,-2.395292e-05,7.834240132070995,-3.8982404088209344,-2.6848837277189013,-4.68869791611177,17.15329445699673,-16.831452633004453,-1.4879698260148988,-5.139680870069656,5.315949722661055
600,7538.604513934058,0.0006711449,0.0015600991,-6.156865e-05,6.357776861961103,-3.1786995015362525,-2.6030441991292754,-1.5433793215797662,15.917736325101497,-19.71999495975377,-3.1568252265344325,-4.623663979891221,8.122652631313423
605,7538.604513934058,0.0007999554,0.00154288,-0.0001962313,5.125256488606685,-2.1359821463255555,-2.7572160886534256,0.7549235857641223,13.284759953379325,-21.370111174544363,-4.222607722188709,-3.0334055059970115,9.926940721418243
610,7538.604513934058,0.00091307116,0.00145298,-0.00039324394,4.057202383160478,-0.9645326529652132,-3.0160517974559333,2.0194246305891363,9.381139789534707,-21.00085125223029,-4.419054753648393,-0.301235130438231,9.816516274210182
