Freq_rad_ps,VDOS_Na,VDOS_Mg
0.000000000000000000e+00,1.426693261036462469e-02,1.109930181895992310e-02
8.974696910697879670e-02,9.286680207609048290e-03,4.791616793069840979e-03
1.794939382139575934e-01,6.626140340519005335e-03,2.764395085800220014e-03
2.692409073209364179e-01,6.454243291371849524e-03,3.367319648724045530e-03
3.589878764279151868e-01,7.351429323842421232e-03,3.228911690750749242e-03
4.487348455348939558e-01,7.600009052742714294e-03,3.181656400643100013e-03
5.384818146418728357e-01,6.870120353368479836e-03,3.115391403946275208e-03
6.282287837488516047e-01,6.675208028042249261e-03,3.460372094394529707e-03
7.179757528558303736e-01,8.269237713326466066e-03,4.102495750101513294e-03
8.077227219628092536e-01,8.614832285771733753e-03,3.936736206353268382e-03
8.974696910697879115e-01,9.135425345903612146e-03,3.751018086891505770e-03
9.872166601767666805e-01,9.161663211775016372e-03,4.141063591298620693e-03
1.076963629283745671e+00,8.262120249652598475e-03,3.867425166741388348e-03
1.166710598390724440e+00,8.512885397085093522e-03,4.068617635910209106e-03
1.256457567497703209e+00,9.144996458640936715e-03,4.470512858129295324e-03
1.346204536604681978e+00,9.060974945313191725e-03,4.953348154505622485e-03
1.435951505711660747e+00,9.683807402593606894e-03,4.911343505098661986e-03
1.525698474818639516e+00,9.763813390413255203e-03,4.784523899828839640e-03
1.615445443925618507e+00,9.485980383922664252e-03,4.489600021716708134e-03
1.705192413032597054e+00,1.013713118962957307e-02,4.295786507021486650e-03
1.794939382139575823e+00,1.045021063492791030e-02,5.103885136262069182e-03
1.884686351246554592e+00,1.092328552886209780e-02,5.758962958350743663e-03
1.974433320353533361e+00,1.162365003745327065e-02,6.794969762022269599e-03
2.064180289460512352e+00,1.186833025135028072e-02,6.075098301972997952e-03
2.153927258567491343e+00,1.253818689915990950e-02,5.494631479749103979e-03
2.243674227674469890e+00,1.355836511819790736e-02,6.193155338962409023e-03
2.333421196781448881e+00,1.282381147833849822e-02,6.447925140023785286e-03
2.423168165888427428e+00,1.343091383320162147e-02,6.104631548702386598e-03
2.512915134995406419e+00,1.309933916139949944e-02,5.991140256716860277e-03
2.602662104102385410e+00,1.302045706335549190e-02,6.529007895802392200e-03
2.692409073209363957e+00,1.221862925799170781e-02,7.668653140888379190e-03
2.782156042316342948e+00,1.330637133675967657e-02,7.652755522580522926e-03
2.871903011423321495e+00,1.410828304462803835e-02,6.198447249809336569e-03
2.961649980530300041e+00,1.132772862446825186e-02,6.391337261260540518e-03
3.051396949637279032e+00,1.291653328485527913e-02,6.278781555805358107e-03
3.141143918744257579e+00,1.419743054735175813e-02,6.982682354073796796e-03
3.230890887851237014e+00,1.437561088588856610e-02,6.958883237276540339e-03
3.320637856958215117e+00,1.506230704579552410e-02,7.740040438545274862e-03
3.410384826065194108e+00,1.499545963725429018e-02,8.828780496816752282e-03
3.500131795172173543e+00,1.586364793228556974e-02,8.105884759374713117e-03
3.589878764279151646e+00,1.529119837888361609e-02,8.411399114315723513e-03
3.679625733386131081e+00,1.604673762852809257e-02,9.164871886387343514e-03
3.769372702493109184e+00,1.611800042053999904e-02,8.794310854880506290e-03
3.859119671600088175e+00,1.678772699556376272e-02,9.445640843017974811e-03
3.948866640707066722e+00,1.880589036605393241e-02,9.000666938730136207e-03
4.038613609814046157e+00,1.979446379427303795e-02,7.981473684546077155e-03
4.128360578921024704e+00,1.990808635403686425e-02,7.888840231395142025e-03
4.218107548028003251e+00,2.015390501295861309e-02,9.250081220891459913e-03
4.307854517134982686e+00,1.925982587550426756e-02,1.017286518151108536e-02
4.397601486241961233e+00,1.829882657523172057e-02,8.923206836440255099e-03
4.487348455348939780e+00,1.887132405459403597e-02,1.027593203504725827e-02
4.577095424455918327e+00,1.886740797046506865e-02,9.955962455181337559e-03
4.666842393562897762e+00,2.218095123887896605e-02,9.218921502221342351e-03
4.756589362669876309e+00,2.167767826867671166e-02,1.089796555946855733e-02
4.846336331776854855e+00,1.912142322512105225e-02,1.150358327387140944e-02
4.936083300883834291e+00,2.108282374435468259e-02,1.028366025765294241e-02
5.025830269990812837e+00,2.446783986433419614e-02,1.012289375704226654e-02
5.115577239097791384e+00,2.261988208739901252e-02,9.906447422224486793e-03
5.205324208204770819e+00,2.196938416547818823e-02,1.163577442515685914e-02
5.295071177311749366e+00,2.377330833335736943e-02,1.301936325879672444e-02
5.384818146418727913e+00,2.282801813999732130e-02,1.158845922899441085e-02
5.474565115525706460e+00,2.382790842414832591e-02,1.058726206729226731e-02
5.564312084632685895e+00,2.226586077120003976e-02,1.016057273729265888e-02
5.654059053739663554e+00,2.062591306548427345e-02,9.051953900835924688e-03
5.743806022846642989e+00,2.236750230127851694e-02,9.610841558601449994e-03
5.833552991953622424e+00,2.302998218279269857e-02,1.071741554504085023e-02
5.923299961060600083e+00,2.378289969484198921e-02,1.125730393522818285e-02
6.013046930167579518e+00,2.486733971654826389e-02,1.063063959519395391e-02
6.102793899274558065e+00,2.096444455099115423e-02,1.024791993531184997e-02
6.192540868381537500e+00,2.339528701299534511e-02,1.146317556422255662e-02
