Freq_rad_ps,VDOS_Na,VDOS_K
0.000000000000000000e+00,4.045813658079467495e-02,6.394752870906650344e-02
8.974696910697879670e-02,1.712241767299746420e-02,2.645997846633128467e-02
1.794939382139575934e-01,8.285085275377480560e-03,1.399713601378529439e-02
2.692409073209364179e-01,9.445425553448637962e-03,1.317111376342739067e-02
3.589878764279151868e-01,8.185217980281470421e-03,1.358807937364816913e-02
4.487348455348939558e-01,9.136389753661062346e-03,1.584522165161317275e-02
5.384818146418728357e-01,9.164455188724322798e-03,1.461630851198284994e-02
6.282287837488516047e-01,8.590830909652243108e-03,1.386047584239607881e-02
7.179757528558303736e-01,8.572595872763188671e-03,1.474340848444031377e-02
8.077227219628092536e-01,9.660571047939024020e-03,1.471077413204087588e-02
8.974696910697879115e-01,9.778717099302131760e-03,1.344563822956497921e-02
9.872166601767666805e-01,9.726706089967158617e-03,1.608826139974266559e-02
1.076963629283745671e+00,1.097172637255285944e-02,1.941856529272484658e-02
1.166710598390724440e+00,1.186541614508934521e-02,1.914184976055886486e-02
1.256457567497703209e+00,1.186876194516781925e-02,1.784808575213812226e-02
1.346204536604681978e+00,1.135947631940762391e-02,1.981220098238615709e-02
1.435951505711660747e+00,9.601979949681618137e-03,1.690216802648401503e-02
1.525698474818639516e+00,1.054581169059602870e-02,1.830413669233475760e-02
1.615445443925618507e+00,1.081999438335620907e-02,1.868158232729192486e-02
1.705192413032597054e+00,9.966437888065365902e-03,1.550201936641196036e-02
1.794939382139575823e+00,1.152506180585663800e-02,1.650938917277297927e-02
1.884686351246554592e+00,1.189685820523534582e-02,1.862798631610261199e-02
1.974433320353533361e+00,1.057642304632215938e-02,1.919020827421978950e-02
2.064180289460512352e+00,1.304794449559723048e-02,2.045711278863187113e-02
2.153927258567491343e+00,1.235186885336442449e-02,2.171049430437464040e-02
2.243674227674469890e+00,1.236954096122724542e-02,2.054422471628796279e-02
2.333421196781448881e+00,1.364296359842179056e-02,1.804062917771376978e-02
2.423168165888427428e+00,1.475390215955029241e-02,1.753330063695898028e-02
2.512915134995406419e+00,1.378772596345458241e-02,2.205575433374978855e-02
2.602662104102385410e+00,1.323616826874070805e-02,2.112771312004686763e-02
2.692409073209363957e+00,1.233362346258524977e-02,2.340659044903765917e-02
2.782156042316342948e+00,1.218164065372355498e-02,2.319144572438840840e-02
2.871903011423321495e+00,1.182402946087865100e-02,2.151376608535201032e-02
2.961649980530300041e+00,1.168793544278615322e-02,2.195632234760684295e-02
3.051396949637279032e+00,1.304422338048336245e-02,2.546275629908791027e-02
3.141143918744257579e+00,1.394159123918644640e-02,2.189918350038736958e-02
3.230890887851237014e+00,1.495647744894186212e-02,2.039830121696303844e-02
3.320637856958215117e+00,1.468019265470264269e-02,2.246739779230492312e-02
3.410384826065194108e+00,1.451767529469876611e-02,2.185140589316342946e-02
3.500131795172173543e+00,1.305192450377595619e-02,2.202590638487555985e-02
3.589878764279151646e+00,1.361715820977605143e-02,2.334464365973218034e-02
3.679625733386131081e+00,1.578967552115574310e-02,2.491008518340380451e-02
3.769372702493109184e+00,1.545595895361717882e-02,2.606251550361407543e-02
3.859119671600088175e+00,1.514545111438950035e-02,2.508013172680244318e-02
3.948866640707066722e+00,1.737588475135319610e-02,2.566684523389380079e-02
4.038613609814046157e+00,1.731376285421686728e-02,2.500431834767309972e-02
4.128360578921024704e+00,1.384740002127087671e-02,2.553932298522634467e-02
4.218107548028003251e+00,1.502596308116319404e-02,2.575108431786667096e-02
4.307854517134982686e+00,1.518764697481055255e-02,2.687055419775008502e-02
4.397601486241961233e+00,1.566019527383823162e-02,2.696841434448097111e-02
