Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Na_x,J_Na_y,J_Na_z,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z
0,7988.168074834743,-0.0005532022,0.00018074118,0.00049078895,16.26353771870666,5.709560026164985,-2.503855595103251,19.369364896891216,-4.917824701428433,5.618528785554748,-7.77501395623877,14.551643324407015,-4.242277634832789
5,7988.168074834743,-0.0004995752,0.00030680312,0.00047880114,17.32048835104755,5.071459146185083,-3.642397141243028,20.813643754361852,-7.538266157913858,6.439951405976545,-10.27624335152833,17.810185627184655,-3.9251589562706783
10,7988.168074834743,-0.00048796934,0.00039576727,0.00045860963,18.248009963633685,4.685563827986191,-4.494456298480843,22.20938252803187,-10.11232369943227,6.946302022093379,-12.59950387945829,20.770138635040457,-3.579450576072049
15,7988.168074834743,-0.00052406854,0.0004447005,0.00042717814,19.063455156643194,4.437948162883406,-4.9653623828915165,23.534525785733575,-12.536909752413159,7.044186142417507,-14.740092132161596,23.44234057480436,-3.2064284966042758
20,7988.168074834743,-0.0006045149,0.00046364943,0.00038425656,19.83755818903186,4.222246744667649,-5.013586528649075,24.694502190956126,-14.711773458342211,6.671215986191433,-16.67417132887314,25.83290572443958,-2.785234231080466
25,7988.168074834743,-0.0007216496,0.0004668377,0.00033204284,20.6549098665378,3.968353334266288,-4.662396015238091,25.56069431908706,-16.569467971101037,5.818099648393959,-18.357715298168127,27.944493697809317,-2.2833086153993642
30,7988.168074834743,-0.00086481724,0.00046425374,0.00027276293,21.554922901628323,3.647801404671048,-4.000688325063284,26.038563641494118,-18.089875680492334,4.54112803076042,-19.735597613366924,29.785453537339436,-1.6680449802740613
35,7988.168074834743,-0.0010207313,0.0004578125,0.00020589595,22.50551482798941,3.2560376520609164,-3.165036350345662,26.11032622126861,-19.28928250081262,2.9559764427964277,-20.757952255092473,31.376624289771367,-0.9185452910921592
40,7988.168074834743,-0.0011736766,0.0004433855,0.0001265219,23.423413626379933,2.7830659958103237,-2.3059840155499565,25.83200713579338,-20.19095932176752,1.2146649715383457,-21.397532003903702,32.751272754200826,-0.03628606596859707
45,7988.168074834743,-0.0013058734,0.00041747134,2.7070411e-05,24.208640205558858,2.195928130602118,-1.5475304878516636,25.310564416480172,-20.800334705617953,-0.5273567758916995,-21.66131590138431,33.947785860083144,0.9472821451757059
50,7988.168074834743,-0.0013998226,0.0003824319,-9.584214e-05,24.757825703196467,1.4478565070434721,-0.9575164402656527,24.692774387387015,-21.103207790288813,-2.1392847335399763,-21.592711393202276,34.998730431844805,1.969196052287571
55,7988.168074834743,-0.0014432853,0.00034632054,-0.00023397771,24.957963433993463,0.5049754066835166,-0.5468544793573249,24.163462971845934,-21.08242204864256,-3.5224639948018077,-21.263537623516836,35.92082581993154,2.941713429868087
60,7988.168074834743,-0.0014332364,0.0003184031,-0.0003661861,24.689925107715716,-0.631033438784069,-0.29497320909537805,23.925902898488342,-20.734158407790897,-4.600219921815448,-20.75793900832397,36.708570992620565,3.767588013460026
65,7988.168074834743,-0.0013742246,0.00030600769,-0.000465762,23.860907096936025,-1.9118558697614922,-0.17533955659998313,24.14784618096739,-20.076896099493393,-5.314467902545299,-20.15086446579991,37.3321311979481,4.362202161861915
70,7988.168074834743,-0.001273614,0.0003120731,-0.00051396684,22.45187974602962,-3.244055602563604,-0.16297946637020666,24.89165746038991,-19.15144041077529,-5.643515811850094,-19.485648453320398,37.73887528058103,4.678890218285942
75,7988.168074834743,-0.0011400144,0.00033475342,-0.00051112386,20.54619230667962,-4.519098110828107,-0.2326407775024284,26.07182329239542,-17.99661120075743,-5.624342406324001,-18.760126738610058,37.85908860011395,4.72937820478981
80,7988.168074834743,-0.0009852868,0.00036743996,-0.00047822285,18.31568869093101,-5.673873776981106,-0.3608501659243937,27.473468604510277,-16.599145802401495,-5.354946532609471,-17.93126845446133,37.61639873294108,4.588191960324166
85,7988.168074834743,-0.0008240675,0.00039919527,-0.00044599827,15.974996731823959,-6.72976166384256,-0.5265606764285342,28.821236824396625,-14.86863294148646,-4.975604434856802,-16.938344737286766,36.94177370436873,4.374560148641449
90,7988.168074834743,-0.0006685831,0.000415105,-0.0004411888,13.730368686738109,-7.7458031911920076,-0.7010299327291878,29.85775627808282,-12.699175953710103,-4.643009273667204,-15.730236449967574,35.78835800815351,4.216434308681328
95,7988.168074834743,-0.00052607997,0.0003983765,-0.0004779374,11.737141498466405,-8.712182718004492,-0.8409338729168399,30.402226054682536,-10.089914638506919,-4.49646619773274,-14.28147908383945,34.14547629068612,4.209795136489247
100,7988.168074834743,-0.00040182736,0.00033854172,-0.00055446714,10.073257652358768,-9.504299562878312,-0.9055078044427951,30.37955440508442,-7.203060258823491,-4.610017158855846,-12.594923666643087,32.050738956154504,4.387920064317568
105,7988.168074834743,-0.00030175145,0.00024107724,-0.00065745454,8.735613091785158,-9.96338508817012,-0.8859160077943394,29.82178364944404,-4.288479134149049,-4.953779345546426,-10.69950814543991,29.595243459019105,4.712090329169569
110,7988.168074834743,-0.0002302212,0.00012593388,-0.00077269983,7.654795605505603,-10.005757846612191,-0.8082860628226349,28.85123063944904,-1.5654134385873766,-5.40700790851486,-8.648137690567825,26.914550514783617,5.087688914140727
115,7988.168074834743,-0.00018691165,1.5740206e-05,-0.0008911542,6.719575633277632,-9.643909363531797,-0.7030989302463875,27.65084498460912,0.8224367895567157,-5.8223491351753935,-6.5125320763792915,24.164851645016025,5.39784297647273
120,7988.168074834743,-0.00016602468,-7.57918e-05,-0.0010043863,5.811402028023656,-8.93958553295402,-0.5796347410548786,26.418783306238236,2.7877545553750434,-6.084959604916431,-4.372296860131617,21.49520963451243,5.53698923581831
125,7988.168074834743,-0.00015554311,-0.00014600108,-0.0010996835,4.841649515816276,-7.957859882376448,-0.4342362613085875,25.319811224929627,4.272873785256129,-6.122136278435281,-2.303572108484521,19.028364632672595,5.428767527130529
130,7988.168074834743,-0.00013866907,-0.00019817629,-0.0011610221,3.7752754260900763,-6.738168887514854,-0.2835526503102024,24.458448253986187,5.229514920069386,-5.869874515184961,-0.3758354515695901,16.85203240886141,5.025822122498339
135,7988.168074834743,-0.00010373561,-0.00023328786,-0.0011741159,2.630838247266216,-5.272939158731839,-0.1935015505321367,23.884627783732345,5.601991504012739,-5.235376472323768,1.342421949910925,15.01432579888307,4.301272806885008
140,7988.168074834743,-6.0292576e-05,-0.00024445387,-0.0011321488,1.4543595532805158,-3.513251879473554,-0.26777772851234616,23.624861847055787,5.335759207279233,-4.103434963720135,2.778666460039669,13.52087084918559,3.243607317236437
145,7988.168074834743,-4.675766e-05,-0.00021568945,-0.0010424032,0.2802987383175015,-1.4425553425690443,-0.5723262593517298,23.71430779287896,4.447509112880987,-2.4153653699407043,3.863281410621123,12.338424397706254,1.860086147606835
150,7988.168074834743,-0.00010915,-0.00012459361,-0.00093123736,-0.8782403668310172,0.8126938024769905,-1.0347123272029144,24.18628899899834,3.1238696074909686,-0.2777214968284971,4.549839497984784,11.40681494037664,0.1848282419312275
155,7988.168074834743,-0.0002577958,4.5370554e-05,-0.00083980145,-1.9856427334024969,2.993959807453341,-1.4303820989541878,25.00581909343548,1.6952202172800452,2.0194374262698274,4.837711857967671,10.654198280347478,-1.7166610499327541
160,7988.168074834743,-0.0004527453,0.00028578844,-0.0008021919,-2.9595546784121005,4.89790591316427,-1.4932514723501704,26.035362709125753,0.4343363821429804,4.117449271330511,4.7820800870115745,10.011136205511429,-3.7518036089392988
165,7988.168074834743,-0.00063631573,0.0005555209,-0.0008250256,-3.746733860695681,6.512101707467938,-1.0249350487016682,27.12146803881245,-0.5934008247601321,5.7106835593146705,4.4831538525770975,9.424677666426865,-5.813354184596819
170,7988.168074834743,-0.00077012886,0.0007977506,-0.0008859834,-4.412899355114714,7.953101018950239,0.07343547757896474,28.211365530168603,-1.4832210385244569,6.59401245785531,4.059422011211874,8.873498503072474,-7.795053214442733
