Salt Composition,PDF Source,Melting Temp (K),Min Measured Temp (K),KTM at Melt Temp (W/m-K),"KTM, Mix Data at Melt Temp (W/m-K)",PGM at Melt Temp (W/m-K),"PGM, Mix Data at Melt Temp (W/m-K)",SCM at Melt Temp (W/m-K),"SCM, Mix Data at Melt Temp (W/m-K)",KTM at Min Meas Temp (W/m-K),"KTM, Mix Data at Min Meas Temp (W/m-K)",PGM at Min Meas Temp (W/m-K),"PGM, Mix Data at Min Meas Temp (W/m-K)",SCM at Min Meas Temp (W/m-K),"SCM, Mix Data at Min Meas Temp (W/m-K)",TC Experimental (W/m-K),TC Experimental at Min Temp (W/m-K),Exp. Reference,TC MSTDB (W/m-K),MSTDB Reference,c_vol (J/m^3-K),c_vol' (J/m^3-K²),c_vol mix (J/m^3-K),c_vol' mix (J/m^3-K²),v_s (m/s),v_s' (m/s/K),v_s mix (m/s),v_s' mix (m/s/K)
0.345NaF-0.065MgF2-0.59KF,"Solano, 2021",958,993.0137773,0.57197135,0.600185778,0.486045197,0.496582872,0.491727734,0.502388609,0.564418847,0.592375737,0.474074647,0.484255073,0.479617232,0.489916681,0.766020385,0.750192308,"0.345NaF-0.59KF-0.065MgF2 (Rudenko, 2024)",,,2774359.261,-854.3105886,2834508.6,-888.3,2066.835583,-0.855296965,2066.835583,-0.855296965
0.33NaCl-0.45MgCl2-0.22KCl,"Jiang, 2024",658.15,,0.415599757,0.436058077,0.350684369,0.37157237,0.335227053,0.355194362,,,,,,,,,,,,1820781.036,-432.488346,1929233.194,-625.40832,2082.774128,-0.593468607,2082.774128,-0.593468607
0.21NaCl-0.38MgCl2-0.41KCl,"Jiang, 2024",660.15,,0.393714521,0.415765282,0.34976748,0.377397041,0.339680946,0.366513731,,,,,,,,,,,,1785221.75,-456.5970238,1926243.702,-624.84432,2052.561412,-0.677956505,2052.561412,-0.677956505
0.417NaCl-0.058KCl-0.525CaCl2,"Wei, 2022",769.45,,0.419530868,0.419530868,0.388028967,0.388028967,0.381900569,0.381900569,,,,,,,,,,,,2019238.069,-492.5906199,2019238.069,-492.5906199,2029.651298,-0.568395642,2029.651298,-0.568395642
0.535NaCl-0.315MgCl2-0.15CaCl2,"Wei, 2022",829,849.2706645,0.392824745,0.406310241,0.348619415,0.362920571,0.320191463,0.333326441,0.390189278,0.403665274,0.345208182,0.360269543,0.317058397,0.330891589,0.467549261,0.455643846,"0.535NaCl-0.315MgCl2-0.15CaCl2 (Rong, 2015)",,,1877142.088,-450.1104674,1954146.7,-234.8879769,2038.991927,-0.559721489,2038.991927,-0.559721489
ThF4,"Dai, 2015",1384,,0.359546457,0.359546457,0.349708831,0.349708831,0.649823713,0.649823713,,,,,,,,,,,,3393320.571,-440.6819168,3393320.571,-440.6819168,1362,-6.43E-16,1362,-6.43E-16
UF4,"Ocadiz-Flores, 2021",1309,,0.287228431,0.287228431,0.28603309,0.28603309,0.540848632,0.540848632,,,,,,,,,,,,3639653.509,-438.2934344,3639653.509,-438.2934344,1062,1.43E-15,1062,1.43E-15
0.64NaCl-0.36UCl3,"Andersson, 2022",784.15,802,0.113449725,0.114505481,0.303326251,0.266360492,0.3047837,0.267640324,0.112609794,0.113634299,0.300605487,0.264175736,0.302049862,0.265445071,0.234817553,0.238101192,"63NaCl-37UCl3 (Termini, 2024),65.8NaCl-34.2UCl3 (Rose, 2023)",,,2153870.026,-656.6711484,1891382.221,-489.7966916,1466.759662,-0.38913594,1466.759662,-0.38913594
0.63NaCl-0.37UCl3,"Andersson, 2022",784.15,802,0.11476485,0.115047927,0.302410497,0.265271064,0.308404559,0.270528987,0.113909917,0.114173824,0.299723677,0.263116728,0.305664483,0.26833195,0.242991844,0.239262577,"63NaCl-37UCl3 (Termini, 2024)",,,2156186.319,-656.8416501,1891382.221,-489.7966916,1460.050892,-0.380486873,1460.050892,-0.380486873
0.658NaCl-0.342UCl3,"Andersson, 2022",784.15,869.15,0.111227983,0.113695543,0.305064512,0.268416921,0.305064512,0.268416921,0.10718829,0.109390729,0.291239143,0.257267859,0.291239143,0.257267859,0.226643263,0.275674423,"65.8NaCl-34.2UCl3 (Rose, 2023)",,,2149617.068,-656.3924882,1891382.221,-489.7966916,1479.378021,-0.419066432,1479.378021,-0.419066432
0.5454LiF-0.3636NaF-0.091UF4,"Grizzi, 2024",923,,0.18974506,0.18974506,0.58214846,0.58214846,0.580834869,0.580834869,,,,,,,,,,,,4101032.902,-988.4633409,4101032.902,-988.4633409,1938.907284,-0.557636512,1938.907284,-0.557636512
